TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259,84.5,7' 0.5'',107.0,8' 11'',12.4,,
,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,
,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,
,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229,82.5,6' 10.5'',105.0,8' 9'',9.3,,
,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206,80.5,6' 8.5'',99.0,8' 3'',5.3,,
,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,
,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245,88.0,7' 4'',111.0,9' 3'',6.0,,
,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214,83.5,6' 11.5'',104.0,8' 8'',8.6,,
,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227,85.5,7' 1.5'',107.0,8' 11'',9.3,,
,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,
,2198,Kwame,Brown,Kwame Brown,PF-C,82.0,6' 10'',,,243,85.0,7' 1'',108.0,9' 0'',8.9,,
,2245,Damone,Brown,Damone Brown,SF,80.25,6' 8.25'',,,202,83.75,6' 11.75'',104.5,8' 8.5'',6.7,,
,12031,SirValiant,Brown,SirValiant Brown,PG,71.0,5' 11'',,,176,76.0,6' 4'',92.5,7' 8.5'',6.7,,
,12032,Ryan,Carroll,Ryan Carroll,SF-SG,76.0,6' 4'',,,202,80.25,6' 8.25'',99.0,8' 3'',8.0,,
,2199,Tyson,Chandler,Tyson Chandler,SF-PF,83.5,6' 11.5'',,,224,87.0,7' 3'',110.0,9' 2'',6.7,,
,2251,Eric,Chenowith,Eric Chenowith,C,85.0,7' 1'',,,264,88.0,7' 4'',111.0,9' 3'',12.9,,
,2439,Sam,Clancy,Sam Clancy,PF,78.25,6' 6.25'',,,242,86.75,7' 2.75'',107.0,8' 11'',8.0,,
,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,6' 6.25'',,,231,83.5,6' 11.5'',103.0,8' 7'',8.0,,
