TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
,12204,Mohamed,Abukar,Mohamed Abukar,SF,80.0,6' 8'',81.75,6' 9.75'',210,81.0,6' 9'',103.0,8' 7'',8.9,,
,12205,Mario,Boggan,Mario Boggan,PF,77.0,6' 5'',79.0,6' 7'',240,86.0,7' 2'',107.0,8' 11'',9.2,,
,12206,Craig,Bradshaw,Craig Bradshaw,PF,80.0,6' 8'',81.75,6' 9.75'',240,85.5,7' 1.5'',106.5,8' 10.5'',12.1,,
,201147,Corey,Brewer,Corey Brewer,SF-SG,78.0,6' 6'',79.75,6' 7.75'',185,80.25,6' 8.25'',103.0,8' 7'',4.2,,
,201166,Aaron,Brooks,Aaron Brooks,PG,70.0,5' 10'',71.75,5' 11.75'',161,76.0,6' 4'',94.0,7' 10'',2.7,,
,201628,Bobby,Brown,Bobby Brown,PG,71.0,5' 11'',73.75,6' 1.75'',170,76.0,6' 4'',95.5,7' 11.5'',6.6,,
,201469,Russell,Carter,Russell Carter,SG,75.0,6' 3'',76.5,6' 4.5'',221,80.5,6' 8.5'',97.5,8' 1.5'',6.0,,
,12207,Coleman,Collins,Coleman Collins,PF,80.0,6' 8'',81.75,6' 9.75'',236,86.0,7' 2'',107.0,8' 11'',6.2,,
,201144,Mike,Conley,Mike Conley,PG,71.0,5' 11'',72.75,6' 0.75'',175,77.75,6' 5.75'',94.5,7' 10.5'',4.2,,
,201161,Daequan,Cook,Daequan Cook,SG,75.0,6' 3'',77.75,6' 5.75'',203,80.25,6' 8.25'',101.5,8' 5.5'',7.0,,
,12208,Ryvon,Covile,Ryvon Covile,C-PF,79.0,6' 7'',80.5,6' 8.5'',250,85.25,7' 1.25'',107.5,8' 11.5'',8.0,,
,201159,Javaris,Crittenton,Javaris Crittenton,PG,75.0,6' 3'',76.75,6' 4.75'',194,77.5,6' 5.5'',98.0,8' 2'',4.5,,
,201176,Jermareo,Davidson,Jermareo Davidson,PF,81.0,6' 9'',83.0,6' 11'',230,88.0,7' 4'',109.5,9' 1.5'',6.9,,
,12209,Justin,Doellman,Justin Doellman,PF,80.0,6' 8'',81.5,6' 9.5'',205,80.75,6' 8.75'',105.0,8' 9'',7.0,,
,12210,Zabian,Dowdell,Zabian Dowdell,PG,73.0,6' 1'',75.0,6' 3'',191,82.0,6' 10'',100.0,8' 4'',5.1,,
,201162,Jared,Dudley,Jared Dudley,SF,77.0,6' 5'',79.25,6' 7.25'',219,79.0,6' 7'',102.0,8' 6'',7.1,,
,201142,Kevin,Durant,Kevin Durant,SF-PF,81.0,6' 9'',82.25,6' 10.25'',215,88.75,7' 4.75'',110.0,9' 2'',6.6,,
,12211,Rashaun,Freeman,Rashaun Freeman,PF,78.0,6' 6'',80.0,6' 8'',244,83.5,6' 11.5'',104.0,8' 8'',11.5,,
,201189,Aaron,Gray,Aaron Gray,C,84.0,7' 0'',85.75,7' 1.75'',271,87.25,7' 3.25'',108.5,9' 0.5'',10.8,,
,201145,Jeff,Green,Jeff Green,SF,79.0,6' 7'',81.5,6' 9.5'',228,85.25,7' 1.25'',103.0,8' 7'',3.7,,
,201192,Taurean,Green,Taurean Green,PG,71.0,5' 11'',72.75,6' 0.75'',173,74.25,6' 2.25'',96.0,8' 0'',4.6,,
