PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Austin Rivers,203085,LAC,1
Luc Mbah a Moute,201601,LAC,1
DeAndre Jordan,201599,LAC,1
JJ Redick,200755,LAC,1
Raymond Felton,101109,LAC,1
Thabo Sefolosha,200757,ATL,1
Paul Millsap,200794,ATL,1
Dwight Howard,2730,ATL,1
Kent Bazemore,203145,ATL,1
Dennis Schroder,203471,ATL,1
Austin Rivers,203085,LAC,2
Jamal Crawford,2037,LAC,2
Brandon Bass,101138,LAC,2
Wesley Johnson,202325,LAC,2
Marreese Speights,201578,LAC,2
Dwight Howard,2730,ATL,2
Tim Hardaway Jr.,203501,ATL,2
Mike Dunleavy,2399,ATL,2
Malcolm Delaney,1627098,ATL,2
Mike Scott,203118,ATL,2
Austin Rivers,203085,LAC,3
Luc Mbah a Moute,201601,LAC,3
DeAndre Jordan,201599,LAC,3
JJ Redick,200755,LAC,3
Raymond Felton,101109,LAC,3
Thabo Sefolosha,200757,ATL,3
Paul Millsap,200794,ATL,3
Dwight Howard,2730,ATL,3
Kent Bazemore,203145,ATL,3
Dennis Schroder,203471,ATL,3
Raymond Felton,101109,LAC,4
Jamal Crawford,2037,LAC,4
Brandon Bass,101138,LAC,4
Wesley Johnson,202325,LAC,4
Marreese Speights,201578,LAC,4
Paul Millsap,200794,ATL,4
Kent Bazemore,203145,ATL,4
Tim Hardaway Jr.,203501,ATL,4
Mike Dunleavy,2399,ATL,4
Malcolm Delaney,1627098,ATL,4
