PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Kawhi Leonard,202695,SAS,1
LaMarcus Aldridge,200746,SAS,1
Pau Gasol,2200,SAS,1
Kyle Anderson,203937,SAS,1
Tony Parker,2225,SAS,1
Rudy Gay,200752,SAC,1
DeMarcus Cousins,202326,SAC,1
Kosta Koufos,201585,SAC,1
Arron Afflalo,201167,SAC,1
Ty Lawson,201951,SAC,1
Manu Ginobili,1938,SAS,2
Dewayne Dedmon,203473,SAS,2
Patty Mills,201988,SAS,2
David Lee,101135,SAS,2
Jonathon Simmons,203613,SAS,2
Matt Barnes,2440,SAC,2
Willie Cauley-Stein,1626161,SAC,2
Ben McLemore,203463,SAC,2
Anthony Tolliver,201229,SAC,2
Garrett Temple,202066,SAC,2
Kawhi Leonard,202695,SAS,3
LaMarcus Aldridge,200746,SAS,3
Pau Gasol,2200,SAS,3
Kyle Anderson,203937,SAS,3
Tony Parker,2225,SAS,3
Rudy Gay,200752,SAC,3
DeMarcus Cousins,202326,SAC,3
Kosta Koufos,201585,SAC,3
Arron Afflalo,201167,SAC,3
Ty Lawson,201951,SAC,3
Kawhi Leonard,202695,SAS,4
LaMarcus Aldridge,200746,SAS,4
Tony Parker,2225,SAS,4
Manu Ginobili,1938,SAS,4
Jonathon Simmons,203613,SAS,4
Rudy Gay,200752,SAC,4
Ty Lawson,201951,SAC,4
Matt Barnes,2440,SAC,4
Willie Cauley-Stein,1626161,SAC,4
Anthony Tolliver,201229,SAC,4
