PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Gordon Hayward,202330,UTA,1
Boris Diaw,2564,UTA,1
Rudy Gobert,203497,UTA,1
Rodney Hood,203918,UTA,1
George Hill,201588,UTA,1
Andrew Wiggins,203952,MIN,1
Gorgui Dieng,203476,MIN,1
Karl-Anthony Towns,1626157,MIN,1
Zach LaVine,203897,MIN,1
Ricky Rubio,201937,MIN,1
Gordon Hayward,202330,UTA,2
Joe Johnson,2207,UTA,2
Trey Lyles,1626168,UTA,2
Jeff Withey,203481,UTA,2
Shelvin Mack,202714,UTA,2
Andrew Wiggins,203952,MIN,2
Nemanja Bjelica,202357,MIN,2
Kris Dunn,1627739,MIN,2
Shabazz Muhammad,203498,MIN,2
Cole Aldrich,202332,MIN,2
Gordon Hayward,202330,UTA,3
Boris Diaw,2564,UTA,3
Rudy Gobert,203497,UTA,3
Rodney Hood,203918,UTA,3
George Hill,201588,UTA,3
Andrew Wiggins,203952,MIN,3
Gorgui Dieng,203476,MIN,3
Karl-Anthony Towns,1626157,MIN,3
Zach LaVine,203897,MIN,3
Ricky Rubio,201937,MIN,3
Joe Johnson,2207,UTA,4
Trey Lyles,1626168,UTA,4
Jeff Withey,203481,UTA,4
Shelvin Mack,202714,UTA,4
Joe Ingles,204060,UTA,4
Karl-Anthony Towns,1626157,MIN,4
Zach LaVine,203897,MIN,4
Nemanja Bjelica,202357,MIN,4
Shabazz Muhammad,203498,MIN,4
Tyus Jones,1626145,MIN,4
