PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Kawhi Leonard,202695,SAS,1
LaMarcus Aldridge,200746,SAS,1
Dewayne Dedmon,203473,SAS,1
Danny Green,201980,SAS,1
Tony Parker,2225,SAS,1
Evan Turner,202323,POR,1
Noah Vonleh,203943,POR,1
Meyers Leonard,203086,POR,1
Pat Connaughton,1626192,POR,1
Shabazz Napier,203894,POR,1
Pau Gasol,2200,SAS,2
Patty Mills,201988,SAS,2
Manu Ginobili,1938,SAS,2
David Lee,101135,SAS,2
Kyle Anderson,203937,SAS,2
Evan Turner,202323,POR,2
Meyers Leonard,203086,POR,2
Pat Connaughton,1626192,POR,2
Jake Layman,1627774,POR,2
Al-Farouq Aminu,202329,POR,2
Kawhi Leonard,202695,SAS,3
LaMarcus Aldridge,200746,SAS,3
Dewayne Dedmon,203473,SAS,3
Danny Green,201980,SAS,3
Tony Parker,2225,SAS,3
Evan Turner,202323,POR,3
Noah Vonleh,203943,POR,3
Meyers Leonard,203086,POR,3
Pat Connaughton,1626192,POR,3
Shabazz Napier,203894,POR,3
Dewayne Dedmon,203473,SAS,4
Kyle Anderson,203937,SAS,4
Davis Bertans,202722,SAS,4
Jonathon Simmons,203613,SAS,4
Bryn Forbes,1627854,SAS,4
Noah Vonleh,203943,POR,4
Pat Connaughton,1626192,POR,4
Jake Layman,1627774,POR,4
Tim Quarterman,1627817,POR,4
Al-Farouq Aminu,202329,POR,4
