GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0021200142,0,12,0,1,6:12 PM,12:00,,,,,
0021200142,1,10,0,1,6:12 PM,12:00,Jump Ball Thompson vs. Lopez: Tip to Evans,,,,
0021200142,2,2,1,1,6:12 PM,11:45,MISS Evans 21' Jump Shot,,,,
0021200142,3,4,0,1,6:12 PM,11:44,,,Lopez REBOUND (Off:0 Def:1),,
0021200142,4,5,1,1,6:13 PM,11:30,Cousins STEAL (1 STL),,Wallace Bad Pass Turnover (P1.T1),,
0021200142,6,2,1,1,6:13 PM,11:06,MISS Salmons 25' 3PT Jump Shot,,,,
0021200142,7,4,0,1,6:13 PM,11:05,Evans REBOUND (Off:1 Def:0),,,,
0021200142,8,2,1,1,6:14 PM,10:57,MISS Thompson 7' Jump Shot,,,,
0021200142,9,4,0,1,6:14 PM,10:55,Thompson REBOUND (Off:1 Def:0),,,,
0021200142,10,2,1,1,6:14 PM,10:43,MISS Evans 5' Jump Shot,,,,
0021200142,11,4,0,1,6:14 PM,10:42,,,Humphries REBOUND (Off:0 Def:1),,
0021200142,12,1,1,1,6:14 PM,10:29,,,Humphries 16' Jump Shot (2 PTS) (Johnson 1 AST),2 - 0,-2
0021200142,14,1,1,1,6:14 PM,10:12,Cousins 16' Jump Shot (2 PTS),,,2 - 2,TIE
0021200142,15,2,1,1,6:15 PM,9:57,,,MISS Lopez 17' Jump Shot,,
0021200142,16,4,0,1,6:15 PM,9:57,Evans REBOUND (Off:1 Def:1),,,,
0021200142,17,2,1,1,6:15 PM,9:30,MISS Salmons  3PT Jump Shot,,,,
0021200142,18,4,0,1,6:15 PM,9:29,,,Humphries REBOUND (Off:0 Def:2),,
0021200142,20,2,1,1,6:15 PM,9:24,,,MISS Johnson 20' Jump Shot,,
0021200142,21,4,0,1,6:15 PM,9:23,Evans REBOUND (Off:1 Def:2),,,,
0021200142,22,1,65,1,6:16 PM,9:13,Thompson 7' Jump Hook Shot (2 PTS) (Cousins 1 AST),,,2 - 4,2
