possession.id,period,how.possession.ended,team.with.ball,end.time,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,points,defensive.fouls,offensive.rebounds,alternates
74,2,turnover,away,1037,0,0,0,0,0,0,0,0,0,TRUE
75,2,turnover,home,1044,0,0,0,0,0,0,0,1,0,TRUE
76,2,missed.shot,away,1065,2,0,0,0,0,0,0,0,1,TRUE
77,2,missed.shot,home,1072,1,0,0,0,0,0,0,0,0,TRUE
78,2,turnover,home,1084,0,0,0,0,1,1,1,1,0,FALSE
79,2,last.ft.made,away,1084,0,0,0,0,1,1,1,0,0,TRUE
80,2,made.shot,home,1093,1,1,0,0,0,0,2,0,0,TRUE
81,2,missed.shot,away,1103,1,0,0,0,0,0,0,1,0,TRUE
82,2,missed.shot,home,1115,0,0,1,0,0,0,0,0,0,TRUE
83,2,missed.shot,away,1120,1,0,0,0,0,0,0,0,0,TRUE
84,2,made.shot,home,1124,2,1,0,0,0,0,2,0,1,TRUE
85,2,missed.shot,away,1145,1,0,0,0,0,0,0,0,0,TRUE
86,2,last.ft.made,home,1152,0,0,0,0,2,2,2,1,0,TRUE
87,2,made.shot,away,1165,0,0,1,1,0,0,3,0,0,TRUE
88,2,last.ft.made,home,1176,0,0,0,0,2,2,2,1,0,TRUE
89,2,missed.shot,away,1203,1,0,0,0,0,0,0,0,0,TRUE
90,2,made.shot,home,1219,3,1,0,0,0,0,2,0,2,TRUE
91,2,last.ft.made,away,1231,1,1,0,0,1,1,3,1,0,TRUE
92,2,missed.shot,home,1255,0,0,2,0,0,0,0,0,1,TRUE
93,2,missed.shot,away,1274,1,0,0,0,0,0,0,0,0,TRUE
94,2,made.shot,home,1281,1,1,0,0,0,0,2,0,0,TRUE
95,2,turnover,away,1292,0,0,0,0,0,0,0,0,0,TRUE
96,2,made.shot,home,1296,1,1,0,0,0,0,2,0,0,TRUE
97,2,missed.shot,away,1313,0,0,1,0,0,0,0,0,0,TRUE
98,2,made.shot,home,1317,1,1,0,0,0,0,2,0,0,TRUE
99,2,made.shot,away,1329,1,1,0,0,0,0,2,0,0,TRUE
100,2,made.shot,home,1353,1,1,0,0,0,0,2,0,0,TRUE
101,2,last.ft.made,away,1361,0,0,0,0,2,2,2,1,0,TRUE
102,2,missed.shot,home,1370,1,0,0,0,0,0,0,0,0,TRUE
103,2,made.shot,away,1385,1,1,0,0,0,0,2,0,0,TRUE
104,2,last.ft.made,home,1390,0,0,0,0,2,2,2,1,0,TRUE
105,2,made.shot,away,1397,0,0,1,1,0,0,3,0,0,TRUE
106,2,missed.shot,home,1411,1,0,0,0,0,0,0,0,0,TRUE
107,2,missed.shot,away,1416,0,0,1,0,0,0,0,0,0,TRUE
108,2,turnover,home,1424,0,0,0,0,0,0,0,0,0,TRUE
109,2,turnover,away,1439,0,0,0,0,0,0,0,0,0,TRUE
110,2,end.of.period,home,1440,0,0,1,0,0,0,0,0,1,TRUE
111,3,made.shot,home,1463,1,1,0,0,0,0,2,0,0,
112,3,made.shot,away,1482,1,1,0,0,0,0,2,0,0,TRUE
113,3,last.ft.made,home,1487,0,0,0,0,2,2,2,1,0,TRUE
114,3,made.shot,away,1503,1,1,0,0,0,0,2,0,0,TRUE
115,3,made.shot,home,1524,0,0,2,1,0,0,3,0,1,TRUE
116,3,made.shot,away,1540,1,1,0,0,0,0,2,0,0,TRUE
117,3,missed.shot,home,1561,0,0,1,0,0,0,0,0,0,TRUE
118,3,turnover,away,1562,0,0,0,0,0,0,0,0,0,TRUE
119,3,made.shot,home,1582,0,0,1,1,0,0,3,1,0,TRUE
120,3,made.shot,away,1597,0,0,1,1,0,0,3,0,0,TRUE
