player.name,player.id,team.abbreviation,period
Paul Pierce,1718,WAS,1
Nene,2403,WAS,1
Marcin Gortat,101162,WAS,1
Garrett Temple,202066,WAS,1
John Wall,202322,WAS,1
Chris Copeland,203142,IND,1
Luis Scola,2449,IND,1
Roy Hibbert,201579,IND,1
Solomon Hill,203524,IND,1
Donald Sloan,202388,IND,1
Kris Humphries,2743,WAS,2
Otto Porter Jr.,203490,WAS,2
Kevin Seraphin,202338,WAS,2
Andre Miller,1889,WAS,2
Rasual Butler,2446,WAS,2
Chris Copeland,203142,IND,2
Lavoy Allen,202730,IND,2
Damjan Rudez,204014,IND,2
Ian Mahinmi,101133,IND,2
AJ Price,201985,IND,2
Paul Pierce,1718,WAS,3
Nene,2403,WAS,3
Marcin Gortat,101162,WAS,3
Garrett Temple,202066,WAS,3
John Wall,202322,WAS,3
Chris Copeland,203142,IND,3
Luis Scola,2449,IND,3
Solomon Hill,203524,IND,3
Donald Sloan,202388,IND,3
Ian Mahinmi,101133,IND,3
Kris Humphries,2743,WAS,4
Otto Porter Jr.,203490,WAS,4
Kevin Seraphin,202338,WAS,4
Andre Miller,1889,WAS,4
Rasual Butler,2446,WAS,4
Chris Copeland,203142,IND,4
Solomon Hill,203524,IND,4
Damjan Rudez,204014,IND,4
AJ Price,201985,IND,4
Shayne Whittington,203963,IND,4
