player.name,player.id,team.abbreviation,period
Carmelo Anthony,2546,NYK,1
Lou Amundson,200811,NYK,1
Jason Smith,201160,NYK,1
Jose Calderon,101181,NYK,1
Langston Galloway,204038,NYK,1
Solomon Hill,203524,IND,1
David West,2561,IND,1
Roy Hibbert,201579,IND,1
Rodney Stuckey,201155,IND,1
C.J. Watson,201228,IND,1
Lance Thomas,202498,NYK,2
Tim Hardaway Jr.,203501,NYK,2
Quincy Acy,203112,NYK,2
Shane Larkin,203499,NYK,2
Cleanthony Early,203921,NYK,2
Rodney Stuckey,201155,IND,2
C.J. Watson,201228,IND,2
Ian Mahinmi,101133,IND,2
Damjan Rudez,204014,IND,2
Lavoy Allen,202730,IND,2
Carmelo Anthony,2546,NYK,3
Lou Amundson,200811,NYK,3
Jason Smith,201160,NYK,3
Jose Calderon,101181,NYK,3
Langston Galloway,204038,NYK,3
Solomon Hill,203524,IND,3
David West,2561,IND,3
Roy Hibbert,201579,IND,3
Rodney Stuckey,201155,IND,3
C.J. Watson,201228,IND,3
Lance Thomas,202498,NYK,4
Tim Hardaway Jr.,203501,NYK,4
Quincy Acy,203112,NYK,4
Shane Larkin,203499,NYK,4
Cleanthony Early,203921,NYK,4
Rodney Stuckey,201155,IND,4
C.J. Watson,201228,IND,4
Ian Mahinmi,101133,IND,4
Damjan Rudez,204014,IND,4
Chris Copeland,203142,IND,4
