eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
0,1,2399,2430,201149,202710,201571,203077,201177,2744,201945,201196
63,1,2399,2430,201959,202710,201571,203077,201177,2744,201945,201196
64,1,2399,2430,201959,202710,201571,203469,201177,2744,201945,201196
65,1,2399,2430,201959,202710,201571,203469,201229,2744,201945,201196
66,1,2399,2430,201959,202710,201571,203469,201229,2744,201604,201196
83,1,203503,2430,201959,202710,201571,203469,201229,2744,201604,201196
107,2,202710,201959,203503,1737,2229,201177,201945,201229,2457,202687
130,2,202710,201959,203503,1737,2229,203469,201945,201229,2457,202687
144,2,202710,201959,203503,201149,2229,203469,201945,201229,2457,202687
145,2,202710,201959,203503,201149,201571,203469,201945,201229,2457,202687
163,2,202710,201959,203503,201149,201571,203469,201945,203077,2457,202687
172,2,2399,201959,203503,201149,201571,203469,201945,203077,2457,202687
173,2,2399,201959,203503,201149,201571,203469,201945,203077,2457,2744
184,2,2399,201959,203503,201149,201571,203469,201945,203077,201196,2744
200,2,2399,2430,203503,201149,201571,203469,201945,203077,201196,2744
234,3,2399,2430,201149,202710,201571,203077,201177,2744,201945,201196
293,3,2399,2430,201149,202710,201571,203077,203469,2744,201945,201196
294,3,2399,2430,201149,202710,201571,201229,203469,2744,201945,201196
302,3,2399,2430,201149,202710,201571,201229,203469,2744,201604,201196
321,3,201959,2430,201149,202710,201571,201229,203469,2744,201604,201196
322,3,201959,203503,201149,202710,201571,201229,203469,2744,201604,201196
343,4,201149,202710,201571,201959,203503,203469,201229,201604,2457,202687
365,4,201149,202710,201571,201959,203503,201177,201229,201604,2457,202687
366,4,201149,202710,201571,201959,203503,201177,201229,201945,2457,202687
374,4,201149,202710,201571,201959,203503,201177,201229,201945,2457,2744
397,4,201149,202710,201571,201959,203503,201177,201229,201945,201196,2744
412,4,201149,202710,201571,201959,2399,201177,201229,201945,201196,2744
436,4,201149,202710,201571,201959,2399,201177,203077,201945,201196,2744
438,4,201149,202710,201571,2229,2399,201177,203077,201945,201196,2744
445,4,201149,202710,201571,2229,2399,201177,201229,201945,201196,2744
487,4,201149,202710,201571,201959,2399,201177,201229,201945,2457,2744
491,4,201149,202710,201571,201959,2399,201177,201229,201945,2457,201196
492,4,201149,202710,201571,201959,2399,201177,203077,201945,2457,201196
493,4,201149,202710,201571,201959,2399,201177,203077,201945,203469,201196
499,4,201149,202710,201571,201959,2399,201177,201229,201945,203469,201196
500,4,201149,202710,201571,201959,2399,201177,201229,201945,2744,201196
