GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0021600375,0,12,0,1,7:11 PM,12:00,,,,,
0021600375,1,10,0,1,7:11 PM,12:00,Jump Ball Gortat vs. Zeller: Tip to Porter Jr.,,,,
0021600375,2,2,1,1,7:12 PM,11:35,MISS Beal 25' 3PT Jump Shot,,,,
0021600375,3,4,0,1,7:12 PM,11:35,,,Hornets Rebound,,
0021600375,4,6,3,1,7:12 PM,11:35,Gortat L.B.FOUL (P1.T1) (B.Adams),,,,
0021600375,6,2,1,1,7:12 PM,11:12,,,MISS Walker 16' Jump Shot,,
0021600375,7,4,0,1,7:13 PM,11:10,Gortat REBOUND (Off:0 Def:1),,,,
0021600375,8,1,98,1,7:13 PM,11:00,Porter Jr. 2' Cutting Layup Shot (2 PTS) (Beal 1 AST),,,0 - 2,2
0021600375,9,6,1,1,7:13 PM,10:53,Porter Jr. P.FOUL (P1.T2) (B.Adams),,,,
0021600375,11,1,79,1,7:13 PM,10:43,,,Walker 16' Pullup Jump Shot (2 PTS) (Batum 1 AST),2 - 2,TIE
0021600375,12,2,79,1,7:13 PM,10:31,MISS Beal 17' Pullup Jump Shot,,,,
0021600375,13,4,0,1,7:13 PM,10:29,,,Zeller REBOUND (Off:0 Def:1),,
0021600375,15,1,49,1,7:14 PM,10:21,,,Zeller  Driving Dunk (2 PTS) (Batum 2 AST),4 - 2,-2
0021600375,16,2,1,1,7:14 PM,10:00,MISS Porter Jr. 21' Jump Shot,,,,
0021600375,17,4,0,1,7:14 PM,9:58,,,Williams REBOUND (Off:0 Def:1),,
0021600375,19,2,1,1,7:14 PM,9:38,,,MISS Walker 26' 3PT Jump Shot,,
0021600375,20,4,0,1,7:14 PM,9:37,Gortat REBOUND (Off:0 Def:2),,,,
0021600375,21,2,1,1,7:14 PM,9:27,MISS Wall 17' Jump Shot,,,,
0021600375,22,4,0,1,7:15 PM,9:26,WIZARDS Rebound,,,,
0021600375,24,1,98,1,7:15 PM,9:13,Wall 2' Cutting Layup Shot (2 PTS) (Beal 2 AST),,,4 - 4,TIE
0021600375,25,5,2,1,7:15 PM,9:02,Wall STEAL (1 STL),,Batum Lost Ball Turnover (P1.T1),,
0021600375,26,6,4,1,7:15 PM,9:01,Wall OFF.Foul (P1) (B.Adams),,,,
0021600375,27,5,5,1,7:15 PM,9:01,Wall Foul Turnover (P1.T1),,,,
0021600375,29,5,2,1,7:16 PM,8:52,Oubre Jr. STEAL (1 STL),,Kidd-Gilchrist Lost Ball Turnover (P1.T2),,
0021600375,30,6,2,1,7:16 PM,8:48,,,Kidd-Gilchrist S.FOUL (P1.T1) (B.Adams),,
0021600375,31,3,11,1,7:17 PM,8:48,Beal Free Throw 1 of 2 (1 PTS),,,4 - 5,1
0021600375,33,3,12,1,7:17 PM,8:48,Beal Free Throw 2 of 2 (2 PTS),,,4 - 6,2
0021600375,36,2,5,1,7:17 PM,8:34,,,MISS Zeller 3' Layup,,
0021600375,37,4,0,1,7:17 PM,8:32,Porter Jr. REBOUND (Off:0 Def:1),,,,
0021600375,38,2,1,1,7:17 PM,8:23,MISS Wall 26' 3PT Jump Shot,,,,
0021600375,39,4,0,1,7:17 PM,8:22,,,Batum REBOUND (Off:0 Def:1),,
0021600375,40,1,5,1,7:17 PM,8:16,,,Zeller 1' Layup (4 PTS) (Batum 3 AST),6 - 6,TIE
0021600375,42,2,1,1,7:18 PM,7:56,MISS Oubre Jr. 25' 3PT Jump Shot,,,,
0021600375,43,4,0,1,7:18 PM,7:54,,,Kidd-Gilchrist REBOUND (Off:0 Def:1),,
0021600375,45,1,1,1,7:18 PM,7:38,,,Batum 21' Jump Shot (2 PTS) (Walker 1 AST),8 - 6,-2
0021600375,46,1,5,1,7:18 PM,7:22,Gortat 2' Layup (2 PTS) (Wall 1 AST),,,8 - 8,TIE
0021600375,48,1,1,1,7:19 PM,6:58,,,Kidd-Gilchrist 19' Jump Shot (2 PTS) (Walker 2 AST),10 - 8,-2
0021600375,50,1,3,1,7:19 PM,6:34,Gortat 6' Hook Shot (4 PTS) (Beal 3 AST),,,10 - 10,TIE
0021600375,51,2,1,1,7:19 PM,6:19,,,MISS Batum 27' 3PT Jump Shot,,
0021600375,52,4,0,1,7:19 PM,6:18,Porter Jr. REBOUND (Off:0 Def:2),,,,
0021600375,53,1,5,1,7:19 PM,6:13,Porter Jr. 2' Layup (4 PTS) (Wall 2 AST),,,10 - 12,2
0021600375,55,6,2,1,7:20 PM,5:48,Beal S.FOUL (P1.T3) (B.Adams),,,,
0021600375,56,9,1,1,7:20 PM,5:48,WIZARDS Timeout: Regular (Full 1 Short 0),,,,
0021600375,59,3,11,1,7:23 PM,5:48,,,Batum Free Throw 1 of 2 (3 PTS),11 - 12,1
0021600375,61,3,12,1,7:23 PM,5:48,,,Batum Free Throw 2 of 2 (4 PTS),12 - 12,TIE
0021600375,64,2,5,1,7:23 PM,5:38,MISS Gortat 1' Layup,,Zeller BLOCK (1 BLK),,
