eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
2,1,1628971,201933,203083,201961,202704,1626196,203482,202355,203585,203079
76,1,1628971,201933,203083,201961,202704,2548,203482,202355,203585,203079
90,1,1628971,201933,203083,201961,202704,2548,203482,1628389,203585,203079
91,1,1628971,201933,203083,1628379,202704,2548,203482,1628389,203585,203079
98,1,1628971,201933,203083,1628379,202704,2548,1627884,1628389,203585,203079
103,1,1629017,201933,203083,1628379,202704,2548,1627884,1628389,203585,203079
112,1,1629017,201933,203083,1628379,202704,2548,1627884,1628389,203585,201609
120,1,1629017,1627748,203083,1628379,202704,2548,1627884,1628389,203585,201609
127,1,1629017,1627748,203083,1628379,202397,2548,1627884,1628389,203585,201609
142,1,1629017,1627748,203083,1628379,202397,2548,1627884,1628389,1626196,201609
158,2,201961,1628379,1627748,202397,2585,1626196,2548,1628389,1627884,201609
190,2,201961,1628379,1627748,202397,2585,1626196,2548,202355,1627884,201609
205,2,201961,1628379,1627748,202397,2585,1626196,2548,202355,203482,201609
223,2,201961,1628379,1627748,202397,2585,1626196,203079,202355,203482,201609
224,2,201961,1628379,1627748,202397,2585,1626196,203079,202355,203482,203585
225,2,201961,1628379,201933,202397,2585,1626196,203079,202355,203482,203585
239,2,201961,1628379,201933,202704,2585,1626196,203079,202355,203482,203585
250,2,201961,1628379,201933,202704,203083,1626196,203079,202355,203482,203585
274,2,201961,1628379,201933,202704,203083,1626196,203079,202355,1627884,203585
281,2,201961,1628379,201933,202704,203083,2548,203079,202355,1627884,203585
298,2,201961,1628379,201933,202704,203083,2548,203079,202355,1627884,1626196
330,3,1628971,201933,203083,201961,202704,1626196,203482,202355,203079,1629130
391,3,1628971,201933,203083,1628379,202704,1626196,203482,202355,203079,1629130
397,3,204038,201933,203083,1628379,202704,1626196,203482,202355,203079,1629130
417,3,204038,201933,203083,1628379,202704,2548,203482,202355,203079,1629130
418,3,204038,201933,203083,1628379,202397,2548,203482,202355,203079,1629130
431,3,204038,201933,203083,1628379,202397,2548,203482,202355,203079,201609
439,3,204038,201933,203083,1628379,202397,2548,203482,202355,1627884,201609
440,3,204038,201933,203083,1628379,202397,2548,203482,1628389,1627884,201609
441,3,204038,201933,2585,1628379,202397,2548,203482,1628389,1627884,201609
462,3,204038,201933,2585,1628379,202397,2548,1626196,1628389,1627884,201609
498,4,1628379,1627748,202397,2585,204038,1626196,2548,1628389,1627884,201609
526,4,1628379,1627748,202397,2585,204038,1626196,2548,1628389,1627884,202355
527,4,1628379,1627748,202397,2585,204038,1626196,2548,203079,1627884,202355
539,4,1628379,203083,202397,2585,204038,1626196,2548,203079,1627884,202355
540,4,1628379,203083,202397,201933,204038,1626196,2548,203079,1627884,202355
555,4,1628379,203083,202397,201933,204038,1626196,2548,203079,203482,202355
578,4,1628379,203083,202397,201933,204038,1626196,1629130,203079,203482,202355
586,4,1628379,203083,202397,201933,204038,1627884,1629130,203079,203482,202355
595,4,1628379,203083,202397,201933,204038,1627884,1629130,203079,1629150,202355
596,4,1628379,203083,202397,201933,204038,1627884,1629130,203079,1629150,201583
606,4,1628379,1627748,202397,201933,204038,1627884,1629130,203079,1629150,201583
607,4,1628379,1627748,202397,202720,204038,1627884,1629130,203079,1629150,201583
612,4,203922,1627748,202397,202720,204038,1627884,1629130,203079,1629150,201583
613,4,203922,1627748,202397,202720,1629017,1627884,1629130,203079,1629150,201583
