EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5
2,1,1628371,203932,202696,203095,201571,202695,1627783,201188,201980,200768
75,1,1628411,203932,202696,203095,201571,202695,1627783,201188,201980,200768
88,1,1628411,203932,202696,203082,201571,202695,1627783,201188,201980,200768
100,1,1628411,203932,202696,203082,201571,202695,1627783,201188,201980,1627832
101,1,1628411,203932,202696,203082,201571,202695,201586,201188,201980,1627832
102,1,1628411,203932,202696,203082,203487,202695,201586,201188,201980,1627832
112,1,1628411,203932,202696,203082,203487,1626181,201586,201188,201980,1627832
116,1,1628411,203920,202696,203082,203487,1626181,201586,201188,201980,1627832
121,1,1628411,203920,1628371,203082,203487,1626181,201586,201188,201980,1627832
129,1,1628411,203920,1628371,203082,203487,1626181,201586,201188,202391,1627832
130,1,1628411,203920,1628371,203082,203487,1626181,201586,1627783,202391,1627832
155,2,1628371,203095,203082,203487,203920,1627783,1627832,201586,1626181,202391
180,2,1628371,203095,203082,203487,203920,1627783,1627832,201586,1626181,200768
210,2,1628371,203095,203082,203487,203920,1627783,1627832,201586,201980,200768
211,2,1628371,203095,203082,203487,203920,202695,1627832,201586,201980,200768
212,2,202696,203095,203082,203487,203920,202695,1627832,201586,201980,200768
213,2,202696,203095,203082,201571,203920,202695,1627832,201586,201980,200768
214,2,202696,203932,203082,201571,203920,202695,1627832,201586,201980,200768
215,2,202696,203932,203082,201571,1628411,202695,1627832,201586,201980,200768
236,2,202696,203932,203082,201571,1628411,202695,1627832,201188,201980,200768
266,2,202696,203932,203082,201571,203095,202695,1627832,201188,201980,200768
276,2,202696,203932,1628371,201571,203095,202695,1627832,201188,201980,200768
288,2,202696,203932,1628371,203487,203095,202695,1627832,201188,201980,200768
301,2,203920,203932,1628371,203487,203095,202695,1627832,201188,201980,200768
314,2,203920,203932,203082,203487,203095,202695,1627832,201188,201980,200768
337,3,1628371,203932,202696,203095,201571,202695,1627783,201188,201980,200768
408,3,1628411,203932,202696,203095,201571,202695,1627783,201188,201980,200768
430,3,1628411,203932,202696,203095,201571,202695,1627783,201188,201980,1627832
431,3,1628411,203932,202696,203082,201571,202695,1627783,201188,201980,1627832
432,3,1628411,203932,202696,203082,203487,202695,1627783,201188,201980,1627832
445,3,1628411,203932,202696,203082,203487,202695,1627783,201586,201980,1627832
469,3,1628411,203932,202696,203082,203487,1626181,1627783,201586,201980,1627832
470,3,1628411,203932,202696,203082,203487,1626181,1627783,201586,202391,1627832
471,3,1628411,203920,202696,203082,203487,1626181,1627783,201586,202391,1627832
472,3,1628411,203920,1628371,203082,203487,1626181,1627783,201586,202391,1627832
495,4,1628371,203095,203082,203487,203920,1627832,201586,1626181,202391,201975
563,4,202696,203095,203082,203487,203920,1627832,201586,1626181,202391,201975
564,4,202696,203095,203082,203932,203920,1627832,201586,1626181,202391,201975
565,4,202696,203095,203082,203932,201571,1627832,201586,1626181,202391,201975
580,4,202696,203487,203082,203932,201571,1627832,201586,1626181,202391,201975
581,4,202696,203487,1628411,203932,201571,1627832,201586,1626181,202391,201975
582,4,1628518,203487,1628411,203932,201571,1627832,201586,1626181,202391,201975
583,4,1628518,203487,1628411,1626185,201571,1627832,201586,1626181,202391,201975
584,4,1628518,203487,1628411,1626185,1626170,1627832,201586,1626181,202391,201975
604,4,1628518,203487,1628411,1626185,1626170,1627832,1628449,1626181,202391,201975
605,4,1628518,203487,1628411,1626185,1626170,1628070,1628449,1626181,202391,201975
606,4,1628518,203487,1628411,1626185,1626170,1628070,1628449,1626259,202391,201975
