eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
2,1,203107,203490,1628418,203078,203085,202711,201152,1626167,201936,201954
52,1,1626162,203490,1628418,203078,203085,202711,201152,1626167,201936,201954
78,1,1626162,203490,201145,203078,203085,202711,201152,1626167,201936,201954
79,1,1626162,202693,201145,203078,203085,202711,201152,1626167,201936,201954
88,1,1626162,202693,201145,203078,203085,202711,1627734,1626167,201936,201954
98,1,1626162,202693,201145,203078,203085,202709,1627734,1626167,201936,201954
114,1,1626162,101133,201145,203078,203085,202709,1627734,1626167,201936,201954
122,1,1626162,101133,201145,203078,203085,202709,1627734,1626167,201152,201954
123,1,1626162,101133,201145,203078,203085,202709,1627734,203926,201152,201954
139,1,1626162,101133,201145,203078,203085,202709,1627734,203926,201152,1628988
161,2,203107,203085,1626162,201145,101133,201152,1627734,202709,203926,1628988
197,2,203107,203085,1626162,201145,101133,202711,1627734,202709,203926,1628988
202,2,203107,203085,1626162,201145,1628418,202711,1627734,202709,203926,1628988
203,2,203078,203085,1626162,201145,1628418,202711,1627734,202709,203926,1628988
217,2,203078,203107,1626162,201145,1628418,202711,1627734,202709,203926,1628988
221,2,203078,203107,1626162,201145,1628418,202711,1627734,202709,1626167,1628988
229,2,203078,203107,1626162,201145,1628418,202711,201152,202709,1626167,1628988
234,2,203078,203107,1626162,201145,1628418,202711,201152,202709,1626167,201954
245,2,203078,203107,1626162,201145,1628418,202711,201152,201936,1626167,201954
305,2,203078,203085,1626162,201145,1628418,202711,201152,201936,1626167,201954
333,3,203107,1628418,203078,203085,201145,202711,201152,1626167,201936,201954
379,3,203107,202693,203078,203085,201145,202711,201152,1626167,201936,201954
403,3,203107,202693,203078,203085,201145,202711,1627734,1626167,201936,201954
407,3,1626162,202693,203078,203085,201145,202711,1627734,1626167,201936,201954
422,3,1626162,202693,203078,203085,1626155,202711,1627734,1626167,201936,201954
431,3,1626162,202693,203078,203085,1626155,202709,1627734,1626167,201936,201954
443,3,1626162,202693,203078,203085,1626155,202709,1627734,1626167,203926,201954
478,4,203078,203085,1626162,202693,1626155,202711,1627734,202709,203926,1628988
508,4,203078,203085,1626162,202693,1626155,202711,1626167,202709,203926,1628988
509,4,203078,203085,1626162,202693,1626155,202711,1626167,202709,201152,1628988
528,4,203078,203085,1626162,202693,1626155,202711,1626167,202709,201152,201954
529,4,203078,203085,1626162,202693,1626155,202711,1626167,201936,201152,201954
547,4,203078,203107,1626162,202693,1626155,202711,1626167,201936,201152,201954
571,4,203078,203107,1626162,202693,201145,202711,1626167,201936,201152,201954
