possession.id,period,how.possession.ended,team.with.ball,team.with.ball.id,team.without.ball.id,possession.points,possession.time,start.time,end.time,score,scoremargin,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,defensive.fouls,offensive.rebounds,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,made.shot,away,1610612764,1610612752,3,20,0,20,3 - 0,-3,0,0,1,1,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
2,1,made.shot,home,1610612752,1610612764,2,15,20,35,3 - 2,-1,2,1,0,0,0,0,0,1,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
3,1,made.shot,away,1610612764,1610612752,2,11,35,46,5 - 2,-3,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
4,1,last.ft.made,home,1610612752,1610612764,2,9,46,55,5 - 4,-1,0,0,0,0,2,2,1,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
5,1,made.shot,away,1610612764,1610612752,2,22,55,77,7 - 4,-3,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
6,1,made.shot,home,1610612752,1610612764,2,11,77,88,7 - 6,-1,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
7,1,missed.shot,away,1610612764,1610612752,0,17,88,105,7 - 6,-1,0,0,1,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
8,1,made.shot,home,1610612752,1610612764,3,15,105,120,7 - 9,2,0,0,1,1,0,0,1,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
9,1,made.shot,away,1610612764,1610612752,3,21,120,141,10 - 9,-1,0,0,1,1,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
10,1,last.ft.made,home,1610612752,1610612764,3,15,141,156,10 - 12,2,1,1,0,0,1,1,1,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
11,1,missed.shot,away,1610612764,1610612752,1,13,156,169,11 - 12,1,0,0,0,0,2,1,1,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
12,1,missed.shot,home,1610612752,1610612764,0,14,169,183,11 - 12,1,1,0,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
13,1,missed.shot,away,1610612764,1610612752,0,10,183,193,11 - 12,1,0,0,0,0,2,0,1,1,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
14,1,made.shot,home,1610612752,1610612764,3,14,193,207,11 - 15,4,0,0,1,1,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
15,1,missed.shot,away,1610612764,1610612752,0,19,207,226,11 - 15,4,1,0,1,0,0,0,0,1,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
16,1,made.shot,home,1610612752,1610612764,2,13,226,239,11 - 17,6,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
17,1,made.shot,away,1610612764,1610612752,2,11,239,250,13 - 17,4,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
18,1,made.shot,home,1610612752,1610612764,3,10,250,260,13 - 20,7,0,0,1,1,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
19,1,missed.shot,away,1610612764,1610612752,0,22,260,282,13 - 20,7,0,0,1,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
20,1,missed.shot,home,1610612752,1610612764,0,3,282,285,13 - 20,7,1,0,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
21,1,made.shot,away,1610612764,1610612752,2,16,285,301,15 - 20,5,1,1,1,0,0,0,0,1,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
22,1,made.shot,home,1610612752,1610612764,2,13,301,314,15 - 22,7,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
23,1,made.shot,away,1610612764,1610612752,3,17,314,331,18 - 22,4,0,0,2,1,0,0,0,1,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
24,1,made.shot,home,1610612752,1610612764,3,22,331,353,18 - 25,7,1,1,0,0,1,1,1,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
25,1,missed.shot,away,1610612764,1610612752,0,19,353,372,18 - 25,7,1,0,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
26,1,turnover,home,1610612752,1610612764,0,8,372,380,18 - 25,7,0,0,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
27,1,made.shot,away,1610612764,1610612752,2,3,380,383,20 - 25,5,1,1,0,0,0,0,0,0,1629067,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
28,1,missed.shot,home,1610612752,1610612764,0,20,383,403,20 - 25,5,1,0,0,0,0,0,0,0,1628972,1629678,101133,203078,202397,1628995,203944,1629011,1629628,203901
29,1,missed.shot,away,1610612764,1610612752,0,6,403,409,20 - 25,5,0,0,0,0,2,0,1,1,1628972,1629678,1628394,203078,202397,1628995,203944,1629011,1629628,203901
30,1,made.shot,home,1610612752,1610612764,2,19,409,428,20 - 27,7,2,1,0,0,0,0,0,1,1628972,1629678,1628394,203078,202397,1628995,203944,1626171,1629628,203901
31,1,missed.shot,away,1610612764,1610612752,0,12,428,440,20 - 27,7,0,0,1,0,0,0,0,0,1628972,1629678,1628394,203078,202397,1628995,203944,1626171,1629628,203901
32,1,made.shot,home,1610612752,1610612764,2,8,440,448,20 - 29,9,1,1,0,0,0,0,0,0,1628972,1629678,1628394,203078,202397,1628995,203944,1626171,1629628,203901
33,1,missed.shot,away,1610612764,1610612752,0,26,448,474,20 - 29,9,1,0,0,0,0,0,0,0,1628972,1629678,1628394,203078,202397,1628995,203944,1626171,1629628,203901
34,1,made.shot,home,1610612752,1610612764,2,12,474,486,20 - 31,11,3,1,0,0,0,0,0,2,1628972,1629678,1628394,203078,202397,1628995,203944,1626171,1629628,203901
