possession.id,period,how.possession.ended,team.with.ball,team.with.ball.id,team.without.ball.id,possession.points,possession.time,start.time,end.time,score,scoremargin,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,defensive.fouls,offensive.rebounds,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,missed.shot,away,1610612743,1610612754,0,21,0,21,,,0,0,1,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
2,1,made.shot,home,1610612754,1610612743,2,20,21,41,0 - 2,2,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
3,1,missed.shot,away,1610612743,1610612754,0,33,41,74,0 - 2,2,0,0,2,0,0,0,0,1,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
4,1,made.shot,home,1610612754,1610612743,2,10,74,84,0 - 4,4,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
5,1,made.shot,away,1610612743,1610612754,2,16,84,100,2 - 4,2,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
6,1,last.ft.made,home,1610612754,1610612743,2,17,100,117,2 - 6,4,0,0,0,0,2,2,1,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
7,1,last.ft.made,away,1610612743,1610612754,2,17,117,134,4 - 6,2,0,0,0,0,2,2,1,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
8,1,missed.shot,home,1610612754,1610612743,0,24,134,158,4 - 6,2,1,0,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
9,1,made.shot,away,1610612743,1610612754,2,20,158,178,6 - 6,TIE,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
10,1,made.shot,home,1610612754,1610612743,2,17,178,195,6 - 8,2,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
11,1,turnover,away,1610612743,1610612754,0,19,195,214,6 - 8,2,0,0,1,0,0,0,0,1,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
12,1,made.shot,home,1610612754,1610612743,3,6,214,220,6 - 11,5,0,0,1,1,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
13,1,turnover,away,1610612743,1610612754,0,17,220,237,6 - 11,5,0,0,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
14,1,made.shot,home,1610612754,1610612743,2,17,237,254,6 - 13,7,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
15,1,missed.shot,away,1610612743,1610612754,0,22,254,276,6 - 13,7,1,0,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
16,1,made.shot,home,1610612754,1610612743,3,12,276,288,6 - 16,10,0,0,1,1,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
17,1,missed.shot,away,1610612743,1610612754,0,24,288,312,6 - 16,10,0,0,1,0,0,0,1,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
18,1,turnover,home,1610612754,1610612743,0,6,312,318,6 - 16,10,0,0,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
19,1,last.ft.made,away,1610612743,1610612754,2,5,318,323,8 - 16,8,0,0,0,0,2,2,1,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
20,1,made.shot,home,1610612754,1610612743,2,15,323,338,8 - 18,10,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
21,1,made.shot,away,1610612743,1610612754,2,20,338,358,10 - 18,8,1,1,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
22,1,made.shot,home,1610612754,1610612743,3,16,358,374,10 - 21,11,0,0,1,1,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
23,1,turnover,away,1610612743,1610612754,0,17,374,391,10 - 21,11,0,0,0,0,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
24,1,made.shot,home,1610612754,1610612743,3,6,391,397,10 - 24,14,0,0,1,1,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
25,1,made.shot,away,1610612743,1610612754,3,18,397,415,13 - 24,11,0,0,1,1,0,0,0,0,203914,200794,203999,203115,1627750,203933,1627734,1626167,203087,1628988
26,1,missed.shot,home,1610612754,1610612743,2,16,415,431,13 - 26,13,1,1,0,0,1,0,1,0,203914,1629008,203999,203924,1627750,203933,203200,1626167,203087,1628988
27,1,last.ft.made,away,1610612743,1610612754,4,9,431,440,17 - 26,9,0,0,1,1,1,1,1,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,1628988
28,1,last.ft.made,home,1610612754,1610612743,1,23,440,463,17 - 27,10,0,0,0,0,2,1,1,1,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
29,1,made.shot,away,1610612743,1610612754,2,18,463,481,19 - 27,8,1,1,0,0,0,0,0,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
30,1,made.shot,home,1610612754,1610612743,2,16,481,497,19 - 29,10,1,1,0,0,0,0,0,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
31,1,missed.shot,away,1610612743,1610612754,0,15,497,512,19 - 29,10,0,0,1,0,0,0,0,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
32,1,missed.shot,home,1610612754,1610612743,0,10,512,522,19 - 29,10,1,0,0,0,0,0,0,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
33,1,made.shot,away,1610612743,1610612754,2,5,522,527,21 - 29,8,1,1,0,0,0,0,0,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
34,1,made.shot,home,1610612754,1610612743,2,26,527,553,21 - 31,10,1,1,1,0,0,0,0,1,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
35,1,made.shot,away,1610612743,1610612754,2,22,553,575,23 - 31,8,1,1,0,0,0,0,0,0,203914,1629008,203486,203924,1627750,203933,203200,1626167,203087,204456
36,1,missed.shot,home,1610612754,1610612743,0,20,575,595,23 - 31,8,1,0,0,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
37,1,made.shot,away,1610612743,1610612754,2,9,595,604,25 - 31,6,1,1,0,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
38,1,missed.shot,home,1610612754,1610612743,0,16,604,620,25 - 31,6,0,0,1,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
39,1,made.shot,away,1610612743,1610612754,2,9,620,629,27 - 31,4,1,1,1,0,0,0,0,1,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
40,1,made.shot,home,1610612754,1610612743,2,18,629,647,27 - 33,6,1,1,0,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
41,1,missed.shot,away,1610612743,1610612754,0,22,647,669,27 - 33,6,1,0,0,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
42,1,missed.shot,home,1610612754,1610612743,0,14,669,683,27 - 33,6,0,0,1,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
43,1,missed.shot,away,1610612743,1610612754,0,9,683,692,27 - 33,6,1,0,0,0,0,0,0,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
44,1,made.shot,home,1610612754,1610612743,2,7,692,699,27 - 35,8,1,1,0,0,0,0,1,0,203115,1629008,203486,203924,1627750,203933,203200,1627734,203087,204456
45,1,turnover,away,1610612743,1610612754,0,17,699,716,27 - 35,8,0,0,0,0,0,0,0,0,203115,1629008,203486,203924,1628420,203926,203200,1627734,1629048,204456
