possession.id,period,how.possession.ended,team.with.ball,team.with.ball.id,team.without.ball.id,possession.points,possession.time,start.time,end.time,score,scoremargin,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,defensive.fouls,offensive.rebounds,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,missed.shot,home,1610612764,1610612751,0,21,0,21,,,0,0,1,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
2,1,turnover,away,1610612751,1610612764,0,13,21,34,,,0,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
3,1,made.shot,home,1610612764,1610612751,3,6,34,40,0 - 3,3,0,0,1,1,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
4,1,turnover,away,1610612751,1610612764,0,17,40,57,0 - 3,3,0,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
5,1,made.shot,home,1610612764,1610612751,3,4,57,61,0 - 6,6,0,0,1,1,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
6,1,made.shot,away,1610612751,1610612764,2,30,61,91,2 - 6,4,1,1,0,0,0,0,1,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
7,1,made.shot,home,1610612764,1610612751,2,24,91,115,2 - 8,6,2,1,0,0,0,0,0,1,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
8,1,missed.shot,away,1610612751,1610612764,0,16,115,131,2 - 8,6,0,0,1,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
9,1,turnover,home,1610612764,1610612751,0,14,131,145,2 - 8,6,0,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
10,1,last.ft.made,away,1610612751,1610612764,3,3,145,148,5 - 8,3,1,1,0,0,1,1,1,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,203894
11,1,missed.shot,home,1610612764,1610612751,0,23,148,171,5 - 8,3,1,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
12,1,turnover,away,1610612751,1610612764,0,8,171,179,5 - 8,3,0,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
13,1,made.shot,home,1610612764,1610612751,2,4,179,183,5 - 10,5,1,1,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
14,1,missed.shot,away,1610612751,1610612764,0,15,183,198,5 - 10,5,1,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
15,1,made.shot,home,1610612764,1610612751,2,5,198,203,5 - 12,7,1,1,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
16,1,missed.shot,away,1610612751,1610612764,0,18,203,221,5 - 12,7,0,0,1,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
17,1,made.shot,home,1610612764,1610612751,2,4,221,225,5 - 14,9,1,1,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
18,1,missed.shot,away,1610612751,1610612764,0,18,225,243,5 - 14,9,0,0,1,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
19,1,missed.shot,home,1610612764,1610612751,0,7,243,250,5 - 14,9,1,0,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
20,1,made.shot,away,1610612751,1610612764,3,12,250,262,8 - 14,6,0,0,1,1,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
21,1,missed.shot,home,1610612764,1610612751,0,22,262,284,8 - 14,6,3,0,0,0,0,0,0,2,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
22,1,made.shot,away,1610612751,1610612764,3,6,284,290,11 - 14,3,0,0,1,1,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
23,1,made.shot,home,1610612764,1610612751,2,19,290,309,11 - 16,5,1,1,0,0,0,0,0,0,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
24,1,missed.shot,away,1610612751,1610612764,0,15,309,324,11 - 16,5,0,0,0,0,2,0,1,1,203925,1627752,1628386,1627747,203915,1629067,1629060,101133,203078,202397
25,1,missed.shot,home,1610612764,1610612751,0,19,324,343,11 - 16,5,1,0,0,0,0,0,0,0,203925,1627752,1628386,202066,203915,1629067,1629060,101133,203078,202397
26,1,turnover,away,1610612751,1610612764,0,6,343,349,11 - 16,5,0,0,0,0,0,0,1,0,203925,1627752,1628386,202066,203915,1629067,1629060,101133,203078,202397
27,1,made.shot,home,1610612764,1610612751,3,10,349,359,11 - 19,8,0,0,1,1,0,0,0,0,203925,1627752,1628386,202066,203915,1629067,1629060,101133,203078,202397
28,1,made.shot,away,1610612751,1610612764,2,20,359,379,13 - 19,6,2,1,0,0,0,0,0,1,203925,1627752,1628386,202066,203915,1629067,1629060,101133,203078,202397
29,1,last.ft.made,home,1610612764,1610612751,1,7,379,386,13 - 20,7,0,0,0,0,2,1,1,1,203925,1627752,1628386,202066,203915,1629067,1629060,101133,203078,202397
30,1,missed.shot,away,1610612751,1610612764,1,16,386,402,14 - 20,6,0,0,0,0,2,1,1,0,203925,1629066,201599,202066,203915,1628418,1629060,202722,203078,202397
31,1,missed.shot,home,1610612764,1610612751,0,17,402,419,14 - 20,6,1,0,0,0,0,0,0,0,203925,1629066,201599,202066,203915,1628418,1629060,202722,203078,202397
