possession.id,period,how.possession.ended,team.with.ball,team.with.ball.id,possession.points,poss.time,start.time,end.time,score,scoremargin,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,defensive.fouls,offensive.rebounds,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,missed.shot,away,1610612749,0,15,0,15,,,1,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
2,1,missed.shot,home,1610612752,0,16,15,31,,,1,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
3,1,made.shot,away,1610612749,2,9,31,40,2 - 0,-2,1,1,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
4,1,missed.shot,home,1610612752,0,14,40,54,2 - 0,-2,1,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
5,1,made.shot,away,1610612749,3,6,54,60,5 - 0,-5,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
6,1,last.ft.made,home,1610612752,2,26,60,86,5 - 2,-3,2,0,0,0,2,2,1,2,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
7,1,missed.shot,away,1610612749,0,13,86,99,5 - 2,-3,1,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
8,1,missed.shot,home,1610612752,0,8,99,107,5 - 2,-3,1,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
9,1,made.shot,away,1610612749,3,3,107,110,8 - 2,-6,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
10,1,missed.shot,home,1610612752,0,20,110,130,8 - 2,-6,0,0,1,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
11,1,last.ft.made,away,1610612749,3,4,130,134,11 - 2,-9,0,0,0,0,3,3,1,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
12,1,made.shot,home,1610612752,2,12,134,146,11 - 4,-7,1,1,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
13,1,made.shot,away,1610612749,3,11,146,157,14 - 4,-10,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
14,1,missed.shot,home,1610612752,0,16,157,173,14 - 4,-10,1,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
15,1,made.shot,away,1610612749,3,10,173,183,17 - 4,-13,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
16,1,missed.shot,home,1610612752,0,23,183,206,17 - 4,-13,1,0,0,0,0,0,1,0,203507,101141,201572,1628978,203114,202694,203944,201959,1629628,203901
17,1,turnover,away,1610612749,0,4,206,210,17 - 4,-13,0,0,0,0,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,1629011,1629628,203901
18,1,made.shot,home,1610612752,2,9,210,219,17 - 6,-11,2,1,0,0,0,0,1,1,203507,101141,201572,1628978,203114,202694,203944,1629011,1629628,203901
19,1,made.shot,away,1610612749,3,9,219,228,20 - 6,-14,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,1629011,1629628,203901
20,1,missed.shot,home,1610612752,0,27,228,255,20 - 6,-14,1,0,1,0,0,0,0,1,203507,101141,201572,1628978,203114,202694,203944,1629011,1629628,203901
21,1,made.shot,away,1610612749,3,3,255,258,23 - 6,-17,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,1629011,1629628,203901
22,1,made.shot,home,1610612752,3,19,258,277,23 - 9,-14,0,0,1,1,0,0,0,0,203507,101141,201572,1628978,203114,202694,203944,1629011,1629628,203901
23,1,missed.shot,away,1610612749,2,10,277,287,25 - 9,-16,1,1,0,0,1,0,1,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
24,1,missed.shot,home,1610612752,0,28,287,315,25 - 9,-16,0,0,1,0,0,0,1,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
25,1,turnover,away,1610612749,0,19,315,334,25 - 9,-16,0,0,0,0,0,0,0,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
26,1,missed.shot,home,1610612752,1,5,334,339,25 - 10,-15,0,0,0,0,2,1,1,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
27,1,missed.shot,away,1610612749,0,13,339,352,25 - 10,-15,0,0,1,0,0,0,0,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
28,1,made.shot,home,1610612752,2,18,352,370,25 - 12,-13,1,1,0,0,0,0,0,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
29,1,last.ft.made,away,1610612749,2,13,370,383,27 - 12,-15,0,0,0,0,2,2,1,0,203507,101141,201572,1628978,1628425,202694,203944,1629011,1629628,203901
