player.name,player.id,team.abbreviation,period
Rudy Gay,200752,MEM,1
Zach Randolph,2216,MEM,1
Marc Gasol,201188,MEM,1
O.J. Mayo,201564,MEM,1
Mike Conley,201144,MEM,1
Quentin Richardson,2047,ORL,1
Rashard Lewis,1740,ORL,1
Dwight Howard,2730,ORL,1
Vince Carter,1713,ORL,1
Jameer Nelson,2749,ORL,1
Tony Allen,2754,MEM,2
Greivis Vasquez,202349,MEM,2
Darrell Arthur,201589,MEM,2
Xavier Henry,202333,MEM,2
Hasheem Thabeet,201934,MEM,2
Rashard Lewis,1740,ORL,2
Vince Carter,1713,ORL,2
Brandon Bass,101138,ORL,2
Chris Duhon,2768,ORL,2
Marcin Gortat,101162,ORL,2
Rudy Gay,200752,MEM,3
Zach Randolph,2216,MEM,3
Marc Gasol,201188,MEM,3
O.J. Mayo,201564,MEM,3
Mike Conley,201144,MEM,3
Quentin Richardson,2047,ORL,3
Rashard Lewis,1740,ORL,3
Dwight Howard,2730,ORL,3
Vince Carter,1713,ORL,3
Jameer Nelson,2749,ORL,3
Rudy Gay,200752,MEM,4
Zach Randolph,2216,MEM,4
Greivis Vasquez,202349,MEM,4
Darrell Arthur,201589,MEM,4
Xavier Henry,202333,MEM,4
Quentin Richardson,2047,ORL,4
Dwight Howard,2730,ORL,4
Mickael Pietrus,2554,ORL,4
Chris Duhon,2768,ORL,4
Marcin Gortat,101162,ORL,4
