player.name,player.id,team.abbreviation,period
Andrei Kirilenko,1905,UTA,1
Paul Millsap,200794,UTA,1
Al Jefferson,2744,UTA,1
Raja Bell,1952,UTA,1
Deron Williams,101114,UTA,1
Paul Pierce,1718,BOS,1
Kevin Garnett,708,BOS,1
Shaquille O'Neal,406,BOS,1
Ray Allen,951,BOS,1
Rajon Rondo,200765,BOS,1
Andrei Kirilenko,1905,UTA,2
Deron Williams,101114,UTA,2
Earl Watson,2248,UTA,2
CJ Miles,101139,UTA,2
Mehmet Okur,2246,UTA,2
Ray Allen,951,BOS,2
Glen Davis,201175,BOS,2
Nate Robinson,101126,BOS,2
Marquis Daniels,2605,BOS,2
Semih Erden,201623,BOS,2
Andrei Kirilenko,1905,UTA,3
Paul Millsap,200794,UTA,3
Al Jefferson,2744,UTA,3
Raja Bell,1952,UTA,3
Deron Williams,101114,UTA,3
Paul Pierce,1718,BOS,3
Kevin Garnett,708,BOS,3
Ray Allen,951,BOS,3
Rajon Rondo,200765,BOS,3
Semih Erden,201623,BOS,3
Deron Williams,101114,UTA,4
Gordon Hayward,202330,UTA,4
Kyrylo Fesenko,201178,UTA,4
Ronnie Price,101179,UTA,4
Francisco Elson,1922,UTA,4
Glen Davis,201175,BOS,4
Nate Robinson,101126,BOS,4
Marquis Daniels,2605,BOS,4
Semih Erden,201623,BOS,4
Von Wafer,101144,BOS,4
