GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021300057,1610612759,SAS,San Antonio,202695,Kawhi Leonard,F,,8:52,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,1,4,7.0
0021300057,1610612759,SAS,San Antonio,1495,Tim Duncan,F,,6:39,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,1,0,1,1,3,4,6.0
0021300057,1610612759,SAS,San Antonio,201168,Tiago Splitter,C,,3:05,1,1,1.0,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,1,3,4.0
0021300057,1610612759,SAS,San Antonio,201980,Danny Green,G,,8:02,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,0,1,1,0,0,2,12.0
0021300057,1610612759,SAS,San Antonio,2225,Tony Parker,G,,6:39,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,1,1,0,2,0,4,6.0
0021300057,1610612759,SAS,San Antonio,2564,Boris Diaw,,,11:46,2,4,0.5,1,2,0.5,0,0,0.0,2,5,7,1,0,0,0,0,5,14.0
0021300057,1610612759,SAS,San Antonio,1938,Manu Ginobili,,,6:38,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,1,2,9.0
0021300057,1610612759,SAS,San Antonio,201988,Patty Mills,,,5:07,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,1,0,1,4,5,8.0
0021300057,1610612759,SAS,San Antonio,201965,Jeff Ayres,,,2:02,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,4.0
0021300057,1610612743,DEN,Denver,202706,Jordan Hamilton,F,,4:36,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5.0
0021300057,1610612743,DEN,Denver,202702,Kenneth Faried,F,,9:20,3,6,0.5,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,7,-10.0
0021300057,1610612743,DEN,Denver,201580,JaVale McGee,C,,7:10,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,1,0,-9.0
0021300057,1610612743,DEN,Denver,200751,Randy Foye,G,,7:51,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,2,0,0,1,0,-7.0
0021300057,1610612743,DEN,Denver,201951,Ty Lawson,G,,10:56,1,5,0.2,0,2,0.0,5,5,1.0,0,1,1,2,1,0,1,0,7,-11.0
0021300057,1610612743,DEN,Denver,101126,Nate Robinson,,,0:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3.0
0021300057,1610612743,DEN,Denver,201581,JJ Hickson,,,2:26,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4.0
0021300057,1610612743,DEN,Denver,202389,Timofey Mozgov,,,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.0
0021300057,1610612743,DEN,Denver,1889,Andre Miller,,,11:46,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-14.0
0021300057,1610612743,DEN,Denver,201589,Darrell Arthur,,,3:11,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,-6.0
