player.name,player.id,team.abbreviation,period
Lauri Markkanen,1628374,CHI,1
Otto Porter Jr.,203490,CHI,1
Wendell Carter Jr.,1628976,CHI,1
Zach LaVine,203897,CHI,1
Tomas Satoransky,203107,CHI,1
Marcus Morris Sr.,202694,NYK,1
Julius Randle,203944,NYK,1
Mitchell Robinson,1629011,NYK,1
RJ Barrett,1629628,NYK,1
Elfrid Payton,203901,NYK,1
Wendell Carter Jr.,1628976,CHI,2
Kris Dunn,1627739,CHI,2
Thaddeus Young,201152,CHI,2
Coby White,1629632,CHI,2
Ryan Arcidiacono,1627853,CHI,2
Kevin Knox II,1628995,NYK,2
Frank Ntilikina,1628373,NYK,2
Bobby Portis,1626171,NYK,2
Wayne Ellington,201961,NYK,2
Taj Gibson,201959,NYK,2
Lauri Markkanen,1628374,CHI,3
Otto Porter Jr.,203490,CHI,3
Wendell Carter Jr.,1628976,CHI,3
Zach LaVine,203897,CHI,3
Tomas Satoransky,203107,CHI,3
Marcus Morris Sr.,202694,NYK,3
Julius Randle,203944,NYK,3
Mitchell Robinson,1629011,NYK,3
RJ Barrett,1629628,NYK,3
Elfrid Payton,203901,NYK,3
Wendell Carter Jr.,1628976,CHI,4
Kris Dunn,1627739,CHI,4
Thaddeus Young,201152,CHI,4
Coby White,1629632,CHI,4
Ryan Arcidiacono,1627853,CHI,4
Julius Randle,203944,NYK,4
Kevin Knox II,1628995,NYK,4
Frank Ntilikina,1628373,NYK,4
Bobby Portis,1626171,NYK,4
Wayne Ellington,201961,NYK,4
