PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
De'Andre Hunter,1629631,ATL,1
John Collins,1628381,ATL,1
Dewayne Dedmon,203473,ATL,1
Kevin Huerter,1628989,ATL,1
Jeff Teague,201952,ATL,1
Jerome Robinson,1629010,WAS,1
Rui Hachimura,1629060,WAS,1
Thomas Bryant,1628418,WAS,1
Bradley Beal,203078,WAS,1
Shabazz Napier,203894,WAS,1
De'Andre Hunter,1629631,ATL,2
Dewayne Dedmon,203473,ATL,2
Kevin Huerter,1628989,ATL,2
Cam Reddish,1629629,ATL,2
Vince Carter,1713,ATL,2
Jerome Robinson,1629010,WAS,2
Moritz Wagner,1629021,WAS,2
Troy Brown Jr.,1628972,WAS,2
Davis Bertans,202722,WAS,2
Isaac Bonga,1629067,WAS,2
De'Andre Hunter,1629631,ATL,3
John Collins,1628381,ATL,3
Dewayne Dedmon,203473,ATL,3
Kevin Huerter,1628989,ATL,3
Jeff Teague,201952,ATL,3
Jerome Robinson,1629010,WAS,3
Rui Hachimura,1629060,WAS,3
Thomas Bryant,1628418,WAS,3
Bradley Beal,203078,WAS,3
Shabazz Napier,203894,WAS,3
De'Andre Hunter,1629631,ATL,4
John Collins,1628381,ATL,4
Kevin Huerter,1628989,ATL,4
Jeff Teague,201952,ATL,4
Vince Carter,1713,ATL,4
Jerome Robinson,1629010,WAS,4
Moritz Wagner,1629021,WAS,4
Troy Brown Jr.,1628972,WAS,4
Davis Bertans,202722,WAS,4
Isaac Bonga,1629067,WAS,4
