PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Patrick McCaw,1627775,TOR,1
OG Anunoby,1628384,TOR,1
Serge Ibaka,201586,TOR,1
Fred VanVleet,1627832,TOR,1
Kyle Lowry,200768,TOR,1
T.J. Warren,203933,IND,1
Domantas Sabonis,1627734,IND,1
Myles Turner,1626167,IND,1
Jeremy Lamb,203087,IND,1
Aaron Holiday,1628988,IND,1
Patrick McCaw,1627775,TOR,2
Kyle Lowry,200768,TOR,2
Rondae Hollis-Jefferson,1626178,TOR,2
Terence Davis,1629056,TOR,2
Chris Boucher,1628449,TOR,2
Domantas Sabonis,1627734,IND,2
Justin Holiday,203200,IND,2
T.J. McConnell,204456,IND,2
Edmond Sumner,1628410,IND,2
Doug McDermott,203926,IND,2
Patrick McCaw,1627775,TOR,3
OG Anunoby,1628384,TOR,3
Serge Ibaka,201586,TOR,3
Fred VanVleet,1627832,TOR,3
Kyle Lowry,200768,TOR,3
T.J. Warren,203933,IND,3
Domantas Sabonis,1627734,IND,3
Myles Turner,1626167,IND,3
Jeremy Lamb,203087,IND,3
Aaron Holiday,1628988,IND,3
OG Anunoby,1628384,TOR,4
Kyle Lowry,200768,TOR,4
Rondae Hollis-Jefferson,1626178,TOR,4
Terence Davis,1629056,TOR,4
Chris Boucher,1628449,TOR,4
Domantas Sabonis,1627734,IND,4
Justin Holiday,203200,IND,4
T.J. McConnell,204456,IND,4
Edmond Sumner,1628410,IND,4
Doug McDermott,203926,IND,4
OG Anunoby,1628384,TOR,5
Serge Ibaka,201586,TOR,5
Fred VanVleet,1627832,TOR,5
Kyle Lowry,200768,TOR,5
Rondae Hollis-Jefferson,1626178,TOR,5
T.J. Warren,203933,IND,5
Domantas Sabonis,1627734,IND,5
Myles Turner,1626167,IND,5
Jeremy Lamb,203087,IND,5
Aaron Holiday,1628988,IND,5
