eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,away.6
2,1,1626162,203967,1626163,1626164,201937,1627863,200782,203991,201935,201566,NA
64,1,1626162,203967,1626163,1626164,201937,203463,200782,203991,201935,201566,NA
81,1,1626162,203967,1626163,1626164,201937,203463,200782,203991,201935,1628392,NA
82,1,1626162,203967,1626163,1626164,201937,203463,200782,203085,201935,1628392,NA
83,1,1626162,203967,1628969,1626164,201937,203463,200782,203085,201935,1628392,NA
105,1,1626162,203967,1628969,1626164,1629660,203463,200782,203085,201935,1628392,NA
115,1,1626162,203967,1628969,1626164,1629660,203463,200782,203085,201935,1627863,NA
127,1,1626162,203967,1628969,1626164,1629660,203463,201566,203085,201935,1627863,NA
128,1,1626162,203967,1628969,1627767,1629660,203463,201566,203085,201935,1627863,NA
129,1,1626162,1629661,1628969,1627767,1629660,203463,201566,203085,201935,1627863,NA
154,1,1626162,1629661,1628969,1627767,1629660,203463,201566,203085,200782,1627863,NA
173,1,1626163,1629661,1628969,1627767,1629660,203463,201566,203085,200782,1627863,NA
174,1,1626163,1629661,1628969,1627767,201937,203463,201566,203085,200782,1627863,NA
179,2,1626163,201937,1628969,1627767,1629661,1627863,200782,201566,203463,203085,204020
261,2,1626163,201937,1628969,204020,1629661,1627863,200782,201566,203463,203085,204020
219,2,1626163,201937,1628969,204020,1629661,1627863,200782,201935,203463,203085,204020
220,2,1626163,201937,1628969,204020,1629661,200757,200782,201935,203463,203085,204020
221,2,1626163,201937,1628969,204020,1629661,200757,203991,201935,203463,203085,204020
223,2,1626163,201937,1628969,204020,1626162,200757,203991,201935,203463,203085,204020
224,2,1626163,201937,1626164,204020,1626162,200757,203991,201935,203463,203085,204020
238,2,1626163,201937,1626164,203967,1626162,200757,203991,201935,203463,203085,204020
264,2,1626163,201937,1626164,203967,1626162,200757,203991,201935,201566,203085,204020
265,2,1629660,201937,1626164,203967,1626162,200757,203991,201935,201566,203085,204020
268,2,1629660,1627767,1626164,203967,1626162,200757,203991,201935,201566,203085,204020
299,2,1629660,1627767,1626164,203967,1626162,200757,203991,201935,201566,1627863,204020
312,2,1629660,1627767,1626164,203967,1626162,200782,203991,201935,201566,1627863,204020
313,2,201937,1627767,1626164,203967,1626162,200782,203991,201935,201566,1627863,204020
314,2,201937,1626163,1626164,203967,1626162,200782,203991,201935,201566,1627863,204020
357,3,1626162,203967,1626163,1626164,201937,1627863,200782,203991,201935,201566,NA
408,3,1626162,203967,1626163,1626164,201937,203463,200782,203991,201935,201566,NA
440,3,1626162,203967,1626163,1626164,201937,203463,200782,203991,201935,203085,NA
441,3,1626162,203967,1629660,1626164,201937,203463,200782,203991,201935,203085,NA
442,3,1626162,203967,1629660,1626164,1629661,203463,200782,203991,201935,203085,NA
459,3,1626162,203967,1629660,1626164,1629661,203463,200782,1627863,201935,203085,NA
475,3,1626162,203967,1629660,1626164,1629661,203463,200782,200757,201935,203085,NA
476,3,1626162,1627767,1629660,1626164,1629661,203463,200782,200757,201935,203085,NA
483,3,1628969,1627767,1629660,1626164,1629661,203463,200782,200757,201935,203085,NA
488,3,1628969,1627767,1629660,1626164,1629661,203463,200782,200757,201935,201566,NA
516,3,1628969,1627767,1629660,1626164,1629661,203463,200782,200757,203085,201566,NA
546,4,1626162,201937,1628969,1627767,1629661,203991,201566,203463,203085,200757,NA
570,4,1626162,201937,1628969,1627767,1629661,203991,201566,1627863,203085,200757,NA
581,4,1626162,201937,1628969,1627767,1629661,203991,201566,1627863,203085,201935,NA
592,4,1626162,201937,1628969,1627767,1629661,203991,201566,200782,203085,201935,NA
604,4,1626162,201937,1628969,1627767,1626164,203991,201566,200782,203085,201935,NA
609,4,1626162,201937,1628969,1627767,1626164,203991,203463,200782,203085,201935,NA
625,4,1626162,201937,1628969,1627767,1626164,1627863,203463,200782,203085,201935,NA
632,4,1626162,203967,1628969,1627767,1626164,1627863,203463,200782,203085,201935,NA
633,4,1626162,203967,1628969,1629660,1626164,1627863,203463,200782,203085,201935,NA
654,4,1626162,203967,201937,1629660,1626164,1627863,203463,200782,203085,201935,NA
655,4,1626162,203967,201937,1629661,1626164,1627863,203463,200782,203085,201935,NA
676,4,1626162,203967,201937,1629661,1626164,1627863,203463,200782,201566,201935,NA
723,4,1626162,1628969,201937,1629661,1626164,1627863,203463,200782,201566,201935,NA
