eventorder,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,202699,203118,201143,1629680,1629003,2544,203076,201580,201980,202340
50,1,202699,1627788,201143,1629680,1629003,2544,203076,201580,201980,202340
51,1,202699,1627788,201143,203922,1629003,2544,203076,201580,201980,202340
69,1,202699,1627788,201143,203922,1629003,2544,203076,1628398,201980,202340
70,1,202699,1627788,201143,203922,1629003,2544,203076,1628398,200765,202340
71,1,202699,1627788,201143,203922,1629003,203484,203076,1628398,200765,202340
83,1,202699,1627788,201143,203922,1629003,203484,203076,1628398,200765,202693
92,1,203118,1627788,201143,203922,1629003,203484,203076,1628398,200765,202693
93,1,203118,1627788,201143,203922,203526,203484,203076,1628398,200765,202693
94,1,203118,1627788,203658,203922,203526,203484,203076,1628398,200765,202693
110,1,203118,1627788,203658,203922,203526,203484,2544,1628398,200765,202693
116,1,203118,1627788,201143,203922,203526,203484,2544,1628398,200765,202693
124,2,203118,1627788,203922,203526,202692,2544,200765,203484,202693,2730
149,2,203118,1627788,203922,203526,202692,2544,200765,202340,202693,2730
150,2,203118,1627788,203922,203526,202692,2544,201980,202340,202693,2730
151,2,203118,1629680,203922,203526,202692,2544,201980,202340,202693,2730
160,2,203118,1629680,203922,203526,202692,2544,201980,202340,203076,2730
161,2,201143,1629680,203922,203526,202692,2544,201980,202340,203076,2730
166,2,201143,1629680,203922,1629003,202692,2544,201980,202340,203076,2730
167,2,201143,1629680,202699,1629003,202692,2544,201980,202340,203076,2730
174,2,201143,1629680,202699,1629003,202692,200765,201980,202340,203076,2730
187,2,201143,203922,202699,1629003,202692,200765,201980,202340,203076,2730
194,2,201143,203922,203118,1629003,202692,200765,201980,202340,203076,2730
195,2,201143,203922,203118,1629003,1627788,200765,201980,202340,203076,2730
198,2,201143,203922,203118,1629003,1627788,200765,201980,202340,203076,1628398
202,2,201143,203922,203118,1629003,1627788,203484,201980,202340,203076,1628398
203,2,201143,203922,203118,1629003,1627788,203484,2544,202340,203076,1628398
212,2,201143,203922,203118,203526,1627788,203484,2544,202340,203076,1628398
234,3,202699,203118,201143,1629680,1629003,2544,203076,201580,201980,202340
264,3,202699,203118,201143,1629680,202692,2544,203076,201580,201980,202340
268,3,202699,203118,203922,1629680,202692,2544,203076,201580,201980,202340
292,3,202699,203118,203922,1629680,202692,2544,203076,203484,201980,202340
293,3,202699,203118,203922,1629680,202692,2544,203076,203484,1628398,202340
294,3,202699,203118,203922,1629680,202692,200765,203076,203484,1628398,202340
295,3,202699,203118,203922,1627788,202692,200765,203076,203484,1628398,202340
305,3,202699,203118,203922,1627788,202692,200765,203076,203484,1628398,202693
306,3,202699,201143,203922,1627788,202692,200765,203076,203484,1628398,202693
339,4,203118,201143,1629003,1627788,203922,2544,200765,203484,202693,2730
357,4,203118,201143,1629003,1627788,203922,2544,203076,203484,202693,2730
358,4,203118,201143,1629003,1627788,203922,2544,203076,203484,201980,2730
359,4,203118,202699,1629003,1627788,203922,2544,203076,203484,201980,2730
368,4,203118,202699,1629003,1627788,203922,2544,203076,202340,201980,2730
369,4,203118,202699,1629003,202692,203922,2544,203076,202340,201980,2730
386,4,203118,202699,1629003,202692,203922,1628398,203076,202340,201980,2730
387,4,203118,202699,1629003,202692,203922,1628398,203076,202340,201980,200765
392,4,203118,202699,1629003,202692,201143,1628398,203076,202340,201980,200765
405,4,203118,202699,1629003,202692,201143,1628398,203076,202340,201980,2544
413,4,203118,202699,1629003,202692,201143,1628398,203076,202340,203484,2544
418,4,203118,202699,203922,202692,201143,1628398,203076,202340,203484,2544
426,4,203118,202699,203922,202692,201143,1628398,203076,202340,203484,201162
427,4,203118,202699,203922,202692,201143,1628398,1626188,202340,203484,201162
432,4,1627788,202699,203922,202692,201143,1628398,1626188,202340,203484,201162
433,4,1627788,203658,203922,202692,201143,1628398,1626188,202340,203484,201162
434,4,1627788,203658,203922,1629680,201143,1628398,1626188,202340,203484,201162
435,4,1627788,203658,203922,1629680,203526,1628398,1626188,202340,203484,201162
436,4,1627788,203658,1629003,1629680,203526,1628398,1626188,202340,203484,201162
