eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,away.6
2,1,202710,1628389,203086,1629130,1629134,1627885,1628374,1628976,203897,203107,NA
36,1,202710,1628389,203086,1629130,1629134,1627885,1628374,1628976,1627853,203107,NA
59,1,202710,1628389,203086,1629130,1629134,1629632,1628374,1628976,1627853,203107,NA
60,1,202710,1628389,203086,1629130,1629134,1629632,1628374,1628976,1627853,1627739,NA
61,1,202710,1628389,203086,201609,1629134,1629632,1628374,1628976,1627853,1627739,NA
68,1,202710,1628389,203086,201609,1629134,1629632,1628374,1629655,1627853,1627739,NA
79,1,202710,1628389,203086,201609,1629134,1629632,201152,1629655,1627853,1627739,NA
99,1,202710,1628389,1629639,201609,1629134,1629632,201152,1629655,1627853,1627739,NA
100,1,202710,203482,1629639,201609,1629134,1629632,201152,1629655,1627853,1627739,NA
101,1,202710,203482,1629639,201609,1629735,1629632,201152,1629655,1627853,1627739,NA
110,1,202710,203482,1629639,201609,1629735,1629632,201152,1629655,203897,1627739,NA
118,1,1629130,203482,1629639,201609,1629735,1629632,201152,1629655,203897,1627739,NA
149,2,1629130,201609,1629639,203482,1629735,1628976,203897,1629632,1627739,201152,NA
167,2,1629130,201609,1629639,203482,1629735,1628976,203897,1627885,1627739,201152,NA
174,2,1629130,201609,1629639,203482,1629735,1628374,203897,1627885,1627739,201152,NA
202,2,1629130,201609,1629639,203482,1629735,1628374,203897,1627885,1627739,203107,NA
203,2,1629130,201609,1629639,203482,1629735,1628374,203897,1627885,1629655,203107,NA
204,2,1629130,201609,1629639,203482,1628389,1628374,203897,1627885,1629655,203107,NA
224,2,1629130,202710,1629639,203482,1628389,1628374,203897,1627885,1629655,203107,NA
225,2,1629134,202710,1629639,203482,1628389,1628374,203897,1627885,1629655,203107,NA
239,2,1629134,202710,1629639,203482,1628389,1628374,203897,1629632,1629655,203107,NA
240,2,1629134,202710,1629639,203482,1628389,1628374,203897,1629632,1627853,203107,NA
265,2,1629134,202710,1629639,203482,1628389,1628374,201152,1629632,1627853,203107,NA
273,2,201609,202710,1629639,203482,1628389,1628374,201152,1629632,1627853,203107,NA
284,2,201609,202710,1629639,1629130,1628389,1628374,201152,1629632,1627853,203107,NA
326,3,202710,1628389,203086,1629130,1629134,1627885,1628374,1628976,203897,203107,NA
398,3,202710,1628389,203086,1629130,1629134,1627885,201152,1628976,203897,203107,NA
399,3,202710,1628389,203086,1629130,1629134,1627885,201152,1628976,203897,1627739,NA
400,3,202710,1628389,203086,1629130,1629134,1629632,201152,1628976,203897,1627739,NA
401,3,202710,1628389,203086,201609,1629134,1629632,201152,1628976,203897,1627739,NA
431,3,202710,1628389,203086,201609,1629134,1629632,201152,1628976,1629655,1627739,NA
432,3,202710,1628389,203086,201609,1629134,1629632,201152,1627853,1629655,1627739,NA
433,3,202710,1628389,1629735,201609,1629134,1629632,201152,1627853,1629655,1627739,NA
434,3,202710,1629639,1629735,201609,1629134,1629632,201152,1627853,1629655,1627739,NA
435,3,202710,1629639,1629735,201609,203482,1629632,201152,1627853,1629655,1627739,NA
461,3,202710,1629639,1629735,201609,203482,1629632,201152,1627853,203897,1627739,NA
462,3,1628389,1629639,1629735,201609,203482,1629632,201152,1627853,203897,1627739,NA
463,3,1628389,1629130,1629735,201609,203482,1629632,201152,1627853,203897,1627739,NA
478,4,1629130,201609,1629639,203482,1629735,1628976,1627853,1629632,1627739,201152,201949
513,4,202710,201609,1629639,203482,1629735,1628976,1627853,1629632,1627739,201152,201949
515,4,202710,201609,1629639,203482,1629735,1628976,1627853,203897,1627739,201152,201949
534,4,202710,201609,1629639,203482,1628389,1628976,1627853,203897,1627739,201152,201949
561,4,202710,201609,1629639,203482,1628389,1629655,1627853,203897,1627739,201152,201949
565,4,202710,201609,1629639,203482,1628389,1629655,1627853,1627756,1627739,201152,201949
566,4,202710,201609,1629639,203482,1628389,1629655,1627853,1627756,1627739,1629622,201949
567,4,202710,201609,1629639,203482,1628389,1629655,1627853,1627756,1627885,1629622,201949
598,4,202710,1629130,1629639,203482,1628389,1629655,1627853,1627756,1627885,1629622,201949
684,4,202710,1629130,1629639,201949,1628389,1629655,1627853,1627756,1627885,1629622,201949
685,4,202710,1629130,1629639,201949,1629735,1629655,1627853,1627756,1627885,1629622,201949
686,4,1629134,1629130,1629639,201949,1629735,1629655,1627853,1627756,1627885,1629622,201949
623,4,1629134,1629130,1629639,201949,1628389,1629655,1627853,1627756,1627885,1629622,201949
636,4,1629134,1629130,1629639,201609,1628389,1629655,1627853,1627756,1627885,1629622,201949
646,4,1629134,1629130,202710,201609,1628389,1629655,1627853,1627756,1627885,1629622,201949
