eventorder,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,1627759,202330,1628464,203935,202689,202710,1628389,203086,1629130,1629639
49,1,1627759,202330,1628464,203935,202689,202710,1628389,201949,1629130,1629639
55,1,1627759,202330,1628464,203935,202689,202710,1628389,201949,201609,1629639
56,1,1627759,202330,1628464,203935,1629684,202710,1628389,201949,201609,1629639
57,1,1627759,202330,202954,203935,1629684,202710,1628389,201949,201609,1629639
68,1,1627759,202330,202954,203935,1629684,202710,1627884,201949,201609,1629639
81,1,1627759,202330,202954,203935,1629684,202710,1627884,201949,201609,203079
82,1,1627759,202330,202954,203935,1629684,1629130,1627884,201949,201609,203079
83,1,1627759,1628400,202954,203935,1629684,1629130,1627884,201949,201609,203079
89,1,1627759,1628400,202954,202689,1629684,1629130,1627884,201949,201609,203079
111,2,203935,202689,1629684,202954,1628400,1628389,1629130,201609,1627884,203079
127,2,203935,202689,1629684,202330,1628400,1628389,1629130,201609,1627884,203079
141,2,203935,202689,1629684,202330,1628400,1628389,1629130,201609,1627884,202710
142,2,203935,202689,1628464,202330,1628400,1628389,1629130,201609,1627884,202710
150,2,203935,1627759,1628464,202330,1628400,1628389,1629130,201609,1627884,202710
164,2,203935,1627759,1628464,202330,1628400,1629735,1629130,201609,1627884,202710
171,2,203935,1627759,1628464,202330,1628400,1629735,1629639,201609,1627884,202710
182,2,203935,1627759,1628464,202330,1628400,1629735,1629639,201609,201949,202710
183,2,1629684,1627759,1628464,202330,1628400,1629735,1629639,201609,201949,202710
184,2,1629684,1627759,1628464,202330,202689,1629735,1629639,201609,201949,202710
209,2,1629684,1627759,1628464,202330,202689,1629735,1629639,1629130,201949,202710
210,2,1629684,203935,1628464,202330,202689,1629735,1629639,1629130,201949,202710
227,2,1629684,203935,1628464,1627759,202689,1629735,1629639,1629130,201949,202710
230,2,202330,203935,1628464,1627759,202689,1629735,1629639,1629130,201949,202710
231,2,202330,203935,1628464,1627759,202689,1629735,1629639,1629130,201949,1627884
236,3,1627759,202330,1628464,203935,202689,202710,1628389,203086,1629130,1629639
283,3,1627759,202330,1628464,203935,202689,202710,1628389,1627884,1629130,1629639
294,3,1627759,202330,1628464,203935,1628400,202710,1628389,1627884,1629130,1629639
307,3,1627759,202330,1628464,203935,1628400,202710,201609,1627884,1629130,1629639
308,3,1627759,202330,1628464,203935,1628400,202710,201609,1627884,1629130,1629735
309,3,1627759,202330,1628464,1629684,1628400,202710,201609,1627884,1629130,1629735
314,3,1627759,202330,202689,1629684,1628400,202710,201609,1627884,1629130,1629735
336,3,202954,202330,202689,1629684,1628400,202710,201609,1627884,1629130,1629735
338,3,202954,202330,202689,1629684,1628400,203079,201609,1627884,1629130,1629735
349,4,1627759,202689,1629684,202954,1628400,1628389,1629639,201609,1627884,203079
373,4,1627759,203935,1629684,202954,1628400,1628389,1629639,201609,1627884,203079
384,4,1627759,203935,1629684,202954,1628400,1628389,1629639,201609,202710,203079
385,4,1627759,203935,1629684,202954,1628400,1628389,1629130,201609,202710,203079
396,4,1627759,203935,1628464,202954,1628400,1628389,1629130,201609,202710,203079
400,4,1627759,203935,1628464,202954,202330,1628389,1629130,201609,202710,203079
404,4,1627759,203935,1628464,202689,202330,1628389,1629130,201609,202710,203079
446,4,1627759,203935,1628464,202689,202330,1628389,1629130,201609,202710,1629639
447,4,1627759,203935,1629684,202689,202330,1628389,1629130,201609,202710,1629639
456,4,1627759,203935,1629684,202689,202330,1628389,1629130,201609,202710,1627884
466,4,1627759,203935,1629684,202689,202330,203079,1629130,201609,202710,1627884
467,4,1627759,203935,1629684,202689,202330,203079,1629130,201609,202710,1629639
