eventorder,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,2544,203076,2730,201980,202340,203925,1627752,1628386,203915,202681
59,1,2544,203076,2730,201980,202340,203925,1627752,1628386,1627747,202681
73,1,2544,203076,2730,201980,202340,203925,201163,1628386,1627747,202681
74,1,2544,203076,2730,1628398,202340,203925,201163,1628386,1627747,202681
75,1,2544,203076,203484,1628398,202340,203925,201163,1628386,1627747,202681
83,1,2544,203076,203484,1628398,202340,202066,201163,1628386,1627747,202681
84,1,2544,201162,203484,1628398,202340,202066,201163,1628386,1627747,202681
95,1,2544,201162,203484,1628398,1627936,202066,201163,1628386,1627747,202681
106,1,2544,201162,203484,1628398,1627936,202066,201163,1628386,1627747,1629066
107,1,2544,201162,203484,1628398,1627936,202066,201163,203915,1627747,1629066
108,1,200765,201162,203484,1628398,1627936,202066,201163,203915,1627747,1629066
125,2,2730,1628398,203484,1627936,200765,203915,1627747,201163,202066,1629066
148,2,203076,1628398,203484,1627936,200765,203915,1627747,201163,202066,1629066
156,2,203076,1628398,203484,1627936,200765,203915,1627747,201163,202066,1628386
157,2,203076,1628398,203484,1627936,200765,203915,202681,201163,202066,1628386
158,2,203076,1628398,203484,2544,200765,203915,202681,201163,202066,1628386
161,2,203076,1628398,203484,2544,200765,203915,202681,1627752,202066,1628386
168,2,203076,1628398,203484,2544,200765,203915,202681,1627752,203925,1628386
169,2,203076,203584,203484,2544,200765,203915,202681,1627752,203925,1628386
170,2,203076,203584,203484,2544,2730,203915,202681,1627752,203925,1628386
193,2,203076,203584,202340,2544,2730,203915,202681,1627752,203925,1628386
194,2,203076,201980,202340,2544,2730,203915,202681,1627752,203925,1628386
195,2,203076,201980,202340,2544,2730,1627747,202681,1627752,203925,1628386
208,2,203076,201980,202340,2544,1628398,1627747,202681,1627752,203925,1628386
222,2,2730,201980,202340,2544,1628398,1627747,202681,1627752,203925,1628386
223,2,2730,201980,202340,2544,203484,1627747,202681,1627752,203925,1628386
224,2,2730,201980,202340,2544,203484,1627747,202681,201163,203925,1628386
236,2,2730,203584,202340,2544,203484,1627747,202681,201163,203925,1628386
240,2,2730,203584,202340,2544,203484,1627747,1627752,201163,203925,1628386
251,3,2544,203076,2730,201980,202340,203925,1627752,1628386,203915,202681
306,3,2544,203076,2730,201980,202340,203925,1627752,201163,203915,202681
307,3,2544,203076,2730,201980,202340,203925,1627752,201163,1627747,202681
308,3,2544,203076,2730,201980,1628398,203925,1627752,201163,1627747,202681
309,3,2544,203076,203484,201980,1628398,203925,1627752,201163,1627747,202681
316,3,2544,203076,203484,201980,1628398,202066,1627752,201163,1627747,202681
317,3,200765,203076,203484,201980,1628398,202066,1627752,201163,1627747,202681
322,3,200765,203076,203484,1627936,1628398,202066,1627752,201163,1627747,202681
351,3,200765,203076,203484,1627936,1628398,202066,1629066,201163,1627747,202681
352,3,200765,201162,203484,1627936,1628398,202066,1629066,201163,1627747,202681
360,4,2544,1628398,203484,201162,200765,1628386,203915,1627747,201163,202066
387,4,2544,1628398,203484,201162,200765,1628386,203915,1627747,202681,202066
388,4,2544,1628398,203484,201162,200765,1628386,203915,1627752,202681,202066
401,4,2544,1628398,203484,201162,200765,203925,203915,1627752,202681,202066
406,4,2544,1628398,203484,201162,200765,203925,203915,1627752,202681,201163
415,4,203584,1628398,203484,201162,200765,203925,203915,1627752,202681,201163
419,4,203584,1628398,203484,201162,200765,203925,203915,1629058,202681,201163
420,4,203584,1628398,203484,201162,200765,203925,1629185,1629058,202681,201163
421,4,203584,1628398,203484,201162,200765,203925,1629185,1629058,1627789,201163
422,4,203584,1628398,203484,201162,200765,1629066,1629185,1629058,1627789,201163
423,4,203584,1628398,203484,201162,200765,1629066,1629185,1629058,1627789,1629033
436,4,203584,1628398,1626188,201162,200765,1629066,1629185,1629058,1627789,1629033
