eventorder,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,1628970,1629023,202687,1628984,1626179,1626162,203967,203382,1626164,201937
37,1,201587,1629023,202687,1628984,1626179,1626162,203967,203382,1626164,201937
47,1,201587,1629023,202687,1628984,1628407,1626162,203967,203382,1626164,201937
62,1,201587,1629023,202687,1628984,1628407,1626162,203967,203382,1626164,1629059
63,1,201587,1629023,202687,1628984,1628407,1626162,203967,1628969,1626164,1629059
64,1,201587,1628970,202687,1628984,1628407,1626162,203967,1628969,1626164,1629059
66,1,201587,1628970,202687,1628984,1628407,1629028,203967,1628969,1626164,1629059
73,1,201587,1628970,202687,1628984,1628407,1629028,1629661,1628969,1626164,1629059
74,1,201587,1628970,203469,1628984,1628407,1629028,1629661,1628969,1626164,1629059
87,1,201587,1628970,203469,1626179,1628407,1629028,1629661,1628969,1626164,1629059
91,1,201587,1628970,203469,1626179,1628407,1629028,1629661,1628969,204020,1629059
92,1,201587,1628970,203469,1626179,1628407,1629028,1629661,1628969,204020,201937
113,2,1628970,1626179,1628407,203469,1628370,1626162,201937,1628969,1629028,204020
122,2,1628970,1626179,1628407,203469,1628370,1626162,201937,1628969,203382,204020
123,2,1628970,1626179,1628407,202687,1628370,1626162,201937,1628969,203382,204020
134,2,1628970,1626179,1628407,202687,1628370,1626162,201937,1628969,203382,1626164
135,2,201587,1626179,1628407,202687,1628370,1626162,201937,1628969,203382,1626164
136,2,201587,1626179,1629023,202687,1628370,1626162,201937,1628969,203382,1626164
142,2,201587,1626179,1629023,202687,1628370,1626162,201937,203967,203382,1626164
159,2,201587,1628984,1629023,202687,1628370,1626162,201937,203967,203382,1626164
160,2,201587,1628984,1629023,203469,1628370,1626162,201937,203967,203382,1626164
165,2,201587,1628984,1629023,203469,1628370,1626162,1629059,203967,203382,1626164
176,2,201587,1628984,1629023,203469,1628370,1626162,1629059,203967,1629028,1626164
177,2,201587,1628984,1629023,203469,1628407,1626162,1629059,203967,1629028,1626164
199,2,201587,1628984,1629023,203469,1628407,1626162,201937,203967,1629028,1626164
200,2,1628970,1628984,1629023,203469,1628407,1626162,201937,203967,1629028,1626164
201,2,1628970,1628984,1626179,203469,1628407,1626162,201937,203967,1629028,1626164
212,2,1628970,1628984,1626179,202687,1628407,1626162,201937,203967,1629028,1626164
225,3,1628970,1629023,202687,1628984,1626179,1626162,203967,203382,1626164,201937
251,3,1628970,1629023,203469,1628984,1626179,1626162,203967,203382,1626164,201937
260,3,201587,1629023,203469,1628984,1626179,1626162,203967,203382,1626164,201937
273,3,201587,1629023,203469,1628984,1628407,1626162,203967,203382,1626164,201937
284,3,201587,1629023,203469,1628984,1628407,1626162,203967,203382,1626164,1629059
285,3,201587,1629023,203469,1628984,1628407,1626162,203967,1629028,1626164,1629059
286,3,201587,1628970,203469,1628984,1628407,1626162,203967,1629028,1626164,1629059
290,3,201587,1628970,203469,1628984,1628407,1626162,1628969,1629028,1626164,1629059
311,3,201587,1628970,203469,1628984,1628407,1626162,1628969,1629028,1629661,1629059
312,3,201587,1628970,203469,1628984,1628407,1626162,1628969,1629028,1629661,204020
313,3,201587,1628970,203469,1628984,1628407,201937,1628969,1629028,1629661,204020
322,3,201587,1628970,203469,1626179,1628407,201937,1628969,1629028,1629661,204020
332,4,1629023,202687,1626179,201587,1628407,201937,1628969,1629028,1629661,204020
338,4,1629023,202687,1626179,201587,1628407,201937,1628969,1629028,1626162,204020
359,4,1629023,202687,1626179,201587,1628407,201937,1628969,1629028,1626162,1626164
360,4,1629023,202687,1626179,1628984,1628407,201937,1628969,1629028,1626162,1626164
361,4,1629023,203469,1626179,1628984,1628407,201937,1628969,1629028,1626162,1626164
362,4,1628970,203469,1626179,1628984,1628407,201937,1628969,1629028,1626162,1626164
368,4,1628970,203469,1626179,1628984,1628407,1629059,1628969,1629028,1626162,1626164
369,4,1628970,203469,1626179,1628984,1628407,1629059,1628969,203382,1626162,1626164
372,4,1628970,203469,1626179,1628984,201587,1629059,1628969,203382,1626162,1626164
390,4,1628970,203469,1628407,1628984,201587,1629059,1628969,203382,1626162,1626164
398,4,1628970,203469,1628407,1628984,201587,201937,1628969,203382,1626162,1626164
399,4,1628970,203469,1628407,1628984,201587,201937,1628969,1629028,1626162,1626164
433,4,1628970,203469,1628407,1628984,1629023,201937,1628969,1629028,1626162,1626164
