EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,HOME_6
2,1,203967,203496,203954,200755,1627732,203992,2216,1626161,202066,201588,NA
50,1,204456,203496,203954,200755,1627732,203992,2216,1626161,202066,201588,NA
51,1,204456,203496,1626158,200755,1627732,203992,2216,1626161,202066,201588,NA
61,1,204456,203496,1626158,1627789,1627732,203992,2216,1626161,202066,201588,NA
95,1,204456,203496,1626158,1627789,1627732,203992,2216,201585,202066,201588,NA
107,1,204456,203496,1626158,1627789,1627732,203992,2216,201585,1627741,201588,NA
108,1,204456,203496,1626158,1627789,203967,203992,2216,201585,1627741,201588,NA
109,1,204456,200755,1626158,1627789,203967,203992,2216,201585,1627741,201588,NA
120,1,204456,200755,1626158,1627789,203967,203992,2216,201585,1627741,1628368,NA
121,1,204456,200755,1626158,1627789,203967,1628382,2216,201585,1627741,1628368,NA
122,1,204456,200755,203954,1627789,203967,1628382,2216,201585,1627741,1628368,NA
135,1,204456,200755,203954,1627789,203967,1628382,1627746,201585,1627741,1628368,NA
136,1,204456,200755,203954,1626147,203967,1628382,1627746,201585,1627741,1628368,NA
172,2,203967,203954,1627732,1627789,1626147,201585,1627741,1628368,1628382,1627746,NA
194,2,204456,203954,1627732,1627789,1626147,201585,1627741,1628368,1628382,1627746,NA
214,2,204456,203954,1627732,1627789,1626158,201585,1627741,1628368,1628382,1627746,NA
215,2,204456,203496,1627732,1627789,1626158,201585,1627741,1628368,1628382,1627746,NA
233,2,204456,203496,1627732,1627789,1626158,201585,1627741,1628368,1628382,1627781,NA
234,2,204456,203496,1627732,200755,1626158,201585,1627741,1628368,1628382,1627781,NA
255,2,204456,203496,203967,200755,1626158,201585,1627741,1628368,1628382,1627781,NA
280,2,204456,203496,203967,200755,1626158,201585,201588,1628368,1628382,1627781,NA
281,2,204456,203496,203967,200755,1626158,2216,201588,1628368,1628382,1627781,NA
282,2,204456,203496,203967,200755,203954,2216,201588,1628368,1628382,1627781,NA
297,2,204456,203496,203967,200755,203954,2216,201588,203992,1628382,1627781,NA
298,2,204456,203496,203967,200755,203954,2216,201588,203992,1628382,202066,NA
299,2,204456,203496,203967,200755,203954,2216,201588,203992,1626161,202066,NA
349,2,204456,203496,203967,200755,203954,2216,201588,203992,1627781,202066,NA
355,3,203967,203496,203954,200755,1627732,203992,2216,1626161,202066,201588,NA
371,3,203967,203496,203954,200755,204456,203992,2216,1626161,202066,201588,NA
418,3,1626147,203496,203954,200755,204456,203992,2216,1626161,202066,201588,NA
419,3,1626147,203496,203954,101161,204456,203992,2216,1626161,202066,201588,NA
420,3,1626147,203496,1627789,101161,204456,203992,2216,1626161,202066,201588,NA
432,3,1626147,203496,1627789,101161,204456,203992,2216,1628368,202066,201588,NA
433,3,1626147,203496,1627789,101161,204456,203992,2216,1628368,202066,1628382,NA
440,3,1626147,203967,1627789,101161,204456,203992,2216,1628368,202066,1628382,NA
463,3,1626147,203967,1627789,101161,204456,203992,2216,1628368,1627741,1628382,NA
464,3,1626147,203967,1627789,101161,204456,203992,201585,1628368,1627741,1628382,NA
465,3,1626147,203967,1627789,203954,204456,203992,201585,1628368,1627741,1628382,NA
466,3,1626147,203967,200755,203954,204456,203992,201585,1628368,1627741,1628382,NA
503,3,1626147,203967,200755,203954,204456,202066,201585,1628368,1627741,1628382,NA
521,4,203496,203954,1627732,1627789,1626147,201585,1627741,1628368,1628382,1627746,1627781
550,4,203496,101161,1627732,1627789,1626147,201585,1627741,1628368,1628382,1627746,1627781
731,4,203496,101161,1627732,1627789,1626147,201585,1627741,1628368,1628382,1627781,1627781
599,4,203967,101161,1627732,1627789,1626147,201585,1627741,1628368,1628382,1627781,1627781
593,4,203967,101161,1627732,1627789,200755,201585,1627741,1628368,1628382,1627781,1627781
727,4,203967,101161,1627732,1627789,200755,201585,2216,1628368,1628382,1627781,1627781
728,4,203967,101161,1627732,1627789,200755,1626161,2216,1628368,1628382,1627781,1627781
729,4,203967,101161,1627732,203496,200755,1626161,2216,1628368,1628382,1627781,1627781
723,4,203967,203954,1627732,203496,200755,1626161,2216,1628368,1628382,1627781,1627781
639,4,203967,203954,1627732,203496,200755,1626161,2216,1628368,1628382,202066,1627781
