EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_6
2,1,1628369,201143,1628464,203935,202681,202711,201152,1626167,202362,201954,NA
66,1,1627846,201143,1628464,203935,202681,202711,201152,1626167,202362,201954,NA
75,1,1627846,201143,1628464,203935,202681,202711,1627734,1626167,202362,201954,NA
76,1,1627846,201143,203382,203935,202681,202711,1627734,1626167,202362,201954,NA
105,1,1627846,201143,203382,203935,202681,202711,1627734,1626167,202362,202709,NA
106,1,1627846,201143,203382,203935,1626179,202711,1627734,1626167,202362,202709,NA
107,1,1627846,1628400,203382,203935,1626179,202711,1627734,1626167,202362,202709,NA
116,1,1627846,1628400,203382,203935,1626179,2863,1627734,1626167,202362,202709,NA
138,2,1628369,1627846,203382,1626179,1628400,201152,1627734,202709,2863,1626202,NA
165,2,1628369,203499,203382,1626179,1628400,201152,1627734,202709,2863,1626202,NA
179,2,1628369,203499,203382,1626179,1628400,201152,1627734,202709,2863,201954,NA
180,2,1628369,203499,203382,202681,1628400,201152,1627734,202709,2863,201954,NA
181,2,1628369,203499,1628464,202681,1628400,201152,1627734,202709,2863,201954,NA
199,2,1628369,203499,1628464,202681,1628400,201152,1627734,202709,202711,201954,NA
212,2,1628369,203499,1628464,202681,1628400,201152,1627734,1626167,202711,201954,NA
213,2,1628369,203499,1628464,202681,1628400,201152,202362,1626167,202711,201954,NA
214,2,1628369,203499,1628464,202681,201143,201152,202362,1626167,202711,201954,NA
221,2,1628369,1628400,1628464,202681,201143,201152,202362,1626167,202711,201954,NA
222,2,1628369,1628400,203935,202681,201143,201152,202362,1626167,202711,201954,NA
240,2,1628369,1628400,203935,202681,201143,201152,202362,1627734,202711,201954,NA
250,2,1628369,1628400,203935,202681,201143,201152,202362,1627734,202711,202709,NA
251,2,1628369,203382,203935,202681,201143,201152,202362,1627734,202711,202709,NA
282,3,1628369,201143,203935,202681,1627846,202711,201152,1626167,202362,201954,203382
324,3,1628369,201143,203935,202681,1627846,202711,201152,1627734,202362,201954,203382
343,3,1628369,201143,203935,1626179,1627846,202711,201152,1627734,202362,201954,203382
357,3,1628369,201143,203935,1626179,1627846,202711,201152,1627734,202362,202709,203382
373,3,1628369,201143,202681,1626179,1627846,202711,201152,1627734,202362,202709,203382
380,3,1628369,201143,202681,1626179,1627846,202711,201152,1627734,1626202,202709,203382
381,3,1628369,1628400,202681,1626179,1627846,202711,201152,1627734,1626202,202709,203382
392,3,1628369,1628400,202681,1626179,1627846,2863,201152,1627734,1626202,202709,203382
399,3,1628369,1628400,202681,1626179,1627846,2863,202362,1627734,1626202,202709,203382
486,3,1627846,1628400,202681,1626179,1627846,2863,202362,1627734,1626202,202709,203382
409,3,203935,1628400,202681,1626179,203935,2863,202362,1627734,1626202,202709,203382
418,4,1628464,202681,1627846,1626179,1628400,1626167,1627734,202709,2863,1626202,NA
446,4,1628464,202681,1627846,1626179,1628400,1626167,1627734,202709,2863,201954,NA
458,4,1628464,202681,1627846,1626179,1628400,1626167,1627734,202709,202362,201954,NA
459,4,1628464,1628369,1627846,1626179,1628400,1626167,1627734,202709,202362,201954,NA
460,4,1628464,1628369,203935,1626179,1628400,1626167,1627734,202709,202362,201954,NA
478,4,203382,1628369,203935,1626179,1628400,1626167,1627734,202709,202362,201954,NA
479,4,203382,1628369,203935,1626179,201143,1626167,1627734,202709,202362,201954,NA
497,4,203382,1628369,203935,1626179,201143,1626167,1627734,202711,202362,201954,NA
498,4,203382,1628369,203935,202681,201143,1626167,1627734,202711,202362,201954,NA
508,4,203382,1628369,203935,202681,201143,1626167,201152,202711,202362,201954,NA
537,4,203382,1628369,203935,202681,201143,1626167,202709,202711,202362,201954,NA
538,4,1628400,1628369,203935,202681,201143,1626167,202709,202711,202362,201954,NA
