eventnum,period,away.1,away.2,away.3,away.4,home.1,home.2,home.3,home.4,home.5,away.5
2,1,204060,203497,1628378,201937,201980,203937,200746,201988,1627749,NA
84,1,204060,203497,1628378,201937,201980,203937,200746,201988,2225,NA
85,1,204060,203497,1628378,201937,1938,203937,200746,201988,2225,NA
86,1,201973,203497,1628378,201937,1938,203937,200746,201988,2225,NA
102,1,201973,203497,1628378,201937,1938,200752,200746,201988,2225,NA
104,1,201973,203497,1628378,201937,1938,200752,200746,202722,2225,NA
105,1,201973,203497,1628378,1626220,1938,200752,200746,202722,2225,NA
116,1,201973,202324,1628378,1626220,1938,200752,200746,202722,2225,NA
130,1,201973,202324,1628378,1626220,1938,200752,2200,202722,2225,NA
131,1,201973,202324,203957,1626220,1938,200752,2200,202722,2225,NA
157,2,204060,202324,203109,201973,2225,1938,200752,202722,2200,203957
173,2,204060,202324,203109,201973,2225,1938,200752,201980,2200,203957
185,2,204060,202324,203109,1626220,2225,1938,200752,201980,2200,203957
190,2,204060,202324,203109,1626220,201988,1938,200752,201980,2200,203957
191,2,204060,202324,203109,1626220,201988,1627749,200752,201980,2200,203957
203,2,204060,202324,203109,1626220,201988,1627749,200752,201980,200746,203957
204,2,204060,202324,203497,1626220,201988,1627749,200752,201980,200746,203957
216,2,204060,202324,203497,1626220,201988,1627749,203937,201980,200746,203957
217,2,201937,202324,203497,1626220,201988,1627749,203937,201980,200746,203957
218,2,201937,202324,203497,1626220,201988,1627749,203937,201980,200746,1628378
250,2,201937,204060,203497,1626220,201988,1627749,203937,201980,200746,1628378
251,2,201937,204060,203497,203109,201988,1627749,203937,201980,200746,1628378
274,2,201937,204060,203497,203109,201988,1627749,1938,201980,200746,1628378
275,2,201937,204060,203497,203109,201988,1627749,1938,202722,200746,1628378
284,2,201937,204060,202324,203109,201988,1627749,1938,202722,200746,1628378
310,2,201937,204060,202324,203109,203937,1627749,1938,202722,200746,1628378
311,2,201937,204060,202324,203109,203937,1627749,1938,201980,200746,1628378
322,3,204060,202324,203497,1628378,201980,203937,200746,201988,1627749,201937
356,3,204060,202324,203497,1628378,1938,203937,200746,201988,1627749,201937
379,3,204060,202324,203497,1628378,1938,203937,200746,201988,2225,201937
380,3,204060,202324,203109,1628378,1938,203937,200746,201988,2225,201937
404,3,204060,202324,203109,1628378,1938,1627854,200746,201988,2225,201937
405,3,204060,202324,203109,1628378,1938,1627854,200746,2200,2225,201937
406,3,204060,202324,203109,1628378,1938,1627854,200752,2200,2225,201937
412,3,204060,203497,203109,1628378,1938,1627854,200752,2200,2225,201937
414,3,201973,203497,203109,1628378,1938,1627854,200752,2200,2225,201937
426,3,201973,203497,203109,1628378,1938,1627854,200752,2200,2225,203957
428,3,201973,203497,203109,1628378,1627749,1627854,200752,2200,2225,203957
439,3,1626220,203497,203109,1628378,1627749,1627854,200752,2200,2225,203957
447,3,1626220,203497,203109,1628378,1627749,1627854,200752,2200,2225,204060
461,4,204060,203497,203109,201973,1627749,1938,200752,2200,1627854,203957
497,4,204060,203497,203109,201973,201988,1938,200752,2200,1627854,203957
498,4,204060,203497,203109,201973,201988,1938,200752,2200,201980,203957
499,4,204060,203497,203109,201973,201988,1938,200752,2200,201980,201937
509,4,204060,203497,203109,201973,201988,1938,200752,2200,1627854,201937
510,4,204060,203497,203109,1626220,201988,1938,200752,2200,1627854,201937
518,4,204060,203497,203109,1626220,201988,1938,200752,200746,1627854,201937
519,4,204060,202324,203109,1626220,201988,1938,200752,200746,1627854,201937
520,4,204060,202324,1628378,1626220,201988,1938,200752,200746,1627854,201937
548,4,203109,202324,1628378,1626220,201988,1938,200752,200746,1627854,201937
555,4,203109,202324,1628378,1626220,201988,1938,203937,200746,1627854,201937
556,4,203109,202324,1628378,203497,201988,1938,203937,200746,1627854,201937
576,4,203109,202324,1628378,203497,201988,1938,203937,200746,201980,201937
577,4,204060,202324,1628378,203497,201988,1938,203937,200746,201980,201937
592,4,204060,202324,1628378,203497,201988,1627749,203937,200746,201980,201937
599,4,204060,202324,1628378,203497,201988,1627749,200752,200746,201980,201937
628,4,204060,203109,1628378,203497,201988,1627749,200752,200746,201980,201937
632,4,204060,203109,1628378,203497,201988,1627749,203937,200746,201980,201937
638,4,204060,203109,1628378,1626220,201988,1627749,203937,200746,201980,201937
643,4,204060,203109,1628378,1626220,201988,1627749,203937,200746,201980,203497
644,4,204060,203109,1628378,202324,201988,1627749,203937,200746,201980,203497
649,4,204060,203109,1628378,201937,201988,1627749,203937,200746,201980,203497
662,5,204060,203497,1628378,201937,201980,200746,1627749,200752,2200,203109
718,5,204060,203497,1628378,201937,201980,200746,1627749,1627854,2200,203109
753,5,204060,203497,1628378,201937,201980,200746,201988,1627854,2200,203109
754,5,204060,203497,1628378,201937,201980,200746,201988,1627854,200752,203109
767,4,204060,203109,1628378,201937,201988,1938,203937,200746,201980,203497
773,5,204060,203497,1628378,201937,201980,200746,201988,1938,200752,203109
775,5,204060,203497,1628378,201937,201980,200746,201988,1938,203937,203109
777,5,204060,203497,1628378,201937,201980,200746,2200,1938,203937,203109
778,5,204060,203497,1628378,202324,201980,200746,2200,1938,203937,203109
800,5,204060,203497,1628378,201937,201980,200746,2200,1627749,203937,203109
801,5,204060,203497,1628378,201937,1627854,200746,2200,1627749,203937,203109
813,1,201973,203109,203957,1626220,1938,200752,2200,202722,2225,NA
