eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
2,1,202711,201152,1626167,203506,201954,203095,203932,202696,203082,203901
77,1,202711,201152,1626167,203506,201954,203095,203932,202696,203613,203901
78,1,202709,201152,1626167,203506,201954,203095,203932,202696,203613,203901
89,1,202709,201152,1626167,203506,201954,203095,203932,202696,203613,201571
90,1,202709,201152,1627734,203506,201954,203095,203932,202696,203613,201571
98,1,202709,201152,1627734,203506,202362,203095,203932,202696,203613,201571
116,1,202709,201152,1627734,203506,202362,203095,203932,202687,203613,201571
136,1,202709,201152,1627734,203506,202362,203095,201167,202687,203613,201571
137,1,202709,201152,1627734,203506,202362,201578,201167,202687,203613,201571
159,2,202711,1626167,202709,1627734,202362,203613,201571,202687,201167,201578
231,2,202711,1626167,202709,1627734,202362,203613,201571,202687,203082,201578
232,2,202711,1626167,201954,1627734,202362,203613,201571,202687,203082,201578
233,2,202711,1626167,201954,201152,202362,203613,201571,202687,203082,201578
243,2,202711,1626167,201954,201152,202362,203613,201571,202696,203082,201578
244,2,203506,1626167,201954,201152,202362,203613,201571,202696,203082,201578
253,2,203506,1626167,201954,201152,202362,203613,201571,202696,203082,203901
254,2,203506,1626167,201954,201152,202362,203613,203932,202696,203082,203901
255,2,203506,1626167,201954,201152,202362,203095,203932,202696,203082,203901
289,2,203506,1626167,201954,201152,202709,203095,203932,202696,203082,203901
290,2,202711,1626167,201954,201152,202709,203095,203932,202696,203082,203901
316,2,202711,1626167,201954,202362,202709,203095,203932,202696,203082,203901
327,3,202711,201152,1626167,203506,201954,203095,203932,202696,203082,203901
403,3,202711,201152,1626167,203506,201954,203095,203932,202696,203613,203901
425,3,202711,201152,1627734,203506,201954,203095,203932,202696,203613,203901
442,3,202711,201152,1627734,203506,201954,203095,203932,202696,203613,201571
461,3,202711,201152,1627734,203506,201954,203095,201167,202696,203613,201571
462,3,202711,201152,1627734,203506,201954,203095,201167,201578,203613,201571
463,3,202711,201152,1627734,203506,201954,202687,201167,201578,203613,201571
464,3,202709,201152,1627734,203506,201954,202687,201167,201578,203613,201571
492,3,202709,201152,1627734,202362,201954,202687,201167,201578,203613,201571
502,3,202709,202711,1627734,202362,201954,202687,201167,201578,203613,201571
515,4,202711,203506,202709,1627734,202362,203613,201571,202687,201167,201578
522,4,202711,203506,202709,1627734,202362,203613,201571,202687,201167,203082
541,4,202711,203506,202709,1627734,202362,203613,201571,202687,203932,203082
558,4,202711,203506,202709,1626167,202362,203613,201571,202687,203932,203082
563,4,202711,201954,202709,1626167,202362,203613,201571,202687,203932,203082
564,4,201152,201954,202709,1626167,202362,203613,201571,202687,203932,203082
587,4,201152,201954,202709,1626167,202362,203613,201571,202687,203932,203095
588,4,201152,201954,202709,1626167,203506,203613,201571,202687,203932,203095
589,4,201152,201954,202711,1626167,203506,203613,201571,202687,203932,203095
605,4,201152,201954,202711,1626167,202362,203613,201571,202687,203932,203095
618,4,201152,201954,202711,1626167,202362,203613,201571,202696,203932,203095
619,4,201152,201954,202711,1626167,202362,203613,203901,202696,203932,203095
631,4,201152,201954,202711,1626167,203506,203613,203901,202696,203932,203095
648,4,201152,201954,202711,1627734,203506,203613,203901,202696,203932,203095
672,4,201152,201954,202711,1627734,203506,203613,201571,202696,203932,203095
673,4,201152,201954,202711,202709,203506,203613,201571,202696,203932,203095
