EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5
2,1,1627752,202337,203473,203145,203471,2544,203109,201567,2747,201565
62,1,1627752,202337,1628381,203145,203471,2544,203109,201567,2747,201565
93,1,1627752,202337,1628381,203145,203471,2544,203109,201145,2747,201565
105,1,1627752,202337,1628381,203145,203471,2544,203109,201145,2747,2548
118,1,1627752,202337,201158,203145,203471,2544,203109,201145,2747,2548
133,1,1627752,202337,201158,203145,1627819,2544,203109,201145,2747,2548
139,1,1627752,202337,201158,203145,1627819,2544,203109,201145,2594,2548
154,1,1627752,202337,201158,203145,1627819,2544,1626224,201145,2594,2548
155,1,1627752,203471,201158,203145,1627819,2544,1626224,201145,2594,2548
156,1,1628463,203471,201158,203145,1627819,2544,1626224,201145,2594,2548
179,2,203473,203471,201158,1627819,1628463,201567,201145,2548,2594,1626224
199,2,203473,203471,201158,1627819,202337,201567,201145,2548,2594,1626224
212,2,203473,1627752,201158,1627819,202337,201567,201145,2548,2594,1626224
236,2,203473,1627752,201158,1627819,202337,201567,201145,2548,2594,2747
237,2,203473,1627752,201158,1627819,202337,201567,2544,2548,2594,2747
238,2,203473,1627752,201158,203471,202337,201567,2544,2548,2594,2747
245,2,203473,1627752,201158,203145,202337,201567,2544,2548,2594,2747
266,2,203473,1627752,1628381,203145,202337,201567,2544,2548,2594,2747
267,2,1627819,1627752,1628381,203145,202337,201567,2544,2548,2594,2747
282,2,1627819,1627752,1628381,203145,202337,201567,2544,203109,2594,2747
283,2,1627819,1627752,1628381,203145,202337,201567,2544,203109,201565,2747
304,2,1627819,1627752,1628381,203145,202337,2548,2544,203109,201565,2747
322,2,1627819,1627752,1628381,201158,202337,2548,2544,203109,201565,2747
354,3,1627752,202337,203473,203145,203471,2544,203109,201567,2747,201565
386,3,1627752,202337,203473,203145,203471,2544,203109,101112,2747,201565
418,3,1627752,1628381,203473,203145,203471,2544,203109,101112,2747,201565
430,3,1627752,1628381,203473,203145,203471,2544,203109,101112,2747,2548
431,3,1627752,1628381,203473,1627819,203471,2544,203109,101112,2747,2548
446,3,1627752,1628381,203473,1627819,203471,2544,201145,101112,2747,2548
447,3,203145,1628381,203473,1627819,203471,2544,201145,101112,2747,2548
455,3,203145,1628381,202337,1627819,203471,2544,201145,101112,2747,2548
480,3,203145,1628381,202337,1627819,203471,2544,201145,101112,2594,2548
481,3,203145,1628381,202337,1627819,201158,2544,201145,101112,2594,2548
517,4,202337,203471,1628381,201158,1627819,201145,2548,2594,1626224,101112
546,4,202337,203471,1628381,201158,1627819,201145,2548,2594,1626224,1627790
573,4,202337,203471,1628381,201158,1627819,201145,2548,2594,1626224,2544
578,4,202337,1627752,1628381,201158,1627819,201145,2548,2594,1626224,2544
590,4,202337,1627752,1628381,201158,1627819,201145,2548,2594,2747,2544
591,4,202337,1627752,1628381,203473,1627819,201145,2548,2594,2747,2544
592,4,202337,1627752,203145,203473,1627819,201145,2548,2594,2747,2544
623,4,202337,1627752,203145,203473,203471,201145,2548,2594,2747,2544
624,4,202337,1627752,203145,1628381,203471,201145,2548,2594,2747,2544
663,4,1627819,1627752,203145,1628381,203471,201145,2548,2594,2747,2544
679,4,203473,1627752,203145,1628381,203471,201145,2548,2594,2747,2544
683,4,203473,202337,203145,1628381,203471,201145,2548,2594,2747,2544
684,4,203473,202337,203145,1627819,203471,201145,2548,2594,2747,2544
690,4,203473,1627752,203145,1627819,203471,201145,2548,2594,2747,2544
694,4,203473,1627752,203145,1627819,203471,101112,2548,2594,2747,2544
