eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,home.6
2,1,1627742,1628398,201572,203484,1628366,203114,203507,203089,203503,202339,202732
67,1,1627742,1628398,201572,203484,1628366,203114,203507,203089,203503,203521,202732
86,1,1627742,1628398,201572,203484,1628366,203114,203507,203089,1627748,203521,202732
87,1,1627742,1628398,201572,203484,1628366,203114,203507,1627763,1627748,203521,202732
103,1,1627742,1628398,201572,203484,203944,203114,203507,1627763,1627748,203521,202732
104,1,1627742,1628398,203903,203484,203944,203114,203507,1627763,1627748,203521,202732
126,1,1627742,201147,203903,203484,203944,203114,203507,1627763,1627748,203521,202732
180,2,1628398,1628366,203944,203903,203505,203503,202339,1627748,1627763,202732,NA
213,2,1628398,1628366,203944,203903,203505,203503,202339,203114,1627763,202732,NA
214,2,1628398,1628366,203944,203903,203505,203503,202339,203114,203089,202732,NA
226,1,1627742,201147,203903,203484,203944,202732,203507,1627763,1627748,203521,202732
231,2,1628398,1628366,203944,203903,203505,203503,202339,203114,203089,203507,NA
236,1,1627742,201147,203903,203484,203944,202732,203503,1627763,1627748,203521,202732
267,2,1628398,1628366,203944,203903,203505,1627763,202339,203114,203089,203507,NA
268,2,1628398,1628366,203944,203484,203505,1627763,202339,203114,203089,203507,NA
269,2,1628398,1628366,203944,203484,1627742,1627763,202339,203114,203089,203507,NA
299,2,1628398,1628366,201572,203484,1627742,1627763,202339,203114,203089,203507,NA
340,3,1627742,1628398,201572,203484,1628366,203114,203507,203089,203503,202339,NA
407,3,1627742,1628398,201572,203484,1628366,203114,203507,1627748,203503,202339,NA
408,3,1627742,1628398,201572,203484,1628366,203114,203507,1627748,1627763,202339,NA
425,3,1627742,1628398,201572,203484,1628366,203114,203507,1627748,1627763,203521,NA
441,3,1627742,1628398,201572,203484,203903,203114,203507,1627748,1627763,203521,NA
442,3,1627742,1628398,203944,203484,203903,203114,203507,1627748,1627763,203521,NA
471,3,1627742,1628398,203944,203484,203903,202732,203507,1627748,1627763,203521,NA
472,3,1627742,1628398,203944,203505,203903,202732,203507,1627748,1627763,203521,NA
496,4,1628366,203944,203903,201147,203505,203507,203521,1627748,1627763,202732,NA
521,4,1628366,203944,203903,201147,203505,203114,203521,1627748,1627763,202732,NA
533,4,1628366,203944,203903,201147,203505,203114,202339,1627748,1627763,202732,NA
535,4,1628366,203944,203903,1628398,203505,203114,202339,1627748,1627763,202732,NA
548,4,1628366,203944,203484,1628398,203505,203114,202339,1627748,1627763,202732,NA
563,4,1628366,203944,203484,1628398,1627742,203114,202339,1627748,1627763,202732,NA
578,4,1628366,203944,203484,1628398,1627742,203114,202339,203507,1627763,202732,NA
579,4,1628366,203944,203484,1628398,1627742,203114,202339,203507,1627763,203089,NA
623,4,1628366,201572,203484,1628398,1627742,203114,202339,203507,1627763,203089,NA
646,4,1628366,201572,203484,1628398,1627742,203114,202732,203507,1627763,203089,NA
