EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,HOME_6
2,1,203490,202693,101162,203078,202322,203077,101107,2730,201587,202689,NA
39,1,203490,203118,101162,203078,202322,203077,101107,2730,201587,202689,NA
86,1,203490,203118,101162,203078,202322,203087,101107,2730,201587,202689,NA
89,1,203490,203118,101133,203078,202322,203087,101107,2730,201587,202689,NA
90,1,1626162,203118,101133,203078,202322,203087,101107,2730,201587,202689,NA
98,1,1626162,203118,101133,203078,202322,203087,1626163,2730,201587,202689,NA
106,1,1626162,203118,101133,203078,203107,203087,1626163,2730,201587,202689,NA
116,1,1626162,203118,101133,203078,203107,203087,1626163,2730,201587,203487,NA
133,1,1626162,203118,101133,203078,203107,203087,1626163,2730,203948,203487,NA
134,1,1626162,203118,101133,203078,203107,203087,1626163,1626203,203948,203487,NA
135,1,1626162,203118,101133,201975,203107,203087,1626163,1626203,203948,203487,NA
160,2,203118,101133,1626162,203107,201975,203087,1626163,203487,203948,1626203,NA
205,2,203118,101133,1626162,203107,201975,203087,1626163,202689,203948,1626203,NA
206,2,203118,203078,1626162,203107,201975,203087,1626163,202689,203948,1626203,NA
207,2,203490,203078,1626162,203107,201975,203087,1626163,202689,203948,1626203,NA
208,2,203490,203078,1626162,202693,201975,203087,1626163,202689,203948,1626203,NA
209,2,203490,203078,1626162,202693,202322,203087,1626163,202689,203948,1626203,NA
223,2,203490,203078,101162,202693,202322,203087,1626163,202689,203948,1626203,NA
225,2,203490,203078,101162,202693,202322,203087,1626163,202689,2730,1626203,NA
240,2,203490,203078,101162,202693,202322,203087,1626163,202689,2730,201587,NA
244,2,203490,203078,101162,1626162,202322,203087,1626163,202689,2730,201587,NA
257,2,203490,203078,101162,1626162,202322,101107,1626163,202689,2730,201587,NA
258,2,203490,203078,101162,1626162,202322,101107,203077,202689,2730,201587,NA
266,2,203490,203078,101162,203107,202322,101107,203077,202689,2730,201587,NA
321,3,203490,202693,101162,203078,202322,203077,101107,2730,201587,202689,NA
387,3,203490,202693,203118,203078,202322,203077,101107,2730,201587,202689,NA
412,3,1626162,202693,203118,203078,202322,203077,101107,2730,201587,202689,NA
422,3,1626162,202693,203118,203078,202322,203077,1626163,2730,201587,202689,NA
423,3,1626162,202693,203118,203078,203107,203077,1626163,2730,201587,202689,NA
443,3,1626162,202693,203118,203078,203107,203077,1626163,2730,203087,202689,NA
444,3,1626162,202693,203118,203078,203107,1626203,1626163,2730,203087,202689,NA
445,3,1626162,202693,203118,201975,203107,1626203,1626163,2730,203087,202689,NA
446,3,1626162,201160,203118,201975,203107,1626203,1626163,2730,203087,202689,NA
473,4,203118,1626162,203107,201975,201160,2730,203087,1626163,203487,203948,1626203
542,4,1626191,1626162,203107,201975,201160,2730,203087,1626163,203487,203948,1626203
543,4,1626191,1626162,204025,201975,201160,2730,203087,1626163,203487,203948,1626203
664,4,1626191,1626162,204025,201975,201160,2730,203087,1626163,2730,203948,1626203
665,4,1626191,1626162,203107,201975,201160,2730,203087,1626163,2730,203948,1626203
660,4,1626191,1626162,203107,201975,201160,2730,1628407,1626163,2730,203948,1626203
661,4,1626191,1626162,203107,201975,201160,1628370,1628407,1626163,1628370,203948,1626203
615,4,1626191,1626162,203107,201975,201160,1628370,1628407,202933,1628370,203948,1626203
