EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,HOME_6
2,1,203115,201163,203486,203914,1627750,203493,202699,203083,202340,202704,NA
87,1,203115,201163,203486,203914,1627750,203493,201229,203083,202340,202704,NA
92,1,203115,201163,203486,203914,1627750,203493,201229,203083,1628379,202704,NA
101,1,203115,201163,203486,203914,1627750,203493,201229,203083,1628379,202397,NA
103,1,203115,201163,203486,1627736,1627750,203493,201229,203083,1628379,202397,NA
110,1,203115,201163,203486,1627736,1627750,203493,201229,1626246,1628379,202397,NA
111,1,203115,1626168,203486,1627736,1627750,203493,201229,1626246,1628379,202397,NA
123,1,203115,1626168,201589,1627736,1627750,203493,201229,1626246,1628379,202397,NA
128,1,203115,1626168,201589,1627736,1627750,204038,201229,1626246,1628379,202397,NA
142,1,203115,1626168,201589,1627736,1626144,204038,201229,1626246,1628379,202397,NA
157,2,203914,1627736,1626168,201589,1626144,201229,1628379,202397,1626246,204038,NA
609,2,203914,1627736,1626168,201589,1626144,201229,1628379,202397,1626246,203083,NA
610,2,203914,1627736,1626168,201589,1626144,201229,1628379,202397,202340,203083,NA
611,2,203486,1627736,1626168,201589,1626144,201229,1628379,202397,202340,203083,NA
218,2,203486,1627736,1626168,201589,1626144,201229,1628379,202704,202340,203083,NA
219,2,203486,1627736,1626168,201589,1626144,202699,1628379,202704,202340,203083,NA
220,2,203486,1627736,1626168,203115,1626144,202699,1628379,202704,202340,203083,NA
631,2,203486,1627736,1626168,203115,1626144,202699,203493,202704,202340,203083,NA
632,2,203486,201163,1626168,203115,1626144,202699,203493,202704,202340,203083,NA
635,2,203486,201163,1626168,203115,1627750,202699,203493,202704,202340,203083,NA
637,2,203486,201163,1626168,203115,1627750,202699,203493,202704,202340,1626246,NA
638,2,203486,201163,203914,203115,1627750,202699,203493,202704,202340,1626246,NA
641,2,201589,201163,203914,203115,1627750,202699,203493,202704,202340,1626246,NA
315,3,203115,201163,203486,203914,1627750,203493,202699,203083,202340,202704,1628379
619,3,203115,201163,203486,203914,1627750,203493,202699,203083,202340,202397,1628379
621,3,203115,201163,203486,203914,1627750,203493,202699,203083,1626246,202397,1628379
622,3,203115,201163,203486,203914,1627750,203493,201229,203083,1626246,202397,1628379
623,3,203115,201163,203486,203914,1627750,203493,201229,1628379,1626246,202397,1628379
624,3,203115,201163,203486,203914,1627750,204038,201229,1628379,1626246,202397,1628379
625,3,1627736,201163,203486,203914,1627750,204038,201229,1628379,1626246,202397,1628379
411,3,1627736,201163,203486,203914,1627750,204038,201229,1626169,1626246,202397,1628379
412,3,1627736,1626168,203486,203914,1627750,204038,201229,1626169,1626246,202397,1628379
460,4,203115,1627736,1626168,201589,1626144,202699,203083,202397,204038,1626169,NA
482,4,203115,1627736,1626168,201589,1626144,202699,203083,202704,204038,1626169,NA
493,4,203115,1627736,1626168,201589,1626144,202699,1627740,202704,204038,1626169,NA
504,4,203115,1627736,1626168,201163,1626144,202699,1627740,202704,204038,1626169,NA
505,4,203115,1627736,1626168,201163,1627750,202699,1627740,202704,204038,1626169,NA
506,4,203115,203914,1626168,201163,1627750,202699,1627740,202704,204038,1626169,NA
538,4,203115,203914,1626168,201163,1627750,202699,1627740,203961,204038,1626169,NA
539,4,203115,203914,1626168,201163,1627750,202397,1627740,203961,204038,1626169,NA
546,4,1627736,203914,1626168,201163,1627750,202397,1627740,203961,204038,1626169,NA
562,4,1627736,1627823,1626168,201163,1627750,202397,1627740,203961,204038,1626169,NA
563,4,1627736,1627823,1626168,1628420,1627750,202397,1627740,203961,204038,1626169,NA
584,4,1627736,1627823,1626168,1628420,201589,202397,1627740,203961,204038,1626169,NA
