EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_5
2,1,202734,202326,201950,200765,1626162,202693,101162,203078,202322,NA
86,1,202734,202326,201950,200765,203107,202693,101162,203078,202322,NA
87,1,202734,202326,201950,2749,203107,202693,101162,203078,202322,NA
88,1,203121,202326,201950,2749,203107,202693,101162,203078,202322,NA
341,1,203121,202326,201950,2749,203107,202693,101162,203118,202322,NA
342,1,203121,202326,201950,2749,203107,201975,101162,203118,202322,NA
343,1,203121,202326,202734,2749,203107,201975,101162,203118,202322,NA
232,1,203121,203076,202734,2749,203107,201975,101162,203118,202322,NA
153,2,202734,203076,2749,203121,203107,203118,201975,204025,101133,201967
195,2,202734,203076,2749,203121,203107,203118,201975,203078,101133,201967
197,2,202734,203076,2749,201950,203107,203118,201975,203078,101133,201967
219,2,202734,203076,202326,201950,203107,203118,201975,203078,101133,201967
250,2,202734,203076,202326,201950,203107,203118,201975,203078,202322,201967
251,2,202734,203076,202326,201950,203107,101162,201975,203078,202322,201967
252,2,202734,203076,202326,201950,202693,101162,201975,203078,202322,201967
253,2,203546,203076,202326,201950,202693,101162,201975,203078,202322,201967
264,2,203546,203076,202326,201950,202693,101162,1626162,203078,202322,201967
265,2,203546,203076,202326,201950,202693,101162,1626162,203078,202322,203121
290,2,203546,203076,202326,201950,203118,101162,1626162,203078,202322,203121
307,2,203546,203076,202326,201950,201160,101162,1626162,203078,202322,203121
359,3,202734,202326,201950,200765,1626162,202693,101162,203078,202322,201967
392,3,202734,202326,201950,200765,1626162,202693,101162,203078,202322,203076
419,3,202734,202326,201950,200765,1626162,203118,101162,203078,202322,203076
434,3,202734,2749,201950,200765,1626162,203118,101162,203078,202322,203076
435,3,202734,2749,201950,203121,1626162,203118,101162,203078,202322,203076
448,3,203546,2749,201950,203121,1626162,203118,101162,203078,202322,203076
458,3,203546,2749,201950,203121,1626162,203118,101162,203078,203107,203076
462,3,203546,2749,201967,203121,1626162,203118,101162,203078,203107,203076
472,3,203546,2749,202326,203121,1626162,203118,101162,203078,203107,203076
479,3,203546,2749,202326,203121,1626162,203118,101133,203078,203107,203076
496,3,203546,2749,202326,203121,1626162,201160,101133,203078,203107,203076
511,4,202734,203076,202326,201950,1626162,203107,203118,201975,101133,203546
531,4,202734,203076,202326,201950,202322,203107,203118,201975,101133,203546
568,4,202734,203076,202326,201950,202322,203078,203118,201975,101133,203546
569,4,202734,203076,202326,201950,202322,203078,203118,201975,101133,203121
588,4,202734,203076,202326,201950,202322,203078,203118,1626162,101133,203121
605,4,202734,203076,202326,201950,202322,203078,201160,1626162,101133,203121
615,4,202734,203076,202326,201950,202322,203078,201160,1626162,202693,203121
616,4,202734,203076,202326,201950,202322,203078,101162,1626162,202693,203121
617,4,202734,203076,202326,203546,202322,203078,101162,1626162,202693,203121
618,4,202734,1628429,202326,203546,202322,203078,101162,1626162,202693,203121
619,4,1627767,1628429,202326,203546,202322,203078,101162,1626162,202693,203121
628,4,1627767,1628429,201600,203546,202322,203078,101162,1626162,202693,203121
655,4,1627767,1628429,201600,203546,1626191,203078,101162,1626162,202693,203121
656,4,1627767,1628429,201600,203546,1626191,203107,101162,1626162,202693,203121
657,4,1627767,1628429,201600,203546,1626191,203107,101162,1626162,201160,203121
658,4,1627767,1628429,201600,203546,1626191,203107,204025,1626162,201160,203121
670,4,1627767,1628429,201600,203546,1626191,203107,204025,201975,201160,203121
