EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_6,HOME_6,HOME_7
701,4,1627752,101141,201158,1627819,203145,101127,1627758,1628373,203926,204001,NA,NA,NA
702,4,1627752,101141,1627761,1627819,203145,101127,1627758,1628373,203926,204001,NA,NA,NA
710,4,1627752,101141,1627761,1627819,203145,101127,1627758,1628373,203926,202498,NA,NA,NA
714,4,1627752,101141,201158,1627819,203145,101127,1627758,1628373,203926,202498,NA,NA,NA
760,4,1627752,101141,201158,1627819,203145,101127,1627758,203124,203926,202498,NA,NA,NA
761,4,1627752,101141,201158,1627819,203145,101127,204001,203124,203926,202498,NA,NA,NA
762,4,1627752,101141,201158,203101,203145,101127,204001,203124,203926,202498,NA,NA,NA
766,4,1627752,101141,201158,203101,203145,101127,204001,1627758,203926,202498,NA,NA,NA
767,4,1627752,101141,1627761,203101,203145,101127,204001,1627758,203926,202498,NA,NA,NA
768,4,1627752,101141,1627761,1627819,203145,101127,204001,1627758,203926,202498,NA,NA,NA
