PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Allen Crabbe,203459,BKN,1
Rondae Hollis-Jefferson,1626178,BKN,1
Jarrett Allen,1628386,BKN,1
Spencer Dinwiddie,203915,BKN,1
D'Angelo Russell,1626156,BKN,1
Tomas Satoransky,203107,WAS,1
Otto Porter Jr.,203490,WAS,1
Thomas Bryant,1628418,WAS,1
Bradley Beal,203078,WAS,1
John Wall,202322,WAS,1
D'Angelo Russell,1626156,BKN,2
Shabazz Napier,203894,BKN,2
Ed Davis,202334,BKN,2
DeMarre Carroll,201960,BKN,2
Jared Dudley,201162,BKN,2
Tomas Satoransky,203107,WAS,2
Bradley Beal,203078,WAS,2
Markieff Morris,202693,WAS,2
Kelly Oubre Jr.,1626162,WAS,2
Austin Rivers,203085,WAS,2
Allen Crabbe,203459,BKN,3
Rondae Hollis-Jefferson,1626178,BKN,3
Jarrett Allen,1628386,BKN,3
Spencer Dinwiddie,203915,BKN,3
D'Angelo Russell,1626156,BKN,3
Tomas Satoransky,203107,WAS,3
Otto Porter Jr.,203490,WAS,3
Thomas Bryant,1628418,WAS,3
Bradley Beal,203078,WAS,3
John Wall,202322,WAS,3
Allen Crabbe,203459,BKN,4
Rondae Hollis-Jefferson,1626178,BKN,4
Spencer Dinwiddie,203915,BKN,4
DeMarre Carroll,201960,BKN,4
Jared Dudley,201162,BKN,4
Otto Porter Jr.,203490,WAS,4
Bradley Beal,203078,WAS,4
Markieff Morris,202693,WAS,4
Kelly Oubre Jr.,1626162,WAS,4
Austin Rivers,203085,WAS,4
