PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Harrison Barnes,203084,DAL,1
Luka Doncic,1629029,DAL,1
DeAndre Jordan,201599,DAL,1
Dorian Finney-Smith,1627827,DAL,1
Dennis Smith Jr.,1628372,DAL,1
Justin Holiday,203200,CHI,1
Jabari Parker,203953,CHI,1
Wendell Carter Jr.,1628976,CHI,1
Zach LaVine,203897,CHI,1
Ryan Arcidiacono,1627853,CHI,1
J.J. Barea,200826,DAL,2
Dwight Powell,203939,DAL,2
Devin Harris,2734,DAL,2
Jalen Brunson,1628973,DAL,2
Maxi Kleber,1628467,DAL,2
Zach LaVine,203897,CHI,2
Chandler Hutchison,1628990,CHI,2
Antonio Blakeney,1628469,CHI,2
Shaquille Harrison,1627885,CHI,2
Cristiano Felicio,1626245,CHI,2
Harrison Barnes,203084,DAL,3
Luka Doncic,1629029,DAL,3
DeAndre Jordan,201599,DAL,3
Dorian Finney-Smith,1627827,DAL,3
Dennis Smith Jr.,1628372,DAL,3
Justin Holiday,203200,CHI,3
Jabari Parker,203953,CHI,3
Wendell Carter Jr.,1628976,CHI,3
Zach LaVine,203897,CHI,3
Ryan Arcidiacono,1627853,CHI,3
J.J. Barea,200826,DAL,4
Dwight Powell,203939,DAL,4
Devin Harris,2734,DAL,4
Jalen Brunson,1628973,DAL,4
Maxi Kleber,1628467,DAL,4
Zach LaVine,203897,CHI,4
Chandler Hutchison,1628990,CHI,4
Robin Lopez,201577,CHI,4
Antonio Blakeney,1628469,CHI,4
Shaquille Harrison,1627885,CHI,4
