PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Robert Covington,203496,PHI,1
Dario Saric,203967,PHI,1
Joel Embiid,203954,PHI,1
Landry Shamet,1629013,PHI,1
Markelle Fultz,1628365,PHI,1
Stanley Johnson,1626169,DET,1
Blake Griffin,201933,DET,1
Andre Drummond,203083,DET,1
Reggie Bullock,203493,DET,1
Reggie Jackson,202704,DET,1
Robert Covington,203496,PHI,2
Joel Embiid,203954,PHI,2
Landry Shamet,1629013,PHI,2
Markelle Fultz,1628365,PHI,2
Mike Muscala,203488,PHI,2
Stanley Johnson,1626169,DET,2
Andre Drummond,203083,DET,2
Reggie Jackson,202704,DET,2
Langston Galloway,204038,DET,2
Luke Kennard,1628379,DET,2
Robert Covington,203496,PHI,3
Dario Saric,203967,PHI,3
Joel Embiid,203954,PHI,3
Landry Shamet,1629013,PHI,3
Markelle Fultz,1628365,PHI,3
Stanley Johnson,1626169,DET,3
Blake Griffin,201933,DET,3
Andre Drummond,203083,DET,3
Reggie Bullock,203493,DET,3
Reggie Jackson,202704,DET,3
Robert Covington,203496,PHI,4
Dario Saric,203967,PHI,4
Joel Embiid,203954,PHI,4
Landry Shamet,1629013,PHI,4
Markelle Fultz,1628365,PHI,4
Stanley Johnson,1626169,DET,4
Andre Drummond,203083,DET,4
Reggie Jackson,202704,DET,4
Langston Galloway,204038,DET,4
Ish Smith,202397,DET,4
Robert Covington,203496,PHI,5
Dario Saric,203967,PHI,5
Joel Embiid,203954,PHI,5
JJ Redick,200755,PHI,5
T.J. McConnell,204456,PHI,5
Blake Griffin,201933,DET,5
Reggie Bullock,203493,DET,5
Reggie Jackson,202704,DET,5
Ish Smith,202397,DET,5
Zaza Pachulia,2585,DET,5
