player.name,player.id,team.abbreviation,period
Josh Hart,1628404,LAL,1
Ivica Zubac,1627826,LAL,1
JaVale McGee,201580,LAL,1
Brandon Ingram,1627742,LAL,1
Lonzo Ball,1628366,LAL,1
Andrew Wiggins,203952,MIN,1
Taj Gibson,201959,MIN,1
Karl-Anthony Towns,1626157,MIN,1
Josh Okogie,1629006,MIN,1
Jeff Teague,201952,MIN,1
Ivica Zubac,1627826,LAL,2
Brandon Ingram,1627742,LAL,2
Lance Stephenson,202362,LAL,2
Kentavious Caldwell-Pope,203484,LAL,2
Moritz Wagner,1629021,LAL,2
Andrew Wiggins,203952,MIN,2
Dario Saric,203967,MIN,2
Tyus Jones,1626145,MIN,2
Anthony Tolliver,201229,MIN,2
Gorgui Dieng,203476,MIN,2
Josh Hart,1628404,LAL,3
JaVale McGee,201580,LAL,3
Brandon Ingram,1627742,LAL,3
Lonzo Ball,1628366,LAL,3
Michael Beasley,201563,LAL,3
Andrew Wiggins,203952,MIN,3
Taj Gibson,201959,MIN,3
Karl-Anthony Towns,1626157,MIN,3
Josh Okogie,1629006,MIN,3
Jeff Teague,201952,MIN,3
Ivica Zubac,1627826,LAL,4
Lance Stephenson,202362,LAL,4
Kentavious Caldwell-Pope,203484,LAL,4
Moritz Wagner,1629021,LAL,4
Svi Mykhailiuk,1629004,LAL,4
Andrew Wiggins,203952,MIN,4
Dario Saric,203967,MIN,4
Tyus Jones,1626145,MIN,4
Anthony Tolliver,201229,MIN,4
Gorgui Dieng,203476,MIN,4
