PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Iman Shumpert,202697,SAC,1
Nemanja Bjelica,202357,SAC,1
Willie Cauley-Stein,1626161,SAC,1
Buddy Hield,1627741,SAC,1
De'Aaron Fox,1628368,SAC,1
Kyle Anderson,203937,MEM,1
Jaren Jackson Jr.,1628991,MEM,1
Marc Gasol,201188,MEM,1
Garrett Temple,202066,MEM,1
Mike Conley,201144,MEM,1
Nemanja Bjelica,202357,SAC,2
Buddy Hield,1627741,SAC,2
Bogdan Bogdanovic,203992,SAC,2
Marvin Bagley III,1628963,SAC,2
Frank Mason,1628412,SAC,2
Kyle Anderson,203937,MEM,2
Jaren Jackson Jr.,1628991,MEM,2
Garrett Temple,202066,MEM,2
Wayne Selden,1627782,MEM,2
Shelvin Mack,202714,MEM,2
Iman Shumpert,202697,SAC,3
Nemanja Bjelica,202357,SAC,3
Willie Cauley-Stein,1626161,SAC,3
Buddy Hield,1627741,SAC,3
De'Aaron Fox,1628368,SAC,3
Kyle Anderson,203937,MEM,3
Jaren Jackson Jr.,1628991,MEM,3
Marc Gasol,201188,MEM,3
Garrett Temple,202066,MEM,3
Mike Conley,201144,MEM,3
Buddy Hield,1627741,SAC,4
Bogdan Bogdanovic,203992,SAC,4
Marvin Bagley III,1628963,SAC,4
Frank Mason,1628412,SAC,4
Troy Williams,1627786,SAC,4
Jaren Jackson Jr.,1628991,MEM,4
Garrett Temple,202066,MEM,4
Wayne Selden,1627782,MEM,4
Shelvin Mack,202714,MEM,4
MarShon Brooks,202705,MEM,4
