eventnum,period,away.1,away.2,away.3,away.4,home.1,home.2,home.3,home.4,home.5,away.5
0,1,2772,2730,201935,201976,203084,203110,101106,202691,201939,NA
100,1,2772,2730,201935,201976,2738,203110,101106,202691,201939,NA
101,1,2772,2730,201935,201976,2738,203110,101106,203200,201939,NA
108,1,2772,202700,201935,201976,2738,203110,101106,203200,201939,NA
111,1,2772,202700,201935,201976,2738,203110,201578,203200,201939,NA
116,1,201147,202700,201935,201976,2738,203110,201578,203200,201939,NA
117,1,201147,202700,201935,1891,2738,203110,201578,203200,201939,NA
129,1,201147,202700,201935,1891,2738,101135,201578,203200,201939,NA
156,1,201147,2746,201935,1891,2738,101135,201578,203200,201939,NA
157,2,2772,2730,2746,201147,203084,2738,101135,2571,2733,1891
204,2,2772,2730,2746,201935,203084,2738,101135,2571,2733,1891
205,2,2772,2730,2746,201935,203084,2738,101135,2571,2733,201976
206,2,2772,2730,2746,201935,202691,2738,101135,2571,2733,201976
207,2,2772,2730,2746,201935,202691,2738,101135,203110,2733,201976
222,2,2772,2730,2746,201935,202691,2738,101106,203110,2733,201976
223,2,2772,2730,2746,201935,202691,2738,101106,203110,201939,201976
235,2,2772,2730,202700,201935,202691,2738,101106,203110,201939,201976
271,2,2772,201147,202700,201935,202691,2738,101106,203110,201939,201976
286,2,2772,201147,202700,201935,202691,2738,101106,203110,201939,1891
298,2,2772,201147,202700,201935,202691,2738,101106,203110,2571,1891
307,3,2772,202700,2730,201935,203084,203110,101106,202691,201939,201976
364,3,2772,202700,2746,201935,203084,203110,101106,202691,201939,201976
365,3,201147,202700,2746,201935,203084,203110,101106,202691,201939,201976
379,3,201147,202700,2746,201935,203084,203110,101135,202691,201939,201976
380,3,201147,202700,2746,201935,2738,203110,101135,202691,201939,201976
381,3,201147,201595,2746,201935,2738,203110,101135,202691,201939,201976
406,3,201147,201595,203123,201935,2738,203110,101135,202691,201939,201976
418,3,201147,201595,203123,201935,2738,203110,101135,202691,201939,203144
449,4,201147,1891,201595,203123,203084,2738,101135,2571,2733,203144
516,4,201147,1891,201595,203123,203084,203200,101135,2571,2733,203144
526,4,201147,1891,201595,203123,203084,203200,201578,2571,2733,203144
527,4,201147,1891,201595,203123,203084,201575,201578,2571,2733,203144
544,4,201147,1891,201595,203123,202691,201575,201578,2571,2733,203144
545,4,201147,1891,201595,203123,202691,201575,201578,203110,2733,203144
546,4,201147,1891,201595,203123,202691,201575,201578,203110,201939,203144
