PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
201985,AJ Price,1610612754,IND,23.0,6-2,74,181,Connecticut,USA,2009,2,52,56,410,88,106,3.9,0.013,0.085,0.219,0.53,0.198
201166,Aaron Brooks,1610612745,HOU,25.0,6-0,72,161,Oregon,USA,2007,1,26,82,1604,215,434,0.2,0.018,0.057,0.254,0.549,0.253
201189,Aaron Gray,1610612740,NOH,25.0,7-0,84,270,Pittsburgh,USA,2007,2,49,32,104,106,22,-3.1,0.149,0.205,0.16,0.551,0.109
201151,Acie Law,1610612741,CHI,25.0,6-3,75,202,Texas A&M,USA,2007,1,11,26,113,17,26,5.3,0.014,0.061,0.214,0.585,0.17
200747,Adam Morrison,1610612747,LAL,25.0,6-8,80,205,Gonzaga,USA,2006,1,3,31,74,32,18,-8.3,0.039,0.094,0.178,0.418,0.121
1733,Al Harrington,1610612752,NYK,30.0,6-9,81,250,None,USA,1998,1,25,72,1276,405,110,-5.0,0.04,0.153,0.262,0.546,0.088
201143,Al Horford,1610612737,ATL,24.0,6-10,82,245,Florida,Dominican Republic,2007,1,3,81,1148,799,189,8.6,0.088,0.207,0.177,0.594,0.102
2744,Al Jefferson,1610612750,MIN,25.0,6-10,82,265,None,USA,2004,1,15,76,1301,703,137,-10.4,0.072,0.224,0.242,0.524,0.099
201154,Al Thornton,1610612764,WAS,26.0,6-8,80,220,Florida State,USA,2007,1,14,75,804,294,90,-7.5,0.057,0.092,0.189,0.523,0.072
201169,Alando Tucker,1610612750,MIN,26.0,6-6,78,205,Wisconsin,USA,2007,1,29,15,51,10,4,-26.7,0.058,0.039,0.229,0.529,0.077
