PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
201166,Aaron Brooks,1610612745,HOU,24.0,6-0,72,161,Oregon,USA,2007,1,26,80,894,157,238,3.9,0.018,0.063,0.226,0.521,0.201
201189,Aaron Gray,1610612741,CHI,24.0,7-0,84,270,Pittsburgh,USA,2007,2,49,56,196,220,46,-3.1,0.116,0.192,0.139,0.508,0.098
201151,Acie Law,1610612737,ATL,24.0,6-3,75,202,Texas A&M,USA,2007,1,11,55,162,58,86,-0.6,0.011,0.087,0.157,0.49,0.257
200747,Adam Morrison,1610612747,LAL,24.0,6-8,80,205,Gonzaga,USA,2006,1,3,52,209,80,41,-8.1,0.027,0.093,0.173,0.448,0.101
1502,Adonal Foyle,1610612753,ORL,34.0,6-10,82,270,Colgate,St. Vincent & Grenadines,1997,1,8,10,17,26,1,-6.3,0.127,0.236,0.119,0.623,0.028
1733,Al Harrington,1610612752,NYK,29.0,6-9,81,250,None,USA,1998,1,25,73,1469,455,102,-1.1,0.037,0.145,0.254,0.547,0.068
201143,Al Horford,1610612737,ATL,23.0,6-10,82,245,Florida,Dominican Republic,2007,1,3,67,773,624,163,0.6,0.069,0.223,0.165,0.565,0.119
2744,Al Jefferson,1610612750,MIN,24.0,6-10,82,265,None,USA,2004,1,15,50,1156,548,79,-2.6,0.093,0.219,0.285,0.532,0.082
201154,Al Thornton,1610612746,LAC,25.0,6-8,80,220,Florida State,USA,2007,1,14,71,1194,368,103,-10.5,0.047,0.098,0.225,0.502,0.068
201169,Alando Tucker,1610612756,PHX,25.0,6-6,78,205,Wisconsin,USA,2007,1,29,30,138,31,12,4.3,0.063,0.043,0.209,0.509,0.064
101165,Alex Acker,1610612746,LAC,26.0,6-5,77,185,Pepperdine,USA,2005,2,60,25,72,24,12,2.3,0.039,0.082,0.198,0.448,0.091
201582,Alexis Ajinca,1610612766,CHA,21.0,7-0,84,220,None,France,2008,1,20,31,70,30,3,3.1,0.057,0.132,0.246,0.43,0.032
947,Allen Iverson,1610612765,DET,34.0,6-0,72,180,Georgetown,USA,1996,1,1,57,995,173,283,-1.5,0.015,0.072,0.258,0.504,0.238
2405,Amar'e Stoudemire,1610612756,PHX,26.0,6-10,82,249,None,USA,2002,1,9,53,1134,430,104,3.0,0.068,0.158,0.245,0.617,0.087
101161,Amir Johnson,1610612765,DET,22.0,6-9,81,210,None,USA,2005,2,56,62,217,232,20,5.3,0.116,0.15,0.108,0.608,0.033
2760,Anderson Varejao,1610612739,CLE,26.0,6-11,83,260,None,Brazil,2004,2,30,81,694,581,81,10.7,0.077,0.185,0.14,0.565,0.055
101154,Andray Blatche,1610612764,WAS,22.0,6-11,83,248,None,USA,2005,2,49,71,713,378,118,-5.9,0.076,0.16,0.218,0.508,0.118
2810,Andre Brown,1610612766,CHA,28.0,6-9,81,245,DePaul,USA,Undrafted,Undrafted,Undrafted,4,4,12,1,-7.5,0.2,0.114,0.135,0.254,0.038
