PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
2062,A.J. Guyton,1610612744,GSW,25.0,6-1,73.0,180,Indiana,USA,2000,2,32,2,0,0,2,-12.5,0.0,0.0,0.263,0.0,0.4
243,Aaron McKie,1610612755,PHI,30.0,6-5,77.0,209,Temple,USA,1994,1,17,80,721,350,278,4.7,0.026,0.128,0.155,0.497,0.185
1425,Aaron Williams,1610612751,NJN,31.0,6-9,81.0,240,Xavier,USA,Undrafted,Undrafted,Undrafted,81,500,331,88,1.9,0.087,0.119,0.162,0.504,0.092
2492,Adam Harrington,1610612743,DEN,22.0,6-5,77.0,200,Auburn,USA,Undrafted,Undrafted,Undrafted,19,30,8,12,-12.7,0.008,0.071,0.163,0.387,0.176
1502,Adonal Foyle,1610612744,GSW,28.0,6-10,82.0,265,Colgate,St. Vincent & Grenadines,1997,1,8,82,440,490,37,2.6,0.098,0.161,0.111,0.563,0.032
1559,Adrian Griffin,1610612742,DAL,28.0,6-5,77.0,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,74,325,264,105,7.4,0.063,0.129,0.129,0.463,0.111
1733,Al Harrington,1610612754,IND,23.0,6-9,81.0,250,None,USA,1998,1,25,82,1002,511,125,3.1,0.066,0.144,0.215,0.493,0.089
673,Alan Henderson,1610612737,ATL,30.0,6-9,81.0,240,Indiana,USA,1995,1,16,82,394,398,41,-7.5,0.105,0.157,0.131,0.508,0.046
275,Allan Houston,1610612752,NYK,32.0,6-6,78.0,200,Tennessee,USA,1993,1,11,82,1845,231,220,-0.5,0.008,0.07,0.262,0.563,0.129
947,Allen Iverson,1610612755,PHI,28.0,6-0,72.0,165,Georgetown,USA,1996,1,1,82,2262,344,454,2.7,0.02,0.085,0.324,0.5,0.248
