player.name,player.id,team.abbreviation,period
Gerald Wallace,2222,BKN,1
Reggie Evans,2501,BKN,1
Brook Lopez,201572,BKN,1
Joe Johnson,2207,BKN,1
Deron Williams,101114,BKN,1
Rudy Gay,200752,MEM,1
Zach Randolph,2216,MEM,1
Marc Gasol,201188,MEM,1
Tony Allen,2754,MEM,1
Mike Conley,201144,MEM,1
Joe Johnson,2207,BKN,2
Kris Humphries,2743,BKN,2
Keith Bogans,2586,BKN,2
Andray Blatche,101154,BKN,2
C.J. Watson,201228,BKN,2
Zach Randolph,2216,MEM,2
Jerryd Bayless,201573,MEM,2
Darrell Arthur,201589,MEM,2
Tony Wroten,203100,MEM,2
Chris Johnson,203187,MEM,2
Gerald Wallace,2222,BKN,3
Reggie Evans,2501,BKN,3
Brook Lopez,201572,BKN,3
Joe Johnson,2207,BKN,3
Deron Williams,101114,BKN,3
Rudy Gay,200752,MEM,3
Zach Randolph,2216,MEM,3
Marc Gasol,201188,MEM,3
Tony Allen,2754,MEM,3
Mike Conley,201144,MEM,3
Reggie Evans,2501,BKN,4
Kris Humphries,2743,BKN,4
Keith Bogans,2586,BKN,4
C.J. Watson,201228,BKN,4
MarShon Brooks,202705,BKN,4
Zach Randolph,2216,MEM,4
Jerryd Bayless,201573,MEM,4
Darrell Arthur,201589,MEM,4
Tony Wroten,203100,MEM,4
Chris Johnson,203187,MEM,4
