eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,away.6
0,1,2207,2222,201572,2586,201228,2605,201601,202336,101145,201943,NA
41,1,202705,2222,201572,2586,201228,2605,201601,202336,101145,201943,NA
65,1,202705,2222,101154,2586,201228,2605,201601,202336,101145,201943,NA
81,1,202705,2222,101154,2586,201228,2399,201601,202336,101145,201943,NA
82,1,202705,2222,101154,2586,201228,2399,2757,202336,101145,201943,NA
83,1,202705,2222,101154,2586,201228,2399,2757,202336,101145,202327,NA
84,1,202705,2222,101154,711,201228,2399,2757,202336,101145,202327,NA
93,1,202705,2222,101154,711,201228,2399,2757,101141,101145,202327,NA
94,1,202705,2501,101154,711,201228,2399,2757,101141,101145,202327,NA
95,1,2207,2501,101154,711,201228,2399,2757,101141,101145,202327,NA
106,2,2207,2586,101154,711,2501,201943,2399,2757,202327,101141,203116
137,2,2207,2586,101154,202705,2501,201943,2399,2757,202327,101141,203116
171,2,2207,2586,101154,202705,2501,201943,2399,101145,202327,101141,203116
172,2,2207,2586,201572,202705,2501,201943,2399,101145,202327,101141,203116
178,2,2207,2586,201572,202705,2222,201943,2399,101145,202327,101141,203116
196,2,2207,2586,201572,202705,2222,201943,2399,101145,202336,101141,203116
199,2,2207,2586,101154,202705,2222,201943,2399,101145,202336,101141,203116
214,2,2207,2586,101154,202705,2222,201943,2399,101145,202327,101141,203116
215,2,2207,203116,101154,202705,2222,201943,2399,101145,202327,101141,203116
231,2,2207,711,101154,202705,2222,201943,2399,101145,202327,101141,203116
241,2,2586,711,101154,202705,2222,201943,2399,101145,202327,101141,203116
242,2,2586,711,101154,2207,2222,201943,2399,101145,202327,101141,203116
243,3,2207,2222,201572,2586,201228,2605,201601,202336,101145,201943,NA
285,3,2207,2222,201572,2586,201228,2605,201601,202327,101145,201943,NA
294,3,2207,2222,201572,202705,201228,2605,201601,202327,101145,201943,NA
324,3,2207,2222,101154,202705,201228,2605,201601,202327,101145,201943,NA
326,3,2207,2501,101154,202705,201228,2605,201601,202327,101145,201943,NA
327,3,2207,2501,101154,202705,201228,2605,101141,202327,101145,201943,NA
348,3,2207,2501,101154,202705,203116,2605,101141,202327,101145,201943,NA
349,3,2207,2501,101154,202705,203116,2399,101141,202327,101145,201943,NA
356,3,2207,2501,101154,202705,203116,2399,101141,202327,101145,2757,NA
357,3,711,2501,101154,202705,203116,2399,101141,202327,101145,2757,NA
379,3,711,2501,101154,2207,203116,2399,101141,202327,101145,2757,NA
392,3,711,2586,101154,2207,203116,2399,101141,202327,101145,2757,NA
393,3,711,2586,101154,2207,203116,2399,2605,202327,101145,2757,NA
401,4,2207,2222,2586,101154,203116,201943,2399,2757,202327,101141,NA
418,4,2207,2222,2586,201572,203116,201943,2399,2757,202327,101141,NA
439,4,2207,2222,2586,201572,203116,201943,2399,101145,202327,101141,NA
440,4,2207,2222,2586,201572,203116,201943,2399,101145,202336,101141,NA
476,4,2207,2222,2586,201572,201228,201943,2399,101145,202336,101141,NA
505,4,2207,203116,2586,201572,201228,201943,2399,101145,202336,101141,NA
506,4,2207,203116,2586,201572,201228,201943,2399,101145,202336,2605,NA
507,4,2207,203116,2586,201572,201228,201943,201601,101145,202336,2605,NA
515,4,2207,203116,2586,201572,201228,201943,201601,101145,203117,2605,NA
516,4,2207,203116,2586,201572,201228,201943,201601,203089,203117,2605,NA
517,4,2207,203116,2586,201572,201228,202327,201601,203089,203117,2605,NA
518,4,2207,203116,2586,201572,201228,2757,201601,203089,203117,2605,NA
519,4,202705,203116,2586,201572,201228,2757,201601,203089,203117,2605,NA
520,4,202705,203116,203129,201572,201228,2757,201601,203089,203117,2605,NA
524,4,202705,203116,203129,203141,201228,2757,201601,203089,203117,2605,NA
