eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,home.6
0,1,2554,202334,201189,201942,101181,202498,203076,201577,203085,202349,NA
43,1,101187,202334,201189,201942,101181,202498,203076,201577,203085,202349,NA
51,1,101187,202334,201189,201942,101181,202498,201583,201577,203085,202349,NA
62,1,101187,202334,101161,201942,101181,202498,201583,201577,203085,202349,NA
77,1,101187,202334,101161,201942,101181,202498,201583,2427,203085,202349,NA
78,1,101187,202334,101161,201942,101181,202498,201583,2427,203148,202349,NA
79,1,101187,202334,101161,201942,101181,202498,201583,2427,203148,201160,NA
81,1,101187,202334,101161,201942,200768,202498,201583,2427,203148,201160,NA
83,1,101187,202334,101161,201942,200768,201187,201583,2427,203148,201160,NA
101,1,101187,202334,101161,201942,200768,201187,201583,2427,203085,201160,NA
122,2,101187,101161,200768,101132,203082,202498,203085,201583,2427,201160,201187
132,2,101187,101161,200768,101132,203082,202498,203085,201583,2427,201577,201187
151,2,101187,101161,200768,101132,203082,202498,203085,201583,202349,201577,201187
152,2,101187,101161,200768,101132,203082,202498,203085,203076,202349,201577,201187
153,2,101187,101161,200768,101132,203082,202329,203085,203076,202349,201577,201187
162,2,201942,101161,200768,101132,203082,202329,203085,203076,202349,201577,201187
186,2,201942,101161,200768,202334,203082,202329,203085,203076,202349,201577,201187
205,2,201942,101161,200768,202334,203082,202498,203085,203076,202349,201577,201187
211,2,201942,101161,101181,202334,203082,202498,203085,203076,202349,201577,201187
212,2,201942,101161,101181,202334,203082,202498,202333,203076,202349,201577,201187
213,2,201942,201189,101181,202334,203082,202498,202333,203076,202349,201577,201187
233,2,201942,201189,101181,202334,203082,202498,202333,201583,202349,201577,201187
243,2,201942,201189,101181,202334,101187,202498,202333,201583,202349,201577,201187
257,2,201942,201189,101181,202334,101187,203085,202333,201583,202349,201577,201187
267,2,201942,101161,101181,202334,101187,203085,202333,201583,202349,201577,201187
268,2,201942,101161,101181,202334,101187,202498,202333,201583,202349,201577,201187
274,2,201942,101161,101181,203082,101187,202498,202333,201583,202349,201577,201187
275,2,201942,101161,101181,203082,101187,202498,201187,201583,202349,201577,201187
283,3,2554,202334,201189,201942,101181,202498,203076,201577,203085,202349,NA
311,3,2554,202334,101161,201942,101181,202498,203076,201577,203085,202349,NA
323,3,101187,202334,101161,201942,101181,202498,203076,201577,203085,202349,NA
348,3,101187,202334,101161,201942,101181,202498,203076,201583,203085,202349,NA
349,3,101187,202334,101161,201942,200768,202498,203076,201583,203085,202349,NA
355,3,101187,202334,101161,201942,200768,203148,203076,201583,203085,202349,NA
356,3,101187,202334,101161,201942,200768,203148,2427,201583,203085,202349,NA
357,3,101187,202334,101161,201942,200768,203148,2427,201583,201160,202349,NA
358,3,101187,202334,101161,201942,200768,203148,2427,201583,201160,201187,NA
359,3,101187,203082,101161,201942,200768,203148,2427,201583,201160,201187,NA
394,4,201942,101187,101161,200768,203082,201583,2427,203148,201160,201187,NA
409,4,201942,101187,101161,200768,203082,201583,203085,203148,201160,201187,NA
413,4,201942,101187,101161,200768,203082,201583,203085,202349,201160,201187,NA
415,4,201942,101187,101161,200768,203082,203076,203085,202349,201160,201187,NA
427,4,201942,101187,101161,200768,203082,203076,203085,202349,201160,202498,NA
428,4,201942,101187,101161,200768,202334,203076,203085,202349,201160,202498,NA
434,4,201942,101187,101161,200768,202334,203076,203085,202349,201583,202498,NA
439,4,201942,101187,101161,200768,203082,203076,203085,202349,201583,202498,NA
440,4,201942,101187,101161,200768,203082,203076,203085,202349,201583,203148,NA
460,4,201942,101187,101161,101181,203082,203076,203085,202349,201583,203148,NA
478,4,201942,101187,101161,101181,203082,203076,203085,202349,201583,202498,NA
491,4,201942,101187,101161,101181,200768,203076,203085,202349,201583,202498,NA
496,4,201942,101187,101161,101181,200768,203076,203085,202349,201583,203148,NA
515,4,201942,101187,101161,101181,200768,203076,202498,202349,201583,203148,NA
516,4,201942,101187,101161,101181,200768,203076,202498,202349,201583,201187,NA
520,5,201942,101181,101187,101161,200768,203076,203085,202349,201583,203148,NA
540,5,201942,203082,101187,101161,200768,203076,203085,202349,201583,203148,NA
553,5,201942,203082,101187,101161,200768,203076,202498,202349,201583,203148,NA
569,5,201942,101181,101187,101161,200768,203076,202498,202349,201583,203148,NA
