eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,home.6
0,1,202331,2561,201579,202362,201571,1718,101138,708,202340,200765,NA
42,1,202331,2561,201579,202362,201571,1718,101138,2215,202340,200765,NA
55,1,202331,2561,201579,202362,201571,1718,203096,2215,202340,200765,NA
64,1,202331,201946,201579,202362,201571,1718,203096,2215,202340,200765,NA
65,1,202331,201946,201579,202362,201571,201145,203096,2215,202340,200765,NA
76,1,202331,201946,201579,202362,201571,201145,203096,2215,1891,200765,NA
77,1,202331,201946,201579,101123,201571,201145,203096,2215,1891,200765,NA
94,1,202331,201946,201579,101123,201571,201145,203096,2215,1891,201584,NA
99,1,202331,201946,101133,101123,201571,201145,203096,2215,1891,201584,NA
105,1,202331,201946,101133,101123,203162,201145,203096,2215,1891,201584,NA
117,2,202362,201946,101123,101133,203162,101138,708,203096,201145,1891,201584
129,2,202362,201946,101123,101133,203162,101138,708,203096,1718,1891,201584
144,2,202362,201946,101123,101133,203162,101138,708,203096,1718,200765,201584
148,2,202362,201946,101123,2561,203162,101138,708,203096,1718,200765,201584
162,2,202362,201946,101123,2561,201571,101138,708,203096,1718,200765,201584
163,2,202362,201946,202331,2561,201571,101138,708,203096,1718,200765,201584
173,2,202362,201579,202331,2561,201571,101138,708,203096,1718,200765,201584
176,2,202362,201579,202331,2561,201571,2215,708,203096,1718,200765,201584
185,2,202362,201579,202331,2561,201571,2215,101138,203096,1718,200765,201584
222,2,202362,201579,202331,2561,201571,708,101138,203096,1718,200765,201584
252,2,202362,201946,202331,2561,201571,708,101138,203096,1718,200765,201584
277,3,202331,2561,201579,202362,201571,1718,101138,708,202340,200765,NA
316,3,202331,2561,201579,202362,201571,1718,101138,2215,202340,200765,NA
327,3,202331,2561,101133,202362,201571,1718,101138,2215,202340,200765,NA
337,3,202331,2561,101133,202362,201571,201145,101138,2215,202340,200765,NA
350,3,202331,2561,101133,202362,201571,201145,203096,2215,202340,200765,NA
363,3,202331,2561,101133,202362,201571,201145,203096,2215,201584,200765,NA
372,3,202331,2561,101133,101123,201571,201145,203096,2215,201584,200765,NA
383,3,202331,2561,101133,101123,201571,201145,203096,2215,201584,1891,NA
384,3,202331,2561,101133,101123,201571,201145,203096,708,201584,1891,NA
393,3,202331,2561,101133,101123,203162,201145,203096,708,201584,1891,NA
417,4,201579,201946,101123,203162,203111,708,203096,201145,1891,201584,NA
426,4,201579,201946,101123,203162,203111,708,203096,1718,1891,201584,NA
452,4,201579,201946,101123,203162,203111,101138,203096,1718,1891,201584,NA
457,4,201965,201946,101123,203162,203111,101138,203096,1718,1891,201584,NA
486,4,201965,201946,101123,203162,203111,101138,203096,201145,1891,201584,NA
507,4,201965,201946,101123,203162,203111,101138,203096,201145,2571,201584,NA
509,4,202362,201946,101123,203162,203111,101138,203096,201145,2571,201584,NA
513,4,202362,201946,101133,203162,203111,101138,203096,201145,2571,201584,NA
523,4,101123,201946,101133,203162,203111,101138,203096,201145,2571,201584,NA
536,4,101123,201946,101133,203162,203111,101138,202363,201145,2571,201584,NA
