PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Kevin Durant,201142,GSW,1
Draymond Green,203110,GSW,1
Zaza Pachulia,2585,GSW,1
Klay Thompson,202691,GSW,1
Stephen Curry,201939,GSW,1
Will Barton,203115,DEN,1
Wilson Chandler,201163,DEN,1
Nikola Jokic,203999,DEN,1
Gary Harris,203914,DEN,1
Jamal Murray,1627750,DEN,1
Kevin Durant,201142,GSW,2
Klay Thompson,202691,GSW,2
Andre Iguodala,2738,GSW,2
Kevon Looney,1626172,GSW,2
Shaun Livingston,2733,GSW,2
Wilson Chandler,201163,DEN,2
Gary Harris,203914,DEN,2
Emmanuel Mudiay,1626144,DEN,2
Trey Lyles,1626168,DEN,2
Darrell Arthur,201589,DEN,2
Kevin Durant,201142,GSW,3
Draymond Green,203110,GSW,3
Zaza Pachulia,2585,GSW,3
Klay Thompson,202691,GSW,3
Stephen Curry,201939,GSW,3
Will Barton,203115,DEN,3
Wilson Chandler,201163,DEN,3
Nikola Jokic,203999,DEN,3
Gary Harris,203914,DEN,3
Jamal Murray,1627750,DEN,3
Kevin Durant,201142,GSW,4
Klay Thompson,202691,GSW,4
Andre Iguodala,2738,GSW,4
Shaun Livingston,2733,GSW,4
Damian Jones,1627745,GSW,4
Will Barton,203115,DEN,4
Emmanuel Mudiay,1626144,DEN,4
Torrey Craig,1628470,DEN,4
Trey Lyles,1626168,DEN,4
Darrell Arthur,201589,DEN,4
