PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Taurean Prince,1627752,ATL,1
Luke Babbitt,202337,ATL,1
Dewayne Dedmon,203473,ATL,1
Kent Bazemore,203145,ATL,1
Dennis Schroder,203471,ATL,1
Reggie Bullock,203493,DET,1
Tobias Harris,202699,DET,1
Andre Drummond,203083,DET,1
Avery Bradley,202340,DET,1
Reggie Jackson,202704,DET,1
Luke Babbitt,202337,ATL,2
John Collins,1628381,ATL,2
Marco Belinelli,201158,ATL,2
Isaiah Taylor,1627819,ATL,2
Malcolm Delaney,1627098,ATL,2
Langston Galloway,204038,DET,2
Ish Smith,202397,DET,2
Luke Kennard,1628379,DET,2
Eric Moreland,203961,DET,2
Anthony Tolliver,201229,DET,2
Taurean Prince,1627752,ATL,3
Luke Babbitt,202337,ATL,3
Dewayne Dedmon,203473,ATL,3
Kent Bazemore,203145,ATL,3
Dennis Schroder,203471,ATL,3
Reggie Bullock,203493,DET,3
Tobias Harris,202699,DET,3
Andre Drummond,203083,DET,3
Avery Bradley,202340,DET,3
Reggie Jackson,202704,DET,3
Dewayne Dedmon,203473,ATL,4
John Collins,1628381,ATL,4
Marco Belinelli,201158,ATL,4
Isaiah Taylor,1627819,ATL,4
Malcolm Delaney,1627098,ATL,4
Langston Galloway,204038,DET,4
Ish Smith,202397,DET,4
Luke Kennard,1628379,DET,4
Eric Moreland,203961,DET,4
Anthony Tolliver,201229,DET,4
