eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
0,1,201142,201145,2420,200757,201566,2210,1495,201971,1938,2225
48,1,201142,201145,2420,200757,201566,2210,1495,201971,201588,2225
49,1,201142,201145,2420,200757,201566,2210,1495,2588,201588,2225
66,1,201142,201145,201586,200757,201566,2210,1495,2588,201588,2225
72,1,201142,201145,201586,201935,201566,2210,1495,2588,201588,2225
73,1,201142,201145,201586,201935,201566,202390,1495,2588,201588,2225
82,1,201142,201161,201586,201935,201566,202390,1495,2588,201588,2225
83,1,201142,201161,201586,201935,201566,202390,201971,2588,201588,2225
84,1,201142,201161,201586,201935,201566,202390,201971,1938,201588,2225
98,1,201145,201161,201586,201935,201566,202390,201971,1938,201588,2225
99,1,201145,201161,201586,201935,201953,202390,201971,1938,201588,2225
105,1,201145,201161,201586,201935,201953,202390,201971,1938,201588,2588
121,2,201145,201586,201935,201161,201953,201971,1938,201588,2588,202390
151,2,201145,201586,201935,201161,201953,686,1938,201588,2588,202390
160,2,201145,201586,201935,201161,201953,686,2210,201588,2588,202390
161,2,201145,2555,201935,201161,201953,686,2210,201588,2588,202390
164,2,201145,2555,201935,201161,201566,686,2210,201588,2588,202390
165,2,201145,2555,201935,201142,201566,686,2210,201588,2588,202390
170,2,201145,2555,201935,201142,201566,686,2210,201588,1495,202390
180,2,201145,2555,201935,201142,201566,686,2210,2225,1495,202390
204,2,201145,2555,200757,201142,201566,686,2210,2225,1495,202390
209,2,201586,2555,200757,201142,201566,686,2210,2225,1495,202390
217,2,201586,2555,200757,201142,201566,686,2210,2225,1495,1938
232,2,201586,201935,200757,201142,201566,686,2210,2225,1495,1938
237,2,201586,201935,200757,201142,201566,686,201588,2225,1495,1938
238,2,201586,201935,200757,201142,201566,202390,201588,2225,1495,1938
266,2,201586,201935,200757,201142,201566,202341,201588,2225,1495,1938
269,3,201142,201145,2420,200757,201566,2210,1495,201971,1938,2225
298,3,201142,201145,2420,200757,201566,201588,1495,201971,1938,2225
308,3,201142,201145,2420,200757,201566,201588,1495,2588,1938,2225
326,3,201142,201145,2420,200757,201566,201588,1495,2588,202390,2225
346,3,201142,201145,201586,200757,201566,201588,1495,2588,202390,2225
347,3,201142,201145,201586,200757,201566,201588,686,2588,202390,2225
358,3,201142,201145,201586,200757,201566,201588,686,2588,202390,1938
360,3,201142,201935,201586,200757,201566,201588,686,2588,202390,1938
392,3,201142,201935,201586,200757,201566,201588,686,1495,202390,1938
393,3,201142,201935,201586,200757,201953,201588,686,1495,202390,1938
397,4,201142,201586,201935,201161,201953,1938,201588,2588,202390,686
407,4,201142,201586,201935,201161,201953,1938,201588,2210,202390,686
425,4,201142,201586,201935,201161,201953,1938,2225,2210,202390,686
426,4,201142,201586,201935,201161,201953,1938,2225,2210,202390,1495
439,4,201142,201586,201935,201161,201953,201588,2225,2210,202390,1495
453,4,201142,201586,201935,201161,201566,201588,2225,2210,202390,1495
466,4,201142,201586,201935,201145,201566,201588,2225,2210,202390,1495
468,4,201142,201586,201935,201145,201566,201588,2225,2210,2588,1495
482,4,201142,201586,201935,201145,201566,1938,2225,2210,2588,1495
529,4,201142,201586,201935,201145,201566,1938,2225,2210,686,1495
534,4,201142,201586,201935,201145,201566,1938,2225,201588,2588,1495
535,4,201142,200757,201935,201145,201566,1938,2225,201588,2588,1495
539,4,201142,200757,201935,201145,201566,1938,2225,201588,2210,1495
540,4,201142,200757,201586,201145,201566,1938,2225,201588,2210,1495
544,4,201142,201935,201586,201145,201566,1938,2225,201588,2210,1495
545,4,201142,201935,201586,201145,201566,1938,2225,201588,2210,686
