EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_6
0,1,203933,1627737,2199,1626164,202339,201568,202702,203994,2749,1626144,NA
37,1,200782,1627737,2199,1626164,202339,201568,202702,203994,2749,1626144,NA
50,1,200782,201162,2199,1626164,202339,201568,202702,203994,2749,1626144,NA
58,1,200782,201162,203458,1626164,202339,201568,202702,203994,2749,1626144,NA
59,1,200782,201162,203458,202688,202339,201568,202702,203994,2749,1626144,NA
67,1,200782,201162,203458,202688,202339,201568,202702,203999,2749,1626144,NA
76,1,200782,201162,203458,202688,202339,201568,202702,203999,1627750,1626144,NA
77,1,200782,201162,203458,202688,202339,201568,201163,203999,1627750,1626144,NA
92,1,200782,201162,203458,202688,2571,201568,201163,203999,1627750,1626144,NA
104,1,200782,201162,203458,202688,2571,201568,201163,203999,1627750,2749,NA
114,1,200782,201162,203458,202688,2571,1627823,201163,203999,1627750,2749,NA
146,1,200782,201162,1627733,202688,2571,1627823,201163,203999,1627750,2749,NA
149,2,1626164,201162,202688,2571,1627733,2749,203999,1627750,201163,1627823,NA
162,2,1626164,201162,202688,2571,2199,2749,203999,1627750,201163,1627823,NA
177,2,1626164,201162,202688,2571,2199,201568,203999,1627750,201163,1627823,NA
178,2,1626164,201162,202688,2571,2199,201568,1626144,1627750,201163,1627823,NA
179,2,1626164,201162,202688,2571,2199,201568,1626144,1627750,201163,203994,NA
189,2,1626164,203933,202688,2571,2199,201568,1626144,1627750,201163,203994,NA
193,2,1626164,203933,202339,2571,2199,201568,1626144,1627750,201163,203994,NA
203,2,1626164,203933,202339,200782,2199,201568,1626144,1627750,201163,203994,NA
228,2,1626164,203933,202339,200782,1626210,201568,1626144,1627750,201163,203994,NA
229,2,1626164,203933,202339,200782,1626210,201568,1626144,202702,201163,203994,NA
230,2,1626164,203933,202339,200782,1626210,201568,1626144,202702,2749,203994,NA
255,2,1626164,203933,202339,200782,1626210,201568,1626144,202702,2749,201163,NA
283,2,1626164,203933,202339,200782,2199,201568,1626144,202702,2749,201163,NA
292,2,1626164,203933,202339,200782,2199,201568,1626144,202702,1627750,201163,NA
305,3,203933,1627737,2199,1626164,202339,201568,202702,203994,2749,1626144,NA
351,3,203933,1627737,2199,1626164,202339,201568,202702,203999,2749,1626144,NA
361,3,203933,1627737,2199,1626164,202339,201568,201163,203999,2749,1626144,NA
372,3,203933,1627737,2199,1626164,202339,201568,201163,203999,1627750,1626144,NA
384,3,202688,1627737,2199,1626164,202339,201568,201163,203999,1627750,1626144,NA
391,3,202688,200782,2199,1626164,202339,201568,201163,203999,1627750,1626144,NA
392,3,202688,200782,203458,1626164,202339,201568,201163,203999,1627750,1626144,NA
417,3,202688,200782,203458,1626164,202339,201568,201163,203999,1627750,202087,NA
433,4,2199,1626164,201162,203458,202688,2749,203999,201163,1627823,202087,2571
456,4,2199,1626164,201162,203458,202688,2749,202702,201163,1627823,202087,2571
457,4,2199,1626164,201162,203458,202688,2749,202702,201163,1627823,1626144,2571
466,4,2199,202339,201162,203458,202688,2749,202702,201163,1627823,1626144,2571
477,4,2199,202339,201162,203458,202688,2749,202702,201163,201568,1626144,2571
518,4,2199,2571,201162,203458,202688,2749,202702,201163,201568,1626144,2571
548,4,2199,2571,201162,202339,202688,2749,202702,201163,201568,1626144,2571
592,4,2199,2199,201162,202339,202688,2749,202702,201163,201568,1626144,2571
571,4,1626210,1626210,201162,202339,202688,2749,202702,201163,201568,1626144,2571
572,4,1626210,1626210,1627733,202339,202688,2749,202702,201163,201568,1626144,2571
573,4,1626210,1626210,1627733,202339,202688,2749,202702,201163,1627750,1626144,2571
574,4,1626210,1626210,1627733,202339,202688,1627823,202702,201163,1627750,1626144,2571
575,4,1626210,1626210,1627733,202339,202688,1627823,202702,201163,1627750,1627736,2571
576,4,1626210,1626210,1627733,202339,202688,1627823,202702,202087,1627750,1627736,2571
