PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Tony Allen,2754,MEM,1
Zach Randolph,2216,MEM,1
Marc Gasol,201188,MEM,1
Courtney Lee,201584,MEM,1
Mike Conley,201144,MEM,1
Gordon Hayward,202330,UTA,1
Derrick Favors,202324,UTA,1
Rudy Gobert,203497,UTA,1
Rodney Hood,203918,UTA,1
Raul Neto,203526,UTA,1
Zach Randolph,2216,MEM,2
Matt Barnes,2440,MEM,2
Jeff Green,201145,MEM,2
Beno Udrih,2757,MEM,2
Jarnell Stokes,203950,MEM,2
Trey Burke,203504,UTA,2
Alec Burks,202692,UTA,2
Trevor Booker,202344,UTA,2
Joe Ingles,204060,UTA,2
Trey Lyles,1626168,UTA,2
Tony Allen,2754,MEM,3
Zach Randolph,2216,MEM,3
Marc Gasol,201188,MEM,3
Courtney Lee,201584,MEM,3
Mike Conley,201144,MEM,3
Gordon Hayward,202330,UTA,3
Derrick Favors,202324,UTA,3
Rudy Gobert,203497,UTA,3
Rodney Hood,203918,UTA,3
Raul Neto,203526,UTA,3
Zach Randolph,2216,MEM,4
Mike Conley,201144,MEM,4
Matt Barnes,2440,MEM,4
Jeff Green,201145,MEM,4
JaMychal Green,203210,MEM,4
Derrick Favors,202324,UTA,4
Trey Burke,203504,UTA,4
Alec Burks,202692,UTA,4
Trevor Booker,202344,UTA,4
Joe Ingles,204060,UTA,4
