PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Danilo Gallinari,201568,DEN,1
Darrell Arthur,201589,DEN,1
Nikola Jokic,203999,DEN,1
Randy Foye,200751,DEN,1
Emmanuel Mudiay,1626144,DEN,1
Chandler Parsons,202718,DAL,1
Dirk Nowitzki,1717,DAL,1
Zaza Pachulia,2585,DAL,1
Wesley Matthews,202083,DAL,1
Deron Williams,101114,DAL,1
Randy Foye,200751,DEN,2
Will Barton,203115,DEN,2
Jameer Nelson,2749,DEN,2
Kenneth Faried,202702,DEN,2
Mike Miller,2034,DEN,2
Dirk Nowitzki,1717,DAL,2
Raymond Felton,101109,DAL,2
Devin Harris,2734,DAL,2
Justin Anderson,1626147,DAL,2
JaVale McGee,201580,DAL,2
Danilo Gallinari,201568,DEN,3
Darrell Arthur,201589,DEN,3
Nikola Jokic,203999,DEN,3
Randy Foye,200751,DEN,3
Emmanuel Mudiay,1626144,DEN,3
Chandler Parsons,202718,DAL,3
Dirk Nowitzki,1717,DAL,3
Zaza Pachulia,2585,DAL,3
Wesley Matthews,202083,DAL,3
Deron Williams,101114,DAL,3
Darrell Arthur,201589,DEN,4
Randy Foye,200751,DEN,4
Will Barton,203115,DEN,4
Jameer Nelson,2749,DEN,4
Mike Miller,2034,DEN,4
Dirk Nowitzki,1717,DAL,4
Wesley Matthews,202083,DAL,4
Dwight Powell,203939,DAL,4
Raymond Felton,101109,DAL,4
Devin Harris,2734,DAL,4
