eventorder,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,time.elapsed,is.end.of.possession,possession.end,possession.id,homedescription,visitordescription,score,scoremargin,player.1.id,neutraldescription,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
1,2,12,0,1,12:00:00,0,"",,0,"","",,,0,"","","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
2,4,10,0,1,12:00:00,0,"",,0,Jump Ball Harden vs. Theis: Tip to Walker,"",,,201935,"","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
3,7,1,3,1,11:43:00,17,TRUE,made.shot,0,"",Theis 6' Hook Shot (2 PTS) (Tatum 1 AST),2 - 0,-2,1628464,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
4,9,2,80,1,11:31:00,29,"",,1,MISS Harden 26' 3PT Step Back Jump Shot,"",,,201935,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
5,10,4,0,1,11:28:00,32,TRUE,missed.shot,1,"",Celtics Rebound,,,1610612738,"","","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
6,12,5,1,1,11:12:00,48,TRUE,turnover,2,Tucker STEAL (1 STL),Tatum Bad Pass Turnover (P1.T1),,,1628369,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,14,5,2,1,11:09:00,51,TRUE,turnover,3,Harden Lost Ball Turnover (P1.T1),Walker STEAL (1 STL),,,201935,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,16,1,1,1,11:05:00,55,TRUE,made.shot,4,"",Walker 26' 3PT Jump Shot (3 PTS) (Tatum 2 AST),5 - 0,-5,202689,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
9,18,1,9,1,10:52:00,68,TRUE,made.shot,5,Harden 1' Driving Dunk (2 PTS),"",5 - 2,-3,201935,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
10,19,1,73,1,10:34:00,86,TRUE,made.shot,6,"",Brown  Driving Reverse Layup (2 PTS),7 - 2,-5,1627759,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
11,20,1,1,1,10:26:00,94,TRUE,made.shot,7,House Jr. 26' 3PT Jump Shot (3 PTS) (Westbrook 1 AST),"",7 - 5,-2,1627863,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
12,22,2,1,1,10:08:00,112,"",,8,"",MISS Walker 27' 3PT Jump Shot,,,202689,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
13,23,4,0,1,10:06:00,114,TRUE,missed.shot,8,House Jr. REBOUND (Off:0 Def:1),"",,,1627863,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
14,24,2,6,1,09:59:00,121,"",,9,MISS Westbrook 2' Driving Layup,"",,,201566,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
15,25,4,0,1,09:57:00,123,TRUE,missed.shot,9,"",Brown REBOUND (Off:0 Def:1),,,1627759,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
16,26,2,1,1,09:50:00,130,"",,10,"",MISS Tatum 25' 3PT Jump Shot,,,1628369,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
17,27,4,0,1,09:48:00,132,TRUE,missed.shot,10,Harden REBOUND (Off:0 Def:1),"",,,201935,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
18,28,2,79,1,09:32:00,148,"",,11,MISS Westbrook 18' Pullup Jump Shot,"",,,201566,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
19,29,4,0,1,09:30:00,150,TRUE,missed.shot,11,"",Celtics Rebound,,,1610612738,"","","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
20,31,1,1,1,09:20:00,160,TRUE,made.shot,12,"",Brown  3PT Jump Shot (5 PTS) (Walker 1 AST),10 - 5,-5,1627759,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
21,33,2,1,1,08:57:00,183,"",,13,MISS House Jr. 26' 3PT Jump Shot,"",,,1627863,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
