eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Zeller vs. Lopez: Tip to Rozier,"","","",,0,,,203469,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,1,1,11:47:00,MISS Batum 18' Jump Shot,"","","",,0,,,201587,13,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
8,4,0,1,11:43:00,"","",Antetokounmpo REBOUND (Off:0 Def:1),TRUE,missed.shot,0,,,203507,17,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
9,2,6,1,11:20:00,"","",MISS Lopez 6' Driving Layup,"",,1,,,201572,40,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
10,4,0,1,11:18:00,Graham REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,1,,,1628984,42,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
11,1,102,1,11:04:00,Rozier 7' Driving Floating Bank Jump Shot (2 PTS) (Washington 1 AST),"","",TRUE,made.shot,2,0 - 2,2,1626179,56,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
13,5,45,1,10:53:00,"","",Bledsoe Out of Bounds - Bad Pass Turnover Turnover (P1.T1),TRUE,turnover,3,,,202339,67,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,2,1,1,10:35:00,MISS Zeller 24' 3PT Jump Shot,"","","",,4,,,203469,85,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
15,4,0,1,10:32:00,"","",Antetokounmpo REBOUND (Off:0 Def:2),TRUE,missed.shot,4,,,203507,88,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
