eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Noel vs. Whiteside: Tip to Lillard,"","","",,0,,,203457,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,5,1,1,11:44:00,Noel STEAL (1 STL),"",McCollum Bad Pass Turnover (P1.T1),TRUE,turnover,0,,,203468,16,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,1,6,1,11:25:00,Gilgeous-Alexander 1' Driving Layup (2 PTS),"","",TRUE,made.shot,1,0 - 2,2,1628983,35,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
10,1,79,1,11:07:00,"","",Hood 13' Pullup Jump Shot (2 PTS),TRUE,made.shot,2,2 - 2,TIE,203918,53,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
12,2,6,1,10:39:00,MISS Gilgeous-Alexander 10' Driving Layup,"",McCollum BLOCK (1 BLK),"",,3,,,1628983,81,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
13,4,0,1,10:39:00,THUNDER Rebound,"","","",,3,,,1610612760,81,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","","",""
14,5,11,1,10:39:00,THUNDER Turnover: Shot Clock (T#1),"","",TRUE,turnover,3,,,1610612760,81,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE
15,2,1,1,10:25:00,"","",MISS Hood 26' 3PT Jump Shot,"",,4,,,203918,95,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
16,4,0,1,10:23:00,Gallinari REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,4,,,201568,97,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
17,2,1,1,10:11:00,MISS Paul 10' Jump Shot,"","","",,5,,,101108,109,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
