eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Aldridge vs. Allen: Tip to Murray,"","","",,0,,,200746,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
8,2,1,1,11:41:00,MISS Aldridge 27' 3PT Jump Shot,"","","",,0,,,200746,19,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
9,4,0,1,11:37:00,"","",Harris REBOUND (Off:0 Def:1),TRUE,missed.shot,0,,,203925,23,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
10,2,5,1,11:24:00,Aldridge BLOCK (1 BLK),"",MISS Prince 4' Layup,"",,1,,,1627752,36,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
12,4,0,1,11:23:00,SPURS Rebound,"","",TRUE,missed.shot,1,,,1610612759,37,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
15,2,79,1,11:14:00,MISS DeRozan 15' Pullup Jump Shot,"","","",,2,,,201942,46,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
16,4,0,1,11:07:00,"","",Harris REBOUND (Off:0 Def:2),TRUE,missed.shot,2,,,203925,53,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
17,1,78,1,11:01:00,"","",Prince 10' Floating Jump Shot (2 PTS),TRUE,made.shot,3,2 - 0,-2,1627752,59,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
18,2,1,1,10:47:00,MISS Lyles 24' 3PT Jump Shot,"","","",,4,,,1626168,73,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
19,4,0,1,10:43:00,"","",Harris REBOUND (Off:0 Def:3),TRUE,missed.shot,4,,,203925,77,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
20,1,52,1,10:30:00,"","",Allen 1' Alley Oop Dunk (2 PTS) (Dinwiddie 1 AST),TRUE,made.shot,5,4 - 0,-4,1628386,90,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
22,2,101,1,10:04:00,MISS Aldridge 6' Driving Floating Jump Shot,"","","",,6,,,200746,116,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
23,4,0,1,09:58:00,Lyles REBOUND (Off:1 Def:0),"","","",,6,,,1626168,122,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,1,97,1,09:58:00,Lyles 1' Tip Layup Shot (2 PTS),"","",TRUE,made.shot,6,4 - 2,-2,1626168,122,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
25,1,79,1,09:48:00,"","",Harris 25' 3PT Pullup Jump Shot (3 PTS) (Allen 1 AST),TRUE,made.shot,7,7 - 2,-5,203925,132,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
27,5,1,1,09:29:00,Aldridge Bad Pass Turnover (P1.T1),"",Temple STEAL (1 STL),TRUE,turnover,8,,,200746,151,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
29,1,1,1,09:24:00,"","",Dinwiddie 25' 3PT Jump Shot (3 PTS) (Temple 1 AST),TRUE,made.shot,9,10 - 2,-8,203915,156,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
31,5,45,1,09:11:00,DeRozan Out of Bounds - Bad Pass Turnover Turnover (P1.T2),"","",TRUE,turnover,10,,,201942,169,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
32,1,9,1,08:58:00,"","",Allen 2' Driving Dunk (4 PTS),TRUE,made.shot,11,12 - 2,-10,1628386,182,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
33,9,1,1,08:57:00,SPURS Timeout: Regular (Full 1 Short 0),"","","",,12,,,1610612759,183,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","",""
34,2,1,1,08:40:00,MISS Lyles 26' 3PT Jump Shot,"","","",,12,,,1626168,200,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
35,4,0,1,08:36:00,"","",Allen REBOUND (Off:0 Def:1),TRUE,missed.shot,12,,,1628386,204,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
36,5,1,1,08:24:00,DeRozan STEAL (1 STL),"",Temple Bad Pass Turnover (P1.T1),TRUE,turnover,13,,,202066,216,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
38,1,79,1,08:15:00,Murray 14' Pullup Jump Shot (2 PTS) (Lyles 1 AST),"","",TRUE,made.shot,14,12 - 4,-8,1627749,225,TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
40,2,1,1,08:05:00,"","",MISS Prince 25' 3PT Jump Shot,"",,15,,,1627752,235,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
41,4,0,1,08:02:00,Forbes REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,15,,,1627854,238,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
42,2,79,1,07:55:00,MISS DeRozan 17' Pullup Jump Shot,"","","",,16,,,201942,245,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
43,4,0,1,07:50:00,"","",Allen REBOUND (Off:0 Def:2),TRUE,missed.shot,16,,,1628386,250,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
44,2,1,1,07:41:00,"","",MISS Prince 26' 3PT Jump Shot,"",,17,,,1627752,259,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
45,4,0,1,07:38:00,DeRozan REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,17,,,201942,262,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
